Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
MPOL,13.11.2014,"250,00",,,"250,00","0,00",,,
MPOL,14.11.2014,"250,00",,,"250,00","0,00",,,
MPOL,17.11.2014,"250,00",,,"250,00","0,00",,,
MPOL,18.11.2014,"250,00",,,"250,00","0,00",,,
MPOL,19.11.2014,"250,00",,,"250,00","0,00",,,
MPOL,20.11.2014,"250,00",,,"250,00","0,00",,,
MPOL,21.11.2014,"250,00",,,"250,00","0,00",,,
MPOL,24.11.2014,"250,00",,,"250,00","0,00",,,
MPOL,25.11.2014,"250,00",,,"250,00","0,00",,,
MPOL,26.11.2014,"250,00",,,"250,00","0,00",,,
MPOL,27.11.2014,"250,00",,,"250,00","0,00",,,
MPOL,28.11.2014,"250,00",,,"250,00","0,00",,,
MPOL,01.12.2014,"250,00",,,"250,00","0,00",,,
MPOL,02.12.2014,"250,00",,,"250,00","0,00",,,
MPOL,04.12.2014,"262,00","262,00","262,00","262,00","4,80",475.0,124.450,124.450
MPOL,05.12.2014,"262,00",,,"262,00","0,00",,,
MPOL,09.12.2014,"262,00",,,"262,00","0,00",,,
MPOL,10.12.2014,"262,00",,,"262,00","0,00",,,
MPOL,11.12.2014,"262,00",,,"262,00","0,00",,,
MPOL,12.12.2014,"262,00",,,"262,00","0,00",,,
MPOL,15.12.2014,"262,00",,,"262,00","0,00",,,
MPOL,16.12.2014,"262,00",,,"262,00","0,00",,,
MPOL,17.12.2014,"262,00",,,"262,00","0,00",,,
MPOL,18.12.2014,"262,00",,,"262,00","0,00",,,
MPOL,19.12.2014,"262,00",,,"262,00","0,00",,,
MPOL,22.12.2014,"262,00",,,"262,00","0,00",,,
MPOL,23.12.2014,"262,00",,,"262,00","0,00",,,
MPOL,24.12.2014,"262,00",,,"262,00","0,00",,,
MPOL,25.12.2014,"262,00",,,"262,00","0,00",,,
MPOL,26.12.2014,"262,00",,,"262,00","0,00",,,
MPOL,29.12.2014,"262,00",,,"262,00","0,00",,,
MPOL,30.12.2014,"281,00","281,00","281,00","281,00","7,25",400.0,112.400,112.400
MPOL,02.01.2015,"281,00",,,"281,00","0,00",,,
MPOL,05.01.2015,"281,00",,,"281,00","0,00",,,
MPOL,08.01.2015,"281,00",,,"281,00","0,00",,,
MPOL,09.01.2015,"281,00",,,"281,00","0,00",,,
MPOL,12.01.2015,"281,00",,,"281,00","0,00",,,
MPOL,13.01.2015,"281,00",,,"281,00","0,00",,,
MPOL,14.01.2015,"281,00",,,"281,00","0,00",,,
MPOL,15.01.2015,"281,00",,,"281,00","0,00",,,
MPOL,16.01.2015,"281,00",,,"281,00","0,00",,,
MPOL,20.01.2015,"281,00",,,"281,00","0,00",,,
MPOL,21.01.2015,"280,00","280,00","280,00","280,00","-0,36",160.0,44.800,44.800
MPOL,22.01.2015,"280,00",,,"280,00","0,00",,,
MPOL,23.01.2015,"280,00",,,"280,00","0,00",,,
MPOL,26.01.2015,"280,00",,,"280,00","0,00",,,
MPOL,27.01.2015,"280,00",,,"280,00","0,00",,,
MPOL,28.01.2015,"280,00",,,"280,00","0,00",,,
MPOL,29.01.2015,"280,00",,,"280,00","0,00",,,
MPOL,30.01.2015,"280,00",,,"280,00","0,00",,,
MPOL,02.02.2015,"280,00",,,"280,00","0,00",,,
MPOL,03.02.2015,"280,00",,,"280,00","0,00",,,
MPOL,04.02.2015,"280,00",,,"280,00","0,00",,,
MPOL,05.02.2015,"280,00",,,"280,00","0,00",,,
MPOL,06.02.2015,"280,00",,,"280,00","0,00",,,
MPOL,09.02.2015,"280,00",,,"280,00","0,00",,,
MPOL,10.02.2015,"280,00","280,00","280,00","280,00","0,00",3.727,1.043.560,1.043.560
MPOL,11.02.2015,"280,00",,,"280,00","0,00",,,
MPOL,12.02.2015,"300,00","300,00","300,00","300,00","7,14",1.0,300.000,300.000
MPOL,13.02.2015,"300,00","300,00","300,00","300,00","0,00",200.0,60.000,60.000
MPOL,16.02.2015,"300,00","300,00","300,00","300,00","0,00",200.0,60.000,60.000
MPOL,17.02.2015,"300,00",,,"300,00","0,00",,,
MPOL,18.02.2015,"300,00",,,"300,00","0,00",,,
MPOL,19.02.2015,"300,00",,,"300,00","0,00",,,
MPOL,20.02.2015,"300,00",,,"300,00","0,00",,,
MPOL,23.02.2015,"300,00",,,"300,00","0,00",,,
MPOL,24.02.2015,"300,00",,,"300,00","0,00",,,
MPOL,25.02.2015,"300,00",,,"300,00","0,00",,,
MPOL,26.02.2015,"300,00",,,"300,00","0,00",,,
MPOL,27.02.2015,"300,00",,,"300,00","0,00",,,
MPOL,02.03.2015,"300,00",,,"300,00","0,00",,,
MPOL,03.03.2015,"300,00",,,"300,00","0,00",,,
MPOL,04.03.2015,"300,00",,,"300,00","0,00",,,
MPOL,05.03.2015,"300,00",,,"300,00","0,00",,,
MPOL,06.03.2015,"300,00",,,"300,00","0,00",,,
MPOL,09.03.2015,"300,00",,,"300,00","0,00",,,
MPOL,10.03.2015,"300,00",,,"300,00","0,00",,,
MPOL,11.03.2015,"300,00",,,"300,00","0,00",,,
MPOL,12.03.2015,"300,00",,,"300,00","0,00",,,
MPOL,13.03.2015,"300,00",,,"300,00","0,00",,,
MPOL,16.03.2015,"300,00",,,"300,00","0,00",,,
MPOL,17.03.2015,"300,00",,,"300,00","0,00",,,
MPOL,18.03.2015,"300,00",,,"300,00","0,00",,,
MPOL,19.03.2015,"300,00",,,"300,00","0,00",,,
MPOL,20.03.2015,"300,00",,,"300,00","0,00",,,
MPOL,23.03.2015,"300,00",,,"300,00","0,00",,,
MPOL,24.03.2015,"300,00",,,"300,00","0,00",,,
MPOL,25.03.2015,"300,00",,,"300,00","0,00",,,
MPOL,26.03.2015,"300,00",,,"300,00","0,00",,,
MPOL,27.03.2015,"300,00",,,"300,00","0,00",,,
MPOL,30.03.2015,"300,00",,,"300,00","0,00",,,
MPOL,31.03.2015,"300,00",,,"300,00","0,00",,,
MPOL,01.04.2015,"300,00",,,"300,00","0,00",,,
MPOL,02.04.2015,"300,00",,,"300,00","0,00",,,
MPOL,03.04.2015,"300,00",,,"300,00","0,00",,,
MPOL,06.04.2015,"300,00",,,"300,00","0,00",,,
MPOL,07.04.2015,"300,00",,,"300,00","0,00",,,
MPOL,08.04.2015,"300,00",,,"300,00","0,00",,,
MPOL,09.04.2015,"300,00",,,"300,00","0,00",,,
MPOL,14.04.2015,"300,00",,,"300,00","0,00",,,
MPOL,15.04.2015,"300,00",,,"300,00","0,00",,,
MPOL,16.04.2015,"300,00",,,"300,00","0,00",,,
MPOL,17.04.2015,"300,00",,,"300,00","0,00",,,
MPOL,20.04.2015,"300,00",,,"300,00","0,00",,,
MPOL,21.04.2015,"300,00",,,"300,00","0,00",,,
MPOL,22.04.2015,"300,00",,,"300,00","0,00",,,
MPOL,23.04.2015,"300,00",,,"300,00","0,00",,,
MPOL,24.04.2015,"300,00",,,"300,00","0,00",,,
MPOL,27.04.2015,"300,00",,,"300,00","0,00",,,
MPOL,28.04.2015,"300,00",,,"300,00","0,00",,,
MPOL,29.04.2015,"298,00","298,00","298,00","298,00","-0,67",70.0,20.860,20.860
MPOL,30.04.2015,"298,00",,,"298,00","0,00",,,
MPOL,04.05.2015,"298,00",,,"298,00","0,00",,,
MPOL,05.05.2015,"298,00",,,"298,00","0,00",,,
MPOL,06.05.2015,"298,00",,,"298,00","0,00",,,
MPOL,07.05.2015,"298,00",,,"298,00","0,00",,,
MPOL,08.05.2015,"298,00",,,"298,00","0,00",,,
MPOL,11.05.2015,"298,00",,,"298,00","0,00",,,
MPOL,12.05.2015,"298,00",,,"298,00","0,00",,,
MPOL,13.05.2015,"298,00",,,"298,00","0,00",,,
MPOL,14.05.2015,"298,00",,,"298,00","0,00",,,
MPOL,15.05.2015,"298,00",,,"298,00","0,00",,,
MPOL,18.05.2015,"298,00",,,"298,00","0,00",,,
MPOL,19.05.2015,"298,00",,,"298,00","0,00",,,
MPOL,20.05.2015,"298,00",,,"298,00","0,00",,,
MPOL,21.05.2015,"298,00",,,"298,00","0,00",,,
MPOL,22.05.2015,"298,00",,,"298,00","0,00",,,
MPOL,26.05.2015,"298,00",,,"298,00","0,00",,,
MPOL,27.05.2015,"298,00",,,"298,00","0,00",,,
MPOL,28.05.2015,"298,00",,,"298,00","0,00",,,
MPOL,01.06.2015,"298,00",,,"298,00","0,00",,,
MPOL,02.06.2015,"298,00",,,"298,00","0,00",,,
MPOL,03.06.2015,"298,00",,,"298,00","0,00",,,
MPOL,04.06.2015,"298,00",,,"298,00","0,00",,,
MPOL,05.06.2015,"298,00",,,"298,00","0,00",,,
MPOL,08.06.2015,"298,00",,,"298,00","0,00",,,
MPOL,09.06.2015,"298,00",,,"298,00","0,00",,,
MPOL,10.06.2015,"298,00",,,"298,00","0,00",,,
MPOL,11.06.2015,"298,00",,,"298,00","0,00",,,
MPOL,12.06.2015,"298,00",,,"298,00","0,00",,,
MPOL,15.06.2015,"298,00",,,"298,00","0,00",,,
MPOL,16.06.2015,"298,00",,,"298,00","0,00",,,
MPOL,17.06.2015,"298,00",,,"298,00","0,00",,,
MPOL,18.06.2015,"298,00",,,"298,00","0,00",,,
MPOL,19.06.2015,"298,00",,,"298,00","0,00",,,
MPOL,22.06.2015,"298,00",,,"298,00","0,00",,,
MPOL,23.06.2015,"298,00",,,"298,00","0,00",,,
MPOL,24.06.2015,"298,00",,,"298,00","0,00",,,
MPOL,25.06.2015,"298,00",,,"298,00","0,00",,,
MPOL,26.06.2015,"298,00",,,"298,00","0,00",,,
MPOL,29.06.2015,"125,00","125,00","125,00","125,00","-58,05",23.0,2.875,2.875
MPOL,30.06.2015,"125,00",,,"125,00","0,00",,,
MPOL,01.07.2015,"125,00",,,"125,00","0,00",,,
MPOL,02.07.2015,"125,00",,,"125,00","0,00",,,
MPOL,03.07.2015,"125,00",,,"125,00","0,00",,,
MPOL,06.07.2015,"125,00",,,"125,00","0,00",,,
MPOL,07.07.2015,"125,00",,,"125,00","0,00",,,
MPOL,08.07.2015,"125,00",,,"125,00","0,00",,,
MPOL,09.07.2015,"125,00",,,"125,00","0,00",,,
MPOL,10.07.2015,"125,00",,,"125,00","0,00",,,
MPOL,13.07.2015,"125,00",,,"125,00","0,00",,,
MPOL,14.07.2015,"125,00",,,"125,00","0,00",,,
MPOL,15.07.2015,"125,00",,,"125,00","0,00",,,
MPOL,16.07.2015,"125,00",,,"125,00","0,00",,,
MPOL,20.07.2015,"125,00",,,"125,00","0,00",,,
MPOL,21.07.2015,"125,00",,,"125,00","0,00",,,
MPOL,22.07.2015,"125,00",,,"125,00","0,00",,,
MPOL,23.07.2015,"125,00",,,"125,00","0,00",,,
MPOL,24.07.2015,"125,00",,,"125,00","0,00",,,
MPOL,27.07.2015,"125,00",,,"125,00","0,00",,,
MPOL,28.07.2015,"125,00",,,"125,00","0,00",,,
MPOL,29.07.2015,"125,00",,,"125,00","0,00",,,
MPOL,30.07.2015,"125,00",,,"125,00","0,00",,,
MPOL,31.07.2015,"125,00",,,"125,00","0,00",,,
MPOL,04.08.2015,"125,00",,,"125,00","0,00",,,
MPOL,05.08.2015,"125,00",,,"125,00","0,00",,,
MPOL,06.08.2015,"125,00",,,"125,00","0,00",,,
MPOL,07.08.2015,"125,00",,,"125,00","0,00",,,
MPOL,10.08.2015,"125,00",,,"125,00","0,00",,,
MPOL,11.08.2015,"125,00",,,"125,00","0,00",,,
MPOL,12.08.2015,"125,00",,,"125,00","0,00",,,
MPOL,13.08.2015,"125,00",,,"125,00","0,00",,,
MPOL,14.08.2015,"125,00",,,"125,00","0,00",,,
MPOL,17.08.2015,"125,00",,,"125,00","0,00",,,
MPOL,18.08.2015,"125,00",,,"125,00","0,00",,,
MPOL,19.08.2015,"125,00",,,"125,00","0,00",,,
MPOL,20.08.2015,"125,00",,,"125,00","0,00",,,
MPOL,21.08.2015,"125,00",,,"125,00","0,00",,,
MPOL,24.08.2015,"125,00",,,"125,00","0,00",,,
MPOL,25.08.2015,"125,00",,,"125,00","0,00",,,
MPOL,26.08.2015,"125,00",,,"125,00","0,00",,,
MPOL,27.08.2015,"125,00",,,"125,00","0,00",,,
MPOL,31.08.2015,"125,00",,,"125,00","0,00",,,
MPOL,01.09.2015,"125,00",,,"125,00","0,00",,,
MPOL,02.09.2015,"125,00",,,"125,00","0,00",,,
MPOL,03.09.2015,"125,00",,,"125,00","0,00",,,
MPOL,04.09.2015,"125,00",,,"125,00","0,00",,,
MPOL,07.09.2015,"155,00","155,00","155,00","155,00","24,00",90.0,13.950,13.950
MPOL,09.09.2015,"155,00",,,"155,00","0,00",,,
MPOL,10.09.2015,"155,00","155,00","155,00","155,00","0,00",210.0,32.550,32.550
MPOL,11.09.2015,"155,00","155,00","155,00","155,00","0,00",260.0,40.300,40.300
MPOL,14.09.2015,"155,00",,,"155,00","0,00",,,
MPOL,15.09.2015,"155,00",,,"155,00","0,00",,,
MPOL,16.09.2015,"155,00",,,"155,00","0,00",,,
MPOL,17.09.2015,"155,00",,,"155,00","0,00",,,
MPOL,18.09.2015,"155,00",,,"155,00","0,00",,,
