Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
MPT,13.11.2014,"23.280,00","23.500,00","23.280,00","23.392,50","-2,53",32.0,748.560,748.560
MPT,14.11.2014,"24.000,00","24.001,00","23.300,00","23.917,04","2,24",48.0,1.148.018,1.148.018
MPT,17.11.2014,"23.620,00","23.620,00","23.620,00","23.620,00","-1,24",2.0,47.240,47.240
MPT,18.11.2014,"23.610,00","23.620,00","23.610,00","23.614,44","-0,02",9.0,212.530,212.530
MPT,19.11.2014,"23.610,00",,,"23.614,44","0,00",,,
MPT,20.11.2014,"23.490,00","23.500,00","23.200,00","23.369,17","-1,04",12.0,280.430,280.430
MPT,21.11.2014,"23.300,00","23.300,00","23.300,00","23.300,00","-0,30",2.0,46.600,46.600
MPT,24.11.2014,"23.000,00","23.000,00","23.000,00","23.000,00","-1,29",15.0,345.000,345.000
MPT,25.11.2014,"23.000,00",,,"23.000,00","0,00",,,
MPT,26.11.2014,"23.000,00",,,"23.000,00","0,00",,,
MPT,27.11.2014,"22.400,00","22.400,00","22.310,00","22.334,00","-2,90",15.0,335.010,335.010
MPT,28.11.2014,"22.360,00","22.800,00","22.360,00","22.631,25","1,33",8.0,181.050,181.050
MPT,01.12.2014,"22.100,00","22.700,00","22.100,00","22.500,00","-0,58",3.0,67.500,67.500
MPT,02.12.2014,"22.000,00","22.000,00","22.000,00","22.000,00","-2,22",10.0,220.000,220.000
MPT,04.12.2014,"22.000,00","22.000,00","22.000,00","22.000,00","0,00",8.0,176.000,176.000
MPT,05.12.2014,"21.500,00","21.800,00","21.500,00","21.660,71","-1,54",28.0,606.500,606.500
MPT,09.12.2014,"21.500,00","21.500,00","21.400,00","21.483,33","-0,82",30.0,644.500,644.500
MPT,10.12.2014,"22.000,00","22.000,00","21.300,00","21.526,32","0,20",19.0,409.000,409.000
MPT,11.12.2014,"22.150,00","22.150,00","21.560,00","21.891,67","1,70",12.0,262.700,262.700
MPT,12.12.2014,"22.000,00","22.100,00","21.999,00","22.049,60","0,72",10.0,220.496,220.496
MPT,15.12.2014,"22.000,00","22.000,00","21.600,00","21.850,20","-0,90",5.0,109.251,109.251
MPT,16.12.2014,"22.100,00","22.100,00","21.551,00","21.794,25","-0,26",8.0,174.354,174.354
MPT,17.12.2014,"21.700,00","22.400,00","21.700,00","22.192,29","1,83",7.0,155.346,155.346
MPT,18.12.2014,"22.000,00","22.000,00","22.000,00","22.000,00","-0,87",18.0,396.000,396.000
MPT,19.12.2014,"22.000,00","22.000,00","21.500,00","21.928,57","-0,32",7.0,153.500,153.500
MPT,22.12.2014,"22.200,00","22.200,00","22.200,00","22.200,00","1,24",9.0,199.800,199.800
MPT,23.12.2014,"22.200,00","22.200,00","22.200,00","22.200,00","0,00",2.0,44.400,44.400
MPT,24.12.2014,"22.000,00","22.000,00","22.000,00","22.000,00","-0,90",2.0,44.000,44.000
MPT,25.12.2014,"22.000,00",,,"22.000,00","0,00",,,
MPT,26.12.2014,"22.000,00","22.000,00","22.000,00","22.000,00","0,00",3.0,66.000,66.000
MPT,29.12.2014,"22.000,00","22.200,00","22.000,00","22.088,89","0,40",72.0,1.590.400,1.590.400
MPT,30.12.2014,"22.000,00",,,"22.088,89","0,00",,,
MPT,02.01.2015,"22.000,00","22.000,00","21.710,00","21.942,00","-0,66",5.0,109.710,109.710
MPT,05.01.2015,"22.000,00","22.499,00","22.000,00","22.199,60","1,17",5.0,110.998,110.998
MPT,08.01.2015,"21.710,00","21.710,00","21.710,00","21.710,00","-2,21",3.0,65.130,65.130
MPT,09.01.2015,"21.500,00","21.700,00","21.500,00","21.633,33","-0,35",9.0,194.700,194.700
