Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
MPTE,13.11.2014,"500,00",,,"500,00","0,00",,,
MPTE,14.11.2014,"500,00",,,"500,00","0,00",,,
MPTE,17.11.2014,"500,00",,,"500,00","0,00",,,
MPTE,18.11.2014,"500,00",,,"500,00","0,00",,,
MPTE,19.11.2014,"500,00",,,"500,00","0,00",,,
MPTE,20.11.2014,"500,00",,,"500,00","0,00",,,
MPTE,21.11.2014,"500,00",,,"500,00","0,00",,,
MPTE,24.11.2014,"500,00",,,"500,00","0,00",,,
MPTE,25.11.2014,"500,00",,,"500,00","0,00",,,
MPTE,26.11.2014,"500,00",,,"500,00","0,00",,,
MPTE,27.11.2014,"500,00",,,"500,00","0,00",,,
MPTE,28.11.2014,"500,00",,,"500,00","0,00",,,
MPTE,01.12.2014,"500,00",,,"500,00","0,00",,,
MPTE,02.12.2014,"500,00",,,"500,00","0,00",,,
MPTE,04.12.2014,"500,00",,,"500,00","0,00",,,
MPTE,05.12.2014,"500,00",,,"500,00","0,00",,,
MPTE,09.12.2014,"500,00",,,"500,00","0,00",,,
MPTE,10.12.2014,"500,00",,,"500,00","0,00",,,
MPTE,11.12.2014,"500,00",,,"500,00","0,00",,,
MPTE,12.12.2014,"500,00",,,"500,00","0,00",,,
MPTE,15.12.2014,"500,00",,,"500,00","0,00",,,
MPTE,16.12.2014,"500,00",,,"500,00","0,00",,,
MPTE,17.12.2014,"500,00",,,"500,00","0,00",,,
MPTE,18.12.2014,"500,00",,,"500,00","0,00",,,
MPTE,19.12.2014,"500,00",,,"500,00","0,00",,,
MPTE,22.12.2014,"500,00",,,"500,00","0,00",,,
MPTE,23.12.2014,"500,00",,,"500,00","0,00",,,
MPTE,24.12.2014,"500,00",,,"500,00","0,00",,,
MPTE,25.12.2014,"500,00",,,"500,00","0,00",,,
MPTE,26.12.2014,"500,00",,,"500,00","0,00",,,
MPTE,29.12.2014,"500,00",,,"500,00","0,00",,,
MPTE,30.12.2014,"500,00",,,"500,00","0,00",,,
MPTE,02.01.2015,"500,00",,,"500,00","0,00",,,
MPTE,05.01.2015,"500,00",,,"500,00","0,00",,,
MPTE,08.01.2015,"500,00",,,"500,00","0,00",,,
MPTE,09.01.2015,"500,00",,,"500,00","0,00",,,
