Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
MTUR,13.11.2014,"3.800,00","3.800,00","3.800,00","3.800,00","0,00",156.0,592.800,592.800
MTUR,14.11.2014,"3.800,00","3.800,00","3.800,00","3.800,00","0,00",139.0,528.200,528.200
MTUR,17.11.2014,"3.800,00",,,"3.800,00","0,00",,,
MTUR,18.11.2014,"3.800,00",,,"3.800,00","0,00",,,
MTUR,19.11.2014,"3.800,00",,,"3.800,00","0,00",,,
MTUR,20.11.2014,"3.800,00",,,"3.800,00","0,00",,,
MTUR,21.11.2014,"3.710,00","3.710,00","3.710,00","3.710,00","-2,37",50.0,185.500,185.500
MTUR,24.11.2014,"3.700,00","3.700,00","3.700,00","3.700,00","-0,27",26.0,96.200,96.200
MTUR,25.11.2014,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",5.0,18.500,18.500
MTUR,26.11.2014,"3.700,00",,,"3.700,00","0,00",,,
MTUR,27.11.2014,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",40.0,148.000,148.000
MTUR,28.11.2014,"3.700,00",,,"3.700,00","0,00",,,
MTUR,01.12.2014,"3.700,00",,,"3.700,00","0,00",,,
MTUR,02.12.2014,"3.700,00",,,"3.700,00","0,00",,,
MTUR,04.12.2014,"3.700,00",,,"3.700,00","0,00",,,
MTUR,05.12.2014,"3.700,00",,,"3.700,00","0,00",,,
MTUR,09.12.2014,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",25.0,92.500,92.500
MTUR,10.12.2014,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",10.0,37.000,37.000
MTUR,11.12.2014,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",70.0,259.000,259.000
MTUR,12.12.2014,"3.700,00",,,"3.700,00","0,00",,,
MTUR,15.12.2014,"3.700,00",,,"3.700,00","0,00",,,
MTUR,16.12.2014,"3.701,00","3.701,00","3.701,00","3.701,00","0,03",10.0,37.010,37.010
MTUR,17.12.2014,"3.701,00",,,"3.701,00","0,00",,,
MTUR,18.12.2014,"3.701,00",,,"3.701,00","0,00",,,
MTUR,19.12.2014,"3.800,00","3.801,00","3.800,00","3.800,75","2,70",20.0,76.015,76.015
MTUR,22.12.2014,"3.800,00","3.800,00","3.800,00","3.800,00","-0,02",25.0,95.000,95.000
MTUR,23.12.2014,"3.800,00",,,"3.800,00","0,00",,,
MTUR,24.12.2014,"3.800,00","3.800,00","3.800,00","3.800,00","0,00",26.0,98.800,98.800
MTUR,25.12.2014,"3.800,00",,,"3.800,00","0,00",,,
MTUR,26.12.2014,"3.900,00","3.900,00","3.900,00","3.900,00","2,63",100.0,390.000,390.000
MTUR,29.12.2014,"3.900,00","3.900,00","3.900,00","3.900,00","0,00",200.0,780.000,780.000
MTUR,30.12.2014,"3.900,00","3.900,00","3.900,00","3.900,00","0,00",200.0,780.000,780.000
MTUR,02.01.2015,"3.900,00",,,"3.900,00","0,00",,,
MTUR,05.01.2015,"3.900,00",,,"3.900,00","0,00",,,
MTUR,08.01.2015,"3.900,00",,,"3.900,00","0,00",,,
MTUR,09.01.2015,"3.900,00",,,"3.900,00","0,00",,,
MTUR,12.01.2015,"3.900,00",,,"3.900,00","0,00",,,
MTUR,13.01.2015,"3.900,00",,,"3.900,00","0,00",,,
MTUR,14.01.2015,"3.900,00",,,"3.900,00","0,00",,,
MTUR,15.01.2015,"3.900,00",,,"3.900,00","0,00",,,
MTUR,16.01.2015,"3.900,00",,,"3.900,00","0,00",,,
MTUR,20.01.2015,"3.900,00",,,"3.900,00","0,00",,,
MTUR,21.01.2015,"3.900,00",,,"3.900,00","0,00",,,
MTUR,22.01.2015,"3.900,00",,,"3.900,00","0,00",,,
MTUR,23.01.2015,"3.900,00",,,"3.900,00","0,00",,,
MTUR,26.01.2015,"3.800,00","3.800,00","3.800,00","3.800,00","-2,56",15.0,57.000,57.000
MTUR,27.01.2015,"3.800,00","3.800,00","3.800,00","3.800,00","0,00",465.0,1.767.000,1.767.000
MTUR,28.01.2015,"3.800,00",,,"3.800,00","0,00",,,
MTUR,29.01.2015,"3.800,00",,,"3.800,00","0,00",,,
MTUR,30.01.2015,"3.800,00",,,"3.800,00","0,00",,,
MTUR,02.02.2015,"3.800,00",,,"3.800,00","0,00",,,
MTUR,03.02.2015,"3.800,00",,,"3.800,00","0,00",,,
MTUR,04.02.2015,"3.800,00",,,"3.800,00","0,00",,,
MTUR,05.02.2015,"3.800,00",,,"3.800,00","0,00",,,
MTUR,06.02.2015,"3.686,00","3.686,00","3.686,00","3.686,00","-3,00",20.0,73.720,73.720
MTUR,09.02.2015,"3.686,00",,,"3.686,00","0,00",,,
MTUR,10.02.2015,"3.686,00",,,"3.686,00","0,00",,,
MTUR,11.02.2015,"3.686,00",,,"3.686,00","0,00",,,
MTUR,12.02.2015,"3.640,00","3.640,00","3.600,00","3.617,14","-1,87",70.0,253.200,253.200
MTUR,13.02.2015,"3.600,00","3.600,00","3.600,00","3.600,00","-0,47",190.0,684.000,684.000
MTUR,16.02.2015,"3.600,00",,,"3.600,00","0,00",,,
MTUR,17.02.2015,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",30.0,108.000,108.000
MTUR,18.02.2015,"3.600,00",,,"3.600,00","0,00",,,
MTUR,19.02.2015,"3.600,00",,,"3.600,00","0,00",,,
MTUR,20.02.2015,"3.600,00",,,"3.600,00","0,00",,,
MTUR,23.02.2015,"3.600,00",,,"3.600,00","0,00",,,
MTUR,24.02.2015,"3.600,00",,,"3.600,00","0,00",,,
MTUR,25.02.2015,"3.600,00",,,"3.600,00","0,00",,,
MTUR,26.02.2015,"3.600,00",,,"3.600,00","0,00",,,
MTUR,27.02.2015,"3.600,00",,,"3.600,00","0,00",,,
MTUR,02.03.2015,"3.600,00",,,"3.600,00","0,00",,,
MTUR,03.03.2015,"3.708,00","3.708,00","3.708,00","3.708,00","3,00",30.0,111.240,111.240
MTUR,04.03.2015,"3.900,00","3.900,00","3.650,00","3.862,35","4,16",200.0,772.470,772.470
MTUR,05.03.2015,"3.900,00",,,"3.862,35","0,00",,,
MTUR,06.03.2015,"3.900,00",,,"3.862,35","0,00",,,
MTUR,09.03.2015,"3.700,00","3.700,00","3.700,00","3.700,00","-4,20",10.0,37.000,37.000
MTUR,10.03.2015,"3.900,00","3.900,00","3.800,00","3.862,40","4,39",229.0,884.490,884.490
MTUR,11.03.2015,"3.900,00",,,"3.862,40","0,00",,,
MTUR,12.03.2015,"3.900,00",,,"3.862,40","0,00",,,
MTUR,13.03.2015,"3.900,00","3.900,00","3.900,00","3.900,00","0,97",360.0,1.404.000,1.404.000
MTUR,16.03.2015,"3.900,00",,,"3.900,00","0,00",,,
MTUR,17.03.2015,"3.900,00",,,"3.900,00","0,00",,,
MTUR,18.03.2015,"3.900,00",,,"3.900,00","0,00",,,
MTUR,19.03.2015,"3.700,00","3.700,00","3.700,00","3.700,00","-5,13",5.0,18.500,18.500
MTUR,20.03.2015,"3.700,00",,,"3.700,00","0,00",,,
MTUR,23.03.2015,"3.700,00",,,"3.700,00","0,00",,,
MTUR,24.03.2015,"3.700,00",,,"3.700,00","0,00",,,
MTUR,25.03.2015,"3.700,00",,,"3.700,00","0,00",,,
MTUR,26.03.2015,"3.700,00",,,"3.700,00","0,00",,,
MTUR,27.03.2015,"3.700,00",,,"3.700,00","0,00",,,
MTUR,30.03.2015,"3.899,00","3.899,00","3.899,00","3.899,00","5,38",2.0,7.798,7.798
MTUR,31.03.2015,"3.899,00",,,"3.899,00","0,00",,,
MTUR,01.04.2015,"3.897,00","3.897,00","3.897,00","3.897,00","-0,05",20.0,77.940,77.940
MTUR,02.04.2015,"3.897,00",,,"3.897,00","0,00",,,
MTUR,03.04.2015,"3.897,00",,,"3.897,00","0,00",,,
MTUR,06.04.2015,"3.897,00",,,"3.897,00","0,00",,,
MTUR,07.04.2015,"3.800,00","3.850,00","3.800,00","3.812,50","-2,17",60.0,228.750,228.750
MTUR,08.04.2015,"3.800,00","3.800,00","3.800,00","3.800,00","-0,33",15.0,57.000,57.000
