Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
MZHE,13.11.2014,"3.133,00",,,"3.133,00","0,00",,,
MZHE,14.11.2014,"3.133,00",,,"3.133,00","0,00",,,
MZHE,17.11.2014,"3.133,00",,,"3.133,00","0,00",,,
MZHE,18.11.2014,"3.133,00",,,"3.133,00","0,00",,,
MZHE,19.11.2014,"3.133,00",,,"3.133,00","0,00",,,
MZHE,20.11.2014,"3.133,00",,,"3.133,00","0,00",,,
MZHE,21.11.2014,"3.133,00",,,"3.133,00","0,00",,,
MZHE,24.11.2014,"3.133,00",,,"3.133,00","0,00",,,
MZHE,25.11.2014,"3.133,00",,,"3.133,00","0,00",,,
MZHE,26.11.2014,"3.133,00",,,"3.133,00","0,00",,,
MZHE,27.11.2014,"3.133,00",,,"3.133,00","0,00",,,
MZHE,28.11.2014,"3.133,00",,,"3.133,00","0,00",,,
MZHE,01.12.2014,"3.133,00",,,"3.133,00","0,00",,,
MZHE,02.12.2014,"3.133,00",,,"3.133,00","0,00",,,
MZHE,04.12.2014,"3.133,00",,,"3.133,00","0,00",,,
MZHE,05.12.2014,"3.133,00",,,"3.133,00","0,00",,,
MZHE,09.12.2014,"3.133,00",,,"3.133,00","0,00",,,
MZHE,10.12.2014,"3.133,00",,,"3.133,00","0,00",,,
MZHE,11.12.2014,"3.133,00",,,"3.133,00","0,00",,,
MZHE,12.12.2014,"3.133,00",,,"3.133,00","0,00",,,
MZHE,15.12.2014,"3.133,00",,,"3.133,00","0,00",,,
MZHE,16.12.2014,"3.133,00",,,"3.133,00","0,00",,,
MZHE,17.12.2014,"3.133,00",,,"3.133,00","0,00",,,
MZHE,18.12.2014,"3.133,00",,,"3.133,00","0,00",,,
MZHE,19.12.2014,"3.133,00",,,"3.133,00","0,00",,,
MZHE,22.12.2014,"3.133,00",,,"3.133,00","0,00",,,
MZHE,23.12.2014,"3.133,00",,,"3.133,00","0,00",,,
MZHE,24.12.2014,"3.133,00",,,"3.133,00","0,00",,,
MZHE,25.12.2014,"3.133,00",,,"3.133,00","0,00",,,
MZHE,26.12.2014,"3.133,00",,,"3.133,00","0,00",,,
MZHE,29.12.2014,"3.133,00",,,"3.133,00","0,00",,,
MZHE,30.12.2014,"3.133,00",,,"3.133,00","0,00",,,
MZHE,02.01.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,05.01.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,08.01.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,09.01.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,12.01.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,13.01.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,14.01.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,15.01.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,16.01.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,20.01.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,21.01.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,22.01.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,23.01.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,26.01.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,27.01.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,28.01.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,29.01.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,30.01.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,02.02.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,03.02.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,04.02.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,05.02.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,06.02.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,09.02.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,10.02.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,11.02.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,12.02.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,13.02.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,16.02.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,17.02.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,18.02.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,19.02.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,20.02.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,23.02.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,24.02.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,25.02.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,26.02.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,27.02.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,02.03.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,03.03.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,04.03.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,05.03.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,06.03.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,09.03.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,10.03.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,11.03.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,12.03.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,13.03.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,16.03.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,17.03.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,18.03.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,19.03.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,20.03.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,23.03.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,24.03.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,25.03.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,26.03.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,27.03.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,30.03.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,31.03.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,01.04.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,02.04.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,03.04.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,06.04.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,07.04.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,08.04.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,09.04.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,14.04.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,15.04.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,16.04.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,17.04.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,20.04.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,21.04.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,22.04.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,23.04.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,24.04.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,27.04.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,28.04.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,29.04.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,30.04.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,04.05.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,05.05.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,06.05.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,07.05.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,08.05.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,11.05.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,12.05.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,13.05.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,14.05.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,15.05.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,18.05.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,19.05.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,20.05.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,21.05.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,22.05.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,26.05.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,27.05.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,28.05.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,01.06.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,02.06.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,03.06.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,04.06.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,05.06.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,08.06.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,09.06.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,10.06.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,11.06.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,12.06.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,15.06.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,16.06.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,17.06.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,18.06.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,19.06.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,22.06.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,23.06.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,24.06.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,25.06.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,26.06.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,29.06.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,30.06.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,01.07.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,02.07.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,03.07.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,06.07.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,07.07.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,08.07.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,09.07.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,10.07.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,13.07.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,14.07.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,15.07.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,16.07.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,20.07.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,21.07.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,22.07.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,23.07.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,24.07.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,27.07.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,28.07.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,29.07.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,30.07.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,31.07.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,04.08.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,05.08.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,06.08.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,07.08.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,10.08.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,11.08.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,12.08.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,13.08.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,14.08.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,17.08.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,18.08.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,19.08.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,20.08.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,21.08.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,24.08.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,25.08.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,26.08.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,27.08.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,31.08.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,01.09.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,02.09.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,03.09.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,04.09.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,07.09.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,09.09.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,10.09.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,11.09.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,14.09.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,15.09.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,16.09.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,17.09.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,18.09.2015,"3.133,00",,,"3.133,00","0,00",,,
MZHE,21.09.2015,"3.133,00",,,"3.133,00","0,00",,,
