Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
MZPU,13.11.2014,"201,00",,,"201,00","0,00",,,
MZPU,14.11.2014,"201,00",,,"201,00","0,00",,,
MZPU,17.11.2014,"201,00",,,"201,00","0,00",,,
MZPU,18.11.2014,"201,00",,,"201,00","0,00",,,
MZPU,19.11.2014,"201,00",,,"201,00","0,00",,,
MZPU,20.11.2014,"201,00",,,"201,00","0,00",,,
MZPU,21.11.2014,"201,00",,,"201,00","0,00",,,
MZPU,24.11.2014,"201,00",,,"201,00","0,00",,,
MZPU,25.11.2014,"201,00",,,"201,00","0,00",,,
MZPU,26.11.2014,"201,00",,,"201,00","0,00",,,
MZPU,27.11.2014,"201,00",,,"201,00","0,00",,,
MZPU,28.11.2014,"201,00",,,"201,00","0,00",,,
MZPU,01.12.2014,"201,00",,,"201,00","0,00",,,
MZPU,02.12.2014,"201,00",,,"201,00","0,00",,,
MZPU,04.12.2014,"201,00",,,"201,00","0,00",,,
MZPU,05.12.2014,"201,00",,,"201,00","0,00",,,
MZPU,09.12.2014,"201,00",,,"201,00","0,00",,,
MZPU,10.12.2014,"201,00",,,"201,00","0,00",,,
MZPU,11.12.2014,"201,00",,,"201,00","0,00",,,
MZPU,12.12.2014,"201,00",,,"201,00","0,00",,,
MZPU,15.12.2014,"201,00",,,"201,00","0,00",,,
MZPU,16.12.2014,"201,00",,,"201,00","0,00",,,
MZPU,17.12.2014,"201,00",,,"201,00","0,00",,,
MZPU,18.12.2014,"201,00",,,"201,00","0,00",,,
MZPU,19.12.2014,"201,00",,,"201,00","0,00",,,
MZPU,22.12.2014,"201,00",,,"201,00","0,00",,,
MZPU,23.12.2014,"201,00",,,"201,00","0,00",,,
MZPU,24.12.2014,"201,00",,,"201,00","0,00",,,
MZPU,25.12.2014,"201,00",,,"201,00","0,00",,,
MZPU,26.12.2014,"201,00",,,"201,00","0,00",,,
MZPU,29.12.2014,"201,00",,,"201,00","0,00",,,
MZPU,30.12.2014,"201,00",,,"201,00","0,00",,,
MZPU,02.01.2015,"201,00",,,"201,00","0,00",,,
MZPU,05.01.2015,"201,00",,,"201,00","0,00",,,
MZPU,08.01.2015,"201,00",,,"201,00","0,00",,,
MZPU,09.01.2015,"201,00",,,"201,00","0,00",,,
MZPU,12.01.2015,"201,00",,,"201,00","0,00",,,
MZPU,13.01.2015,"201,00",,,"201,00","0,00",,,
MZPU,14.01.2015,"201,00",,,"201,00","0,00",,,
MZPU,15.01.2015,"201,00",,,"201,00","0,00",,,
MZPU,16.01.2015,"201,00",,,"201,00","0,00",,,
MZPU,20.01.2015,"201,00",,,"201,00","0,00",,,
MZPU,21.01.2015,"201,00",,,"201,00","0,00",,,
MZPU,22.01.2015,"201,00",,,"201,00","0,00",,,
MZPU,23.01.2015,"201,00",,,"201,00","0,00",,,
MZPU,26.01.2015,"201,00",,,"201,00","0,00",,,
MZPU,27.01.2015,"201,00",,,"201,00","0,00",,,
MZPU,28.01.2015,"201,00",,,"201,00","0,00",,,
MZPU,29.01.2015,"201,00",,,"201,00","0,00",,,
MZPU,30.01.2015,"201,00",,,"201,00","0,00",,,
MZPU,02.02.2015,"201,00",,,"201,00","0,00",,,
MZPU,03.02.2015,"201,00",,,"201,00","0,00",,,
MZPU,04.02.2015,"201,00",,,"201,00","0,00",,,
MZPU,05.02.2015,"201,00",,,"201,00","0,00",,,
MZPU,06.02.2015,"201,00",,,"201,00","0,00",,,
MZPU,09.02.2015,"201,00",,,"201,00","0,00",,,
MZPU,10.02.2015,"201,00",,,"201,00","0,00",,,
MZPU,11.02.2015,"201,00",,,"201,00","0,00",,,
MZPU,12.02.2015,"201,00",,,"201,00","0,00",,,
MZPU,13.02.2015,"201,00",,,"201,00","0,00",,,
MZPU,16.02.2015,"201,00",,,"201,00","0,00",,,
MZPU,17.02.2015,"201,00",,,"201,00","0,00",,,
MZPU,18.02.2015,"201,00",,,"201,00","0,00",,,
MZPU,19.02.2015,"201,00",,,"201,00","0,00",,,
MZPU,20.02.2015,"201,00",,,"201,00","0,00",,,
MZPU,23.02.2015,"201,00",,,"201,00","0,00",,,
