Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
NEME,13.11.2014,"1.250,00",,,"1.250,00","0,00",,,
NEME,14.11.2014,"1.250,00",,,"1.250,00","0,00",,,
NEME,17.11.2014,"1.250,00",,,"1.250,00","0,00",,,
NEME,18.11.2014,"1.250,00",,,"1.250,00","0,00",,,
NEME,19.11.2014,"1.250,00",,,"1.250,00","0,00",,,
NEME,20.11.2014,"1.250,00",,,"1.250,00","0,00",,,
NEME,21.11.2014,"1.250,00",,,"1.250,00","0,00",,,
NEME,24.11.2014,"1.250,00",,,"1.250,00","0,00",,,
NEME,25.11.2014,"1.250,00",,,"1.250,00","0,00",,,
NEME,26.11.2014,"1.250,00",,,"1.250,00","0,00",,,
NEME,27.11.2014,"1.250,00",,,"1.250,00","0,00",,,
NEME,28.11.2014,"1.250,00",,,"1.250,00","0,00",,,
NEME,01.12.2014,"1.250,00",,,"1.250,00","0,00",,,
NEME,02.12.2014,"1.250,00",,,"1.250,00","0,00",,,
NEME,04.12.2014,"1.250,00",,,"1.250,00","0,00",,,
NEME,05.12.2014,"1.250,00",,,"1.250,00","0,00",,,
NEME,09.12.2014,"1.250,00",,,"1.250,00","0,00",,,
NEME,10.12.2014,"1.250,00",,,"1.250,00","0,00",,,
NEME,11.12.2014,"1.250,00",,,"1.250,00","0,00",,,
NEME,12.12.2014,"1.250,00",,,"1.250,00","0,00",,,
NEME,15.12.2014,"1.250,00",,,"1.250,00","0,00",,,
NEME,16.12.2014,"1.250,00",,,"1.250,00","0,00",,,
NEME,17.12.2014,"1.250,00",,,"1.250,00","0,00",,,
NEME,18.12.2014,"1.250,00",,,"1.250,00","0,00",,,
NEME,19.12.2014,"1.250,00",,,"1.250,00","0,00",,,
NEME,22.12.2014,"1.250,00",,,"1.250,00","0,00",,,
NEME,23.12.2014,"1.250,00",,,"1.250,00","0,00",,,
NEME,24.12.2014,"1.250,00",,,"1.250,00","0,00",,,
NEME,25.12.2014,"1.250,00",,,"1.250,00","0,00",,,
NEME,26.12.2014,"1.250,00",,,"1.250,00","0,00",,,
NEME,29.12.2014,"1.250,00",,,"1.250,00","0,00",,,
NEME,30.12.2014,"1.250,00",,,"1.250,00","0,00",,,
NEME,02.01.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,05.01.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,08.01.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,09.01.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,12.01.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,13.01.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,14.01.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,15.01.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,16.01.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,20.01.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,21.01.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,22.01.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,23.01.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,26.01.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,27.01.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,28.01.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,29.01.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,30.01.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,02.02.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,03.02.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,04.02.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,05.02.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,06.02.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,09.02.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,10.02.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,11.02.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,12.02.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,13.02.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,16.02.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,17.02.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,18.02.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,19.02.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,20.02.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,23.02.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,24.02.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,25.02.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,26.02.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,27.02.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,02.03.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,03.03.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,04.03.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,05.03.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,06.03.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,09.03.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,10.03.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,11.03.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,12.03.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,13.03.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,16.03.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,17.03.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,18.03.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,19.03.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,20.03.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,23.03.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,24.03.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,25.03.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,26.03.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,27.03.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,30.03.2015,"1.250,00",,,"1.250,00","0,00",,,
NEME,31.03.2015,"1.250,00",,,"1.250,00","0,00",,,
