Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
NOSK,13.11.2014,"23.800,00",,,"23.800,00","0,00",,,
NOSK,14.11.2014,"23.800,00",,,"23.800,00","0,00",,,
NOSK,17.11.2014,"23.800,00",,,"23.800,00","0,00",,,
NOSK,18.11.2014,"23.800,00",,,"23.800,00","0,00",,,
NOSK,19.11.2014,"23.800,00",,,"23.800,00","0,00",,,
NOSK,20.11.2014,"23.800,00",,,"23.800,00","0,00",,,
NOSK,21.11.2014,"23.800,00",,,"23.800,00","0,00",,,
NOSK,24.11.2014,"23.800,00",,,"23.800,00","0,00",,,
NOSK,25.11.2014,"23.800,00",,,"23.800,00","0,00",,,
NOSK,26.11.2014,"23.800,00",,,"23.800,00","0,00",,,
NOSK,27.11.2014,"23.800,00",,,"23.800,00","0,00",,,
NOSK,28.11.2014,"23.800,00",,,"23.800,00","0,00",,,
NOSK,01.12.2014,"23.800,00",,,"23.800,00","0,00",,,
NOSK,02.12.2014,"23.800,00",,,"23.800,00","0,00",,,
NOSK,04.12.2014,"23.800,00",,,"23.800,00","0,00",,,
NOSK,05.12.2014,"23.800,00",,,"23.800,00","0,00",,,
NOSK,09.12.2014,"23.800,00",,,"23.800,00","0,00",,,
NOSK,10.12.2014,"23.800,00",,,"23.800,00","0,00",,,
NOSK,11.12.2014,"23.800,00",,,"23.800,00","0,00",,,
NOSK,12.12.2014,"23.800,00",,,"23.800,00","0,00",,,
NOSK,15.12.2014,"23.800,00",,,"23.800,00","0,00",,,
NOSK,16.12.2014,"23.800,00",,,"23.800,00","0,00",,,
NOSK,17.12.2014,"23.800,00",,,"23.800,00","0,00",,,
NOSK,18.12.2014,"23.800,00",,,"23.800,00","0,00",,,
NOSK,19.12.2014,"23.800,00",,,"23.800,00","0,00",,,
NOSK,22.12.2014,"23.800,00",,,"23.800,00","0,00",,,
NOSK,23.12.2014,"23.800,00",,,"23.800,00","0,00",,,
NOSK,24.12.2014,"23.800,00",,,"23.800,00","0,00",,,
