Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
OBPP,13.11.2014,,,,,,,,
OBPP,14.11.2014,,,,,,,,
OBPP,17.11.2014,,,,,,,,
OBPP,18.11.2014,,,,,,,,
OBPP,19.11.2014,,,,,,,,
OBPP,20.11.2014,,,,,,,,
OBPP,21.11.2014,,,,,,,,
OBPP,24.11.2014,,,,,,,,
OBPP,25.11.2014,,,,,,,,
OBPP,26.11.2014,,,,,,,,
OBPP,27.11.2014,,,,,,,,
OBPP,28.11.2014,,,,,,,,
OBPP,01.12.2014,,,,,,,,
OBPP,02.12.2014,,,,,,,,
OBPP,04.12.2014,,,,,,,,
OBPP,05.12.2014,,,,,,,,
OBPP,09.12.2014,,,,,,,,
OBPP,10.12.2014,,,,,,,,
OBPP,11.12.2014,,,,,,,,
OBPP,12.12.2014,,,,,,,,
OBPP,15.12.2014,,,,,,,,
OBPP,16.12.2014,,,,,,,,
OBPP,17.12.2014,,,,,,,,
OBPP,18.12.2014,,,,,,,,
OBPP,19.12.2014,,,,,,,,
OBPP,22.12.2014,,,,,,,,
OBPP,23.12.2014,,,,,,,,
OBPP,24.12.2014,,,,,,,,
OBPP,25.12.2014,,,,,,,,
OBPP,26.12.2014,,,,,,,,
OBPP,29.12.2014,,,,,,,,
OBPP,30.12.2014,,,,,,,,
OBPP,02.01.2015,,,,,,,,
OBPP,05.01.2015,,,,,,,,
OBPP,08.01.2015,,,,,,,,
OBPP,09.01.2015,,,,,,,,
OBPP,12.01.2015,,,,,,,,
OBPP,13.01.2015,,,,,,,,
OBPP,14.01.2015,,,,,,,,
OBPP,15.01.2015,,,,,,,,
OBPP,16.01.2015,,,,,,,,
OBPP,20.01.2015,,,,,,,,
OBPP,21.01.2015,,,,,,,,
OBPP,22.01.2015,,,,,,,,
OBPP,23.01.2015,,,,,,,,
OBPP,26.01.2015,,,,,,,,
OBPP,27.01.2015,,,,,,,,
OBPP,28.01.2015,,,,,,,,
OBPP,29.01.2015,,,,,,,,
OBPP,30.01.2015,,,,,,,,
OBPP,02.02.2015,,,,,,,,
OBPP,03.02.2015,,,,,,,,
OBPP,04.02.2015,,,,,,,,
OBPP,05.02.2015,,,,,,,,
OBPP,06.02.2015,,,,,,,,
OBPP,09.02.2015,,,,,,,,
OBPP,10.02.2015,,,,,,,,
