Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
OILK,13.11.2014,"6.800,00",,,"6.800,00","0,00",,,
OILK,14.11.2014,"6.800,00",,,"6.800,00","0,00",,,
OILK,17.11.2014,"6.800,00",,,"6.800,00","0,00",,,
OILK,18.11.2014,"6.800,00",,,"6.800,00","0,00",,,
OILK,19.11.2014,"6.800,00",,,"6.800,00","0,00",,,
OILK,20.11.2014,"6.800,00",,,"6.800,00","0,00",,,
OILK,21.11.2014,"6.800,00",,,"6.800,00","0,00",,,
OILK,24.11.2014,"6.800,00",,,"6.800,00","0,00",,,
OILK,25.11.2014,"6.800,00",,,"6.800,00","0,00",,,
OILK,26.11.2014,"6.800,00",,,"6.800,00","0,00",,,
OILK,27.11.2014,"6.800,00",,,"6.800,00","0,00",,,
OILK,28.11.2014,"6.800,00",,,"6.800,00","0,00",,,
OILK,01.12.2014,"6.800,00",,,"6.800,00","0,00",,,
OILK,02.12.2014,"6.800,00",,,"6.800,00","0,00",,,
OILK,04.12.2014,"6.800,00",,,"6.800,00","0,00",,,
OILK,05.12.2014,"6.800,00",,,"6.800,00","0,00",,,
OILK,09.12.2014,"6.800,00",,,"6.800,00","0,00",,,
OILK,10.12.2014,"6.800,00",,,"6.800,00","0,00",,,
OILK,11.12.2014,"6.800,00",,,"6.800,00","0,00",,,
OILK,12.12.2014,"6.800,00",,,"6.800,00","0,00",,,
OILK,15.12.2014,"6.800,00",,,"6.800,00","0,00",,,
OILK,16.12.2014,"6.800,00",,,"6.800,00","0,00",,,
OILK,17.12.2014,"6.800,00",,,"6.800,00","0,00",,,
OILK,18.12.2014,"6.800,00",,,"6.800,00","0,00",,,
OILK,19.12.2014,"6.600,00","6.600,00","6.600,00","6.600,00","-2,94",1.0,6.6,6.6
OILK,22.12.2014,"6.600,00",,,"6.600,00","0,00",,,
OILK,23.12.2014,"6.600,00",,,"6.600,00","0,00",,,
OILK,24.12.2014,"6.600,00",,,"6.600,00","0,00",,,
OILK,25.12.2014,"6.600,00",,,"6.600,00","0,00",,,
OILK,26.12.2014,"6.600,00",,,"6.600,00","0,00",,,
OILK,29.12.2014,"6.600,00",,,"6.600,00","0,00",,,
OILK,30.12.2014,"6.600,00",,,"6.600,00","0,00",,,
OILK,02.01.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,05.01.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,08.01.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,09.01.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,12.01.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,13.01.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,14.01.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,15.01.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,16.01.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,20.01.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,21.01.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,22.01.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,23.01.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,26.01.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,27.01.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,28.01.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,29.01.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,30.01.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,02.02.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,03.02.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,04.02.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,05.02.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,06.02.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,09.02.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,10.02.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,11.02.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,12.02.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,13.02.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,16.02.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,17.02.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,18.02.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,19.02.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,20.02.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,23.02.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,24.02.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,25.02.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,26.02.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,27.02.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,02.03.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,03.03.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,04.03.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,05.03.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,06.03.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,09.03.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,10.03.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,11.03.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,12.03.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,13.03.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,16.03.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,17.03.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,18.03.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,19.03.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,20.03.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,23.03.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,24.03.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,25.03.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,26.03.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,27.03.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,30.03.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,31.03.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,01.04.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,02.04.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,03.04.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,06.04.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,07.04.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,08.04.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,09.04.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,14.04.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,15.04.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,16.04.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,17.04.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,20.04.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,21.04.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,22.04.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,23.04.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,24.04.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,27.04.2015,"6.600,00",,,"6.600,00","0,00",,,
OILK,28.04.2015,"6.100,00","6.100,00","6.100,00","6.100,00","-7,58",1.0,6.1,6.1
OILK,29.04.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,30.04.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,04.05.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,05.05.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,06.05.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,07.05.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,08.05.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,11.05.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,12.05.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,13.05.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,14.05.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,15.05.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,18.05.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,19.05.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,20.05.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,21.05.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,22.05.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,26.05.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,27.05.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,28.05.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,01.06.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,02.06.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,03.06.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,04.06.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,05.06.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,08.06.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,09.06.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,10.06.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,11.06.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,12.06.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,15.06.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,16.06.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,17.06.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,18.06.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,19.06.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,22.06.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,23.06.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,24.06.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,25.06.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,26.06.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,29.06.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,30.06.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,01.07.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,02.07.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,03.07.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,06.07.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,07.07.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,08.07.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,09.07.2015,"6.100,00",,,"6.100,00","0,00",,,
OILK,10.07.2015,"6.100,00",,,"6.100,00","0,00",,,
