Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
OKTA,13.11.2014,"500,00",,,"500,00","0,00",,,
OKTA,14.11.2014,"701,00","701,00","701,00","701,00","40,20",60.0,42.06,42.06
OKTA,17.11.2014,"700,00","700,00","700,00","700,00","-0,14",15.0,10.5,10.5
OKTA,18.11.2014,"610,00","610,00","610,00","610,00","-12,86",10.0,6.1,6.1
OKTA,19.11.2014,"610,00",,,"610,00","0,00",,,
OKTA,20.11.2014,"610,00",,,"610,00","0,00",,,
OKTA,21.11.2014,"610,00",,,"610,00","0,00",,,
OKTA,24.11.2014,"610,00",,,"610,00","0,00",,,
OKTA,25.11.2014,"610,00",,,"610,00","0,00",,,
OKTA,26.11.2014,"610,00",,,"610,00","0,00",,,
OKTA,27.11.2014,"610,00",,,"610,00","0,00",,,
OKTA,28.11.2014,"610,00",,,"610,00","0,00",,,
OKTA,01.12.2014,"610,00",,,"610,00","0,00",,,
OKTA,02.12.2014,"610,00",,,"610,00","0,00",,,
OKTA,04.12.2014,"610,00",,,"610,00","0,00",,,
OKTA,05.12.2014,"610,00",,,"610,00","0,00",,,
OKTA,09.12.2014,"610,00",,,"610,00","0,00",,,
OKTA,10.12.2014,"610,00",,,"610,00","0,00",,,
OKTA,11.12.2014,"610,00",,,"610,00","0,00",,,
OKTA,12.12.2014,"610,00",,,"610,00","0,00",,,
OKTA,15.12.2014,"610,00",,,"610,00","0,00",,,
OKTA,16.12.2014,"610,00",,,"610,00","0,00",,,
OKTA,17.12.2014,"610,00",,,"610,00","0,00",,,
OKTA,18.12.2014,"610,00",,,"610,00","0,00",,,
OKTA,19.12.2014,"610,00",,,"610,00","0,00",,,
OKTA,22.12.2014,"610,00",,,"610,00","0,00",,,
OKTA,23.12.2014,"610,00",,,"610,00","0,00",,,
OKTA,24.12.2014,"610,00",,,"610,00","0,00",,,
OKTA,25.12.2014,"610,00",,,"610,00","0,00",,,
OKTA,26.12.2014,"610,00",,,"610,00","0,00",,,
OKTA,29.12.2014,"550,00","550,00","550,00","550,00","-9,84",10.0,5.5,5.5
OKTA,30.12.2014,"550,00",,,"550,00","0,00",,,
OKTA,02.01.2015,"550,00",,,"550,00","0,00",,,
OKTA,05.01.2015,"550,00",,,"550,00","0,00",,,
OKTA,08.01.2015,"550,00",,,"550,00","0,00",,,
