Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
OMOS,10.06.2021,"30,00","30,00","30,00","30,00",,50.0,1.500.000,1.500.000
OMOS,11.06.2021,"30,00",,,"30,00","0,00",,,
OMOS,14.06.2021,"30,00",,,"30,00","0,00",,,
OMOS,15.06.2021,"30,00",,,"30,00","0,00",,,
OMOS,16.06.2021,"30,00",,,"30,00","0,00",,,
OMOS,17.06.2021,"30,00",,,"30,00","0,00",,,
OMOS,21.06.2021,"30,00",,,"30,00","0,00",,,
OMOS,22.06.2021,"30,00",,,"30,00","0,00",,,
OMOS,23.06.2021,"30,00",,,"30,00","0,00",,,
OMOS,24.06.2021,"30,00",,,"30,00","0,00",,,
OMOS,25.06.2021,"30,00",,,"30,00","0,00",,,
OMOS,28.06.2021,"30,00",,,"30,00","0,00",,,
OMOS,29.06.2021,"30,00",,,"30,00","0,00",,,
OMOS,30.06.2021,"30,00",,,"30,00","0,00",,,
OMOS,01.07.2021,"30,00",,,"30,00","0,00",,,
OMOS,02.07.2021,"30,00",,,"30,00","0,00",,,
OMOS,05.07.2021,"30,00",,,"30,00","0,00",,,
OMOS,06.07.2021,"30,00",,,"30,00","0,00",,,
OMOS,07.07.2021,"30,00",,,"30,00","0,00",,,
OMOS,08.07.2021,"30,00",,,"30,00","0,00",,,
OMOS,09.07.2021,"30,00",,,"30,00","0,00",,,
OMOS,12.07.2021,"30,00",,,"30,00","0,00",,,
OMOS,13.07.2021,"30,00",,,"30,00","0,00",,,
OMOS,14.07.2021,"30,00",,,"30,00","0,00",,,
OMOS,15.07.2021,"30,00",,,"30,00","0,00",,,
OMOS,16.07.2021,"30,00",,,"30,00","0,00",,,
OMOS,19.07.2021,"30,00",,,"30,00","0,00",,,
OMOS,20.07.2021,"30,00",,,"30,00","0,00",,,
OMOS,21.07.2021,"30,00",,,"30,00","0,00",,,
OMOS,22.07.2021,"30,00",,,"30,00","0,00",,,
