Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
OPFO,09.04.2021,,,,,,,,
OPFO,12.04.2021,,,,,,,,
OPFO,13.04.2021,,,,,,,,
OPFO,14.04.2021,,,,,,,,
OPFO,15.04.2021,,,,,,,,
OPFO,16.04.2021,,,,,,,,
OPFO,19.04.2021,,,,,,,,
OPFO,20.04.2021,,,,,,,,
OPFO,21.04.2021,,,,,,,,
OPFO,22.04.2021,,,,,,,,
OPFO,23.04.2021,,,,,,,,
OPFO,26.04.2021,,,,,,,,
OPFO,27.04.2021,"100,00","100,00","100,00","100,00",,750.0,75.0,75.0
OPFO,28.04.2021,"100,00",,,"100,00","0,00",,,
OPFO,29.04.2021,"100,00",,,"100,00","0,00",,,
OPFO,04.05.2021,"100,00",,,"100,00","0,00",,,
OPFO,05.05.2021,"100,00",,,"100,00","0,00",,,
OPFO,06.05.2021,"100,00",,,"100,00","0,00",,,
OPFO,07.05.2021,"100,00",,,"100,00","0,00",,,
OPFO,10.05.2021,"100,00",,,"100,00","0,00",,,
OPFO,11.05.2021,"100,00",,,"100,00","0,00",,,
OPFO,12.05.2021,"100,00",,,"100,00","0,00",,,
OPFO,14.05.2021,"100,00",,,"100,00","0,00",,,
OPFO,17.05.2021,"100,00",,,"100,00","0,00",,,
OPFO,18.05.2021,"100,00",,,"100,00","0,00",,,
OPFO,19.05.2021,"100,00",,,"100,00","0,00",,,
OPFO,20.05.2021,"100,00",,,"100,00","0,00",,,
OPFO,21.05.2021,"100,00",,,"100,00","0,00",,,
OPFO,25.05.2021,"100,00",,,"100,00","0,00",,,
OPFO,26.05.2021,"100,00",,,"100,00","0,00",,,
OPFO,27.05.2021,"100,00",,,"100,00","0,00",,,
OPFO,28.05.2021,"100,00",,,"100,00","0,00",,,
OPFO,31.05.2021,"100,00",,,"100,00","0,00",,,
OPFO,01.06.2021,"100,00",,,"100,00","0,00",,,
OPFO,02.06.2021,"100,00",,,"100,00","0,00",,,
OPFO,03.06.2021,"100,00",,,"100,00","0,00",,,
OPFO,04.06.2021,"100,00",,,"100,00","0,00",,,
OPFO,07.06.2021,"100,00",,,"100,00","0,00",,,
OPFO,08.06.2021,"100,00",,,"100,00","0,00",,,
OPFO,09.06.2021,"100,00",,,"100,00","0,00",,,
OPFO,10.06.2021,"100,00",,,"100,00","0,00",,,
OPFO,11.06.2021,"100,00",,,"100,00","0,00",,,
OPFO,14.06.2021,"100,00",,,"100,00","0,00",,,
OPFO,15.06.2021,"100,00",,,"100,00","0,00",,,
OPFO,16.06.2021,"100,00",,,"100,00","0,00",,,
OPFO,17.06.2021,"100,00",,,"100,00","0,00",,,
OPFO,21.06.2021,"100,00",,,"100,00","0,00",,,
OPFO,22.06.2021,"100,00",,,"100,00","0,00",,,
OPFO,23.06.2021,"100,00",,,"100,00","0,00",,,
OPFO,24.06.2021,"100,00",,,"100,00","0,00",,,
OPFO,25.06.2021,"100,00",,,"100,00","0,00",,,
OPFO,28.06.2021,"100,00",,,"100,00","0,00",,,
OPFO,29.06.2021,"100,00",,,"100,00","0,00",,,
OPFO,30.06.2021,"100,00",,,"100,00","0,00",,,
OPFO,01.07.2021,"100,00",,,"100,00","0,00",,,
OPFO,02.07.2021,"100,00",,,"100,00","0,00",,,
OPFO,05.07.2021,"100,00",,,"100,00","0,00",,,
OPFO,06.07.2021,"100,00",,,"100,00","0,00",,,
OPFO,07.07.2021,"100,00",,,"100,00","0,00",,,
OPFO,08.07.2021,"100,00",,,"100,00","0,00",,,
OPFO,09.07.2021,"100,00",,,"100,00","0,00",,,
OPFO,12.07.2021,"100,00",,,"100,00","0,00",,,
OPFO,13.07.2021,"100,00",,,"100,00","0,00",,,
