Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
OPTK,13.11.2014,"1.350,00",,,"1.350,00","0,00",,,
OPTK,14.11.2014,"1.350,00",,,"1.350,00","0,00",,,
OPTK,17.11.2014,"1.350,00",,,"1.350,00","0,00",,,
OPTK,18.11.2014,"1.350,00",,,"1.350,00","0,00",,,
OPTK,19.11.2014,"1.350,00",,,"1.350,00","0,00",,,
OPTK,20.11.2014,"1.350,00",,,"1.350,00","0,00",,,
OPTK,21.11.2014,"1.350,00",,,"1.350,00","0,00",,,
OPTK,24.11.2014,"1.350,00",,,"1.350,00","0,00",,,
OPTK,25.11.2014,"1.350,00",,,"1.350,00","0,00",,,
OPTK,26.11.2014,"1.350,00",,,"1.350,00","0,00",,,
OPTK,27.11.2014,"1.350,00",,,"1.350,00","0,00",,,
OPTK,28.11.2014,"1.350,00",,,"1.350,00","0,00",,,
OPTK,01.12.2014,"1.350,00",,,"1.350,00","0,00",,,
OPTK,02.12.2014,"1.350,00",,,"1.350,00","0,00",,,
OPTK,04.12.2014,"1.350,00",,,"1.350,00","0,00",,,
OPTK,05.12.2014,"1.350,00",,,"1.350,00","0,00",,,
OPTK,09.12.2014,"1.350,00",,,"1.350,00","0,00",,,
OPTK,10.12.2014,"1.350,00",,,"1.350,00","0,00",,,
OPTK,11.12.2014,"1.350,00",,,"1.350,00","0,00",,,
OPTK,12.12.2014,"1.350,00",,,"1.350,00","0,00",,,
OPTK,15.12.2014,"1.350,00",,,"1.350,00","0,00",,,
OPTK,16.12.2014,"1.350,00",,,"1.350,00","0,00",,,
OPTK,17.12.2014,"1.350,00",,,"1.350,00","0,00",,,
OPTK,18.12.2014,"1.350,00",,,"1.350,00","0,00",,,
OPTK,19.12.2014,"1.350,00",,,"1.350,00","0,00",,,
OPTK,22.12.2014,"1.350,00",,,"1.350,00","0,00",,,
OPTK,23.12.2014,"1.350,00",,,"1.350,00","0,00",,,
OPTK,24.12.2014,"1.350,00",,,"1.350,00","0,00",,,
OPTK,25.12.2014,"1.350,00",,,"1.350,00","0,00",,,
OPTK,26.12.2014,"1.350,00",,,"1.350,00","0,00",,,
OPTK,29.12.2014,"1.350,00",,,"1.350,00","0,00",,,
OPTK,30.12.2014,"1.350,00",,,"1.350,00","0,00",,,
OPTK,02.01.2015,"1.350,00",,,"1.350,00","0,00",,,
OPTK,05.01.2015,"1.350,00",,,"1.350,00","0,00",,,
OPTK,08.01.2015,"1.350,00",,,"1.350,00","0,00",,,
OPTK,09.01.2015,"1.350,00",,,"1.350,00","0,00",,,
OPTK,12.01.2015,"1.350,00",,,"1.350,00","0,00",,,
OPTK,13.01.2015,"1.350,00",,,"1.350,00","0,00",,,
OPTK,14.01.2015,"1.350,00",,,"1.350,00","0,00",,,
OPTK,15.01.2015,"1.350,00",,,"1.350,00","0,00",,,
OPTK,16.01.2015,"1.350,00",,,"1.350,00","0,00",,,
OPTK,20.01.2015,"1.350,00",,,"1.350,00","0,00",,,
OPTK,21.01.2015,"1.350,00",,,"1.350,00","0,00",,,
OPTK,22.01.2015,"1.350,00",,,"1.350,00","0,00",,,
OPTK,23.01.2015,"1.350,00",,,"1.350,00","0,00",,,
OPTK,26.01.2015,"1.350,00",,,"1.350,00","0,00",,,
OPTK,27.01.2015,"1.350,00",,,"1.350,00","0,00",,,
OPTK,28.01.2015,"1.350,00",,,"1.350,00","0,00",,,
OPTK,29.01.2015,"1.350,00",,,"1.350,00","0,00",,,
OPTK,30.01.2015,"1.350,00",,,"1.350,00","0,00",,,
OPTK,02.02.2015,"1.350,00",,,"1.350,00","0,00",,,
OPTK,03.02.2015,"1.350,00",,,"1.350,00","0,00",,,
OPTK,04.02.2015,"1.350,00",,,"1.350,00","0,00",,,
OPTK,05.02.2015,"1.350,00",,,"1.350,00","0,00",,,
OPTK,06.02.2015,"1.350,00",,,"1.350,00","0,00",,,
OPTK,09.02.2015,"1.350,00",,,"1.350,00","0,00",,,
OPTK,10.02.2015,"1.350,00",,,"1.350,00","0,00",,,
OPTK,11.02.2015,"1.350,00",,,"1.350,00","0,00",,,
OPTK,12.02.2015,"1.350,00",,,"1.350,00","0,00",,,
OPTK,13.02.2015,"1.350,00",,,"1.350,00","0,00",,,
OPTK,16.02.2015,"1.350,00",,,"1.350,00","0,00",,,
OPTK,17.02.2015,"1.350,00",,,"1.350,00","0,00",,,
OPTK,18.02.2015,"1.350,00",,,"1.350,00","0,00",,,
OPTK,19.02.2015,"1.350,00",,,"1.350,00","0,00",,,
