Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
OSPO,13.11.2014,"1.000,00",,,"1.000,00","0,00",,,
OSPO,14.11.2014,"1.000,00",,,"1.000,00","0,00",,,
OSPO,17.11.2014,"1.000,00",,,"1.000,00","0,00",,,
OSPO,18.11.2014,"1.000,00",,,"1.000,00","0,00",,,
OSPO,19.11.2014,"1.000,00",,,"1.000,00","0,00",,,
OSPO,20.11.2014,"1.000,00",,,"1.000,00","0,00",,,
OSPO,21.11.2014,"1.000,00",,,"1.000,00","0,00",,,
OSPO,24.11.2014,"1.000,00",,,"1.000,00","0,00",,,
OSPO,25.11.2014,"1.000,00",,,"1.000,00","0,00",,,
OSPO,26.11.2014,"1.000,00",,,"1.000,00","0,00",,,
OSPO,27.11.2014,"1.000,00",,,"1.000,00","0,00",,,
OSPO,28.11.2014,"1.000,00",,,"1.000,00","0,00",,,
OSPO,01.12.2014,"1.000,00",,,"1.000,00","0,00",,,
OSPO,02.12.2014,"1.000,00",,,"1.000,00","0,00",,,
OSPO,04.12.2014,"1.000,00",,,"1.000,00","0,00",,,
OSPO,05.12.2014,"1.000,00",,,"1.000,00","0,00",,,
OSPO,09.12.2014,"1.000,00",,,"1.000,00","0,00",,,
OSPO,10.12.2014,"1.000,00",,,"1.000,00","0,00",,,
OSPO,11.12.2014,"1.000,00",,,"1.000,00","0,00",,,
OSPO,12.12.2014,"1.000,00",,,"1.000,00","0,00",,,
OSPO,15.12.2014,"1.000,00",,,"1.000,00","0,00",,,
OSPO,16.12.2014,"1.000,00",,,"1.000,00","0,00",,,
OSPO,17.12.2014,"1.000,00",,,"1.000,00","0,00",,,
OSPO,18.12.2014,"1.000,00",,,"1.000,00","0,00",,,
OSPO,19.12.2014,"1.000,00",,,"1.000,00","0,00",,,
OSPO,22.12.2014,"1.000,00",,,"1.000,00","0,00",,,
OSPO,23.12.2014,"1.000,00",,,"1.000,00","0,00",,,
OSPO,24.12.2014,"1.000,00",,,"1.000,00","0,00",,,
OSPO,25.12.2014,"1.000,00",,,"1.000,00","0,00",,,
OSPO,26.12.2014,"1.000,00",,,"1.000,00","0,00",,,
OSPO,29.12.2014,"1.000,00",,,"1.000,00","0,00",,,
OSPO,30.12.2014,"1.000,00",,,"1.000,00","0,00",,,
OSPO,02.01.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,05.01.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,08.01.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,09.01.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,12.01.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,13.01.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,14.01.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,15.01.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,16.01.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,20.01.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,21.01.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,22.01.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,23.01.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,26.01.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,27.01.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,28.01.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,29.01.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,30.01.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,02.02.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,03.02.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,04.02.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,05.02.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,06.02.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,09.02.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,10.02.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,11.02.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,12.02.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,13.02.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,16.02.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,17.02.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,18.02.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,19.02.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,20.02.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,23.02.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,24.02.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,25.02.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,26.02.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,27.02.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,02.03.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,03.03.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,04.03.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,05.03.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,06.03.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,09.03.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,10.03.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,11.03.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,12.03.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,13.03.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,16.03.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,17.03.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,18.03.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,19.03.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,20.03.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,23.03.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,24.03.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,25.03.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,26.03.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,27.03.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,30.03.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,31.03.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,01.04.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,02.04.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,03.04.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,06.04.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,07.04.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,08.04.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,09.04.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,14.04.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,15.04.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,16.04.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,17.04.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,20.04.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,21.04.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,22.04.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,23.04.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,24.04.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,27.04.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,28.04.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,29.04.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,30.04.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,04.05.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,05.05.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,06.05.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,07.05.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,08.05.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,11.05.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,12.05.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,13.05.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,14.05.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,15.05.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,18.05.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,19.05.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,20.05.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,21.05.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,22.05.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,26.05.2015,"1.000,00",,,"1.000,00","0,00",,,
OSPO,27.05.2015,"1.000,00",,,"1.000,00","0,00",,,
