Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
OTEK,13.11.2014,"45,00",,,"45,00","0,00",,,
OTEK,14.11.2014,"45,00",,,"45,00","0,00",,,
OTEK,17.11.2014,"45,00",,,"45,00","0,00",,,
OTEK,18.11.2014,"45,00",,,"45,00","0,00",,,
OTEK,19.11.2014,"45,00",,,"45,00","0,00",,,
OTEK,20.11.2014,"45,00",,,"45,00","0,00",,,
OTEK,21.11.2014,"45,00",,,"45,00","0,00",,,
OTEK,24.11.2014,"45,00",,,"45,00","0,00",,,
OTEK,25.11.2014,"45,00",,,"45,00","0,00",,,
OTEK,26.11.2014,"45,00",,,"45,00","0,00",,,
OTEK,27.11.2014,"45,00",,,"45,00","0,00",,,
OTEK,28.11.2014,"45,00",,,"45,00","0,00",,,
OTEK,01.12.2014,"45,00",,,"45,00","0,00",,,
OTEK,02.12.2014,"45,00",,,"45,00","0,00",,,
OTEK,04.12.2014,"45,00",,,"45,00","0,00",,,
OTEK,05.12.2014,"45,00",,,"45,00","0,00",,,
OTEK,09.12.2014,"45,00",,,"45,00","0,00",,,
OTEK,10.12.2014,"45,00",,,"45,00","0,00",,,
OTEK,11.12.2014,"45,00",,,"45,00","0,00",,,
OTEK,12.12.2014,"45,00",,,"45,00","0,00",,,
OTEK,15.12.2014,"45,00",,,"45,00","0,00",,,
OTEK,16.12.2014,"45,00",,,"45,00","0,00",,,
OTEK,17.12.2014,"45,00",,,"45,00","0,00",,,
OTEK,18.12.2014,"45,00",,,"45,00","0,00",,,
OTEK,19.12.2014,"45,00",,,"45,00","0,00",,,
OTEK,22.12.2014,"45,00",,,"45,00","0,00",,,
OTEK,23.12.2014,"45,00",,,"45,00","0,00",,,
OTEK,24.12.2014,"45,00",,,"45,00","0,00",,,
OTEK,25.12.2014,"45,00",,,"45,00","0,00",,,
OTEK,26.12.2014,"45,00",,,"45,00","0,00",,,
OTEK,29.12.2014,"45,00",,,"45,00","0,00",,,
OTEK,30.12.2014,"45,00",,,"45,00","0,00",,,
OTEK,02.01.2015,"45,00",,,"45,00","0,00",,,
OTEK,05.01.2015,"45,00",,,"45,00","0,00",,,
OTEK,08.01.2015,"45,00",,,"45,00","0,00",,,
OTEK,09.01.2015,"45,00",,,"45,00","0,00",,,
OTEK,12.01.2015,"45,00",,,"45,00","0,00",,,
OTEK,13.01.2015,"45,00",,,"45,00","0,00",,,
OTEK,14.01.2015,"45,00",,,"45,00","0,00",,,
OTEK,15.01.2015,"45,00",,,"45,00","0,00",,,
OTEK,16.01.2015,"45,00",,,"45,00","0,00",,,
OTEK,20.01.2015,"45,00",,,"45,00","0,00",,,
OTEK,21.01.2015,"45,00",,,"45,00","0,00",,,
OTEK,22.01.2015,"45,00",,,"45,00","0,00",,,
OTEK,23.01.2015,"45,00",,,"45,00","0,00",,,
OTEK,26.01.2015,"45,00",,,"45,00","0,00",,,
OTEK,27.01.2015,"45,00",,,"45,00","0,00",,,
OTEK,28.01.2015,"45,00",,,"45,00","0,00",,,
OTEK,29.01.2015,"45,00",,,"45,00","0,00",,,
OTEK,30.01.2015,"45,00",,,"45,00","0,00",,,
OTEK,02.02.2015,"45,00",,,"45,00","0,00",,,
OTEK,03.02.2015,"45,00",,,"45,00","0,00",,,
OTEK,04.02.2015,"45,00",,,"45,00","0,00",,,
OTEK,05.02.2015,"45,00",,,"45,00","0,00",,,
OTEK,06.02.2015,"45,00",,,"45,00","0,00",,,
OTEK,09.02.2015,"45,00",,,"45,00","0,00",,,
OTEK,10.02.2015,"45,00",,,"45,00","0,00",,,
OTEK,11.02.2015,"45,00",,,"45,00","0,00",,,
OTEK,12.02.2015,"45,00",,,"45,00","0,00",,,
OTEK,13.02.2015,"45,00",,,"45,00","0,00",,,
OTEK,16.02.2015,"45,00",,,"45,00","0,00",,,
OTEK,17.02.2015,"45,00",,,"45,00","0,00",,,
OTEK,18.02.2015,"45,00",,,"45,00","0,00",,,
OTEK,19.02.2015,"45,00",,,"45,00","0,00",,,
OTEK,20.02.2015,"45,00",,,"45,00","0,00",,,
OTEK,23.02.2015,"45,00",,,"45,00","0,00",,,
OTEK,24.02.2015,"45,00",,,"45,00","0,00",,,
OTEK,25.02.2015,"45,00",,,"45,00","0,00",,,
OTEK,26.02.2015,"45,00",,,"45,00","0,00",,,
OTEK,27.02.2015,"45,00",,,"45,00","0,00",,,
OTEK,02.03.2015,"45,00",,,"45,00","0,00",,,
OTEK,03.03.2015,"45,00",,,"45,00","0,00",,,
OTEK,04.03.2015,"45,00",,,"45,00","0,00",,,
OTEK,05.03.2015,"45,00",,,"45,00","0,00",,,
OTEK,06.03.2015,"45,00",,,"45,00","0,00",,,
OTEK,09.03.2015,"45,00",,,"45,00","0,00",,,
OTEK,10.03.2015,"45,00",,,"45,00","0,00",,,
OTEK,11.03.2015,"45,00",,,"45,00","0,00",,,
OTEK,12.03.2015,"45,00",,,"45,00","0,00",,,
OTEK,13.03.2015,"45,00",,,"45,00","0,00",,,
OTEK,16.03.2015,"45,00",,,"45,00","0,00",,,
OTEK,17.03.2015,"45,00",,,"45,00","0,00",,,
OTEK,18.03.2015,"45,00",,,"45,00","0,00",,,
OTEK,19.03.2015,"45,00",,,"45,00","0,00",,,
OTEK,20.03.2015,"45,00",,,"45,00","0,00",,,
OTEK,23.03.2015,"45,00",,,"45,00","0,00",,,
OTEK,24.03.2015,"45,00",,,"45,00","0,00",,,
OTEK,25.03.2015,"45,00",,,"45,00","0,00",,,
OTEK,26.03.2015,"45,00",,,"45,00","0,00",,,
OTEK,27.03.2015,"45,00",,,"45,00","0,00",,,
OTEK,30.03.2015,"45,00",,,"45,00","0,00",,,
OTEK,31.03.2015,"45,00",,,"45,00","0,00",,,
OTEK,01.04.2015,"45,00",,,"45,00","0,00",,,
OTEK,02.04.2015,"45,00",,,"45,00","0,00",,,
OTEK,03.04.2015,"45,00",,,"45,00","0,00",,,
OTEK,06.04.2015,"45,00",,,"45,00","0,00",,,
OTEK,07.04.2015,"45,00",,,"45,00","0,00",,,
OTEK,08.04.2015,"45,00",,,"45,00","0,00",,,
OTEK,09.04.2015,"45,00",,,"45,00","0,00",,,
OTEK,14.04.2015,"45,00",,,"45,00","0,00",,,
OTEK,15.04.2015,"45,00",,,"45,00","0,00",,,
OTEK,16.04.2015,"45,00",,,"45,00","0,00",,,
OTEK,17.04.2015,"45,00",,,"45,00","0,00",,,
OTEK,20.04.2015,"45,00",,,"45,00","0,00",,,
OTEK,21.04.2015,"45,00",,,"45,00","0,00",,,
OTEK,22.04.2015,"45,00",,,"45,00","0,00",,,
OTEK,23.04.2015,"45,00",,,"45,00","0,00",,,
OTEK,24.04.2015,"45,00",,,"45,00","0,00",,,
