Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
PELK,13.11.2014,"500,00",,,"500,00","0,00",,,
PELK,14.11.2014,"500,00",,,"500,00","0,00",,,
PELK,17.11.2014,"500,00",,,"500,00","0,00",,,
PELK,18.11.2014,"500,00",,,"500,00","0,00",,,
PELK,19.11.2014,"500,00",,,"500,00","0,00",,,
PELK,20.11.2014,"500,00",,,"500,00","0,00",,,
PELK,21.11.2014,"500,00",,,"500,00","0,00",,,
PELK,24.11.2014,"500,00",,,"500,00","0,00",,,
PELK,25.11.2014,"500,00",,,"500,00","0,00",,,
PELK,26.11.2014,"500,00",,,"500,00","0,00",,,
PELK,27.11.2014,"500,00",,,"500,00","0,00",,,
PELK,28.11.2014,"500,00",,,"500,00","0,00",,,
PELK,01.12.2014,"500,00",,,"500,00","0,00",,,
PELK,02.12.2014,"500,00",,,"500,00","0,00",,,
PELK,04.12.2014,"500,00",,,"500,00","0,00",,,
PELK,05.12.2014,"500,00",,,"500,00","0,00",,,
PELK,09.12.2014,"500,00",,,"500,00","0,00",,,
PELK,10.12.2014,"500,00",,,"500,00","0,00",,,
PELK,11.12.2014,"500,00",,,"500,00","0,00",,,
PELK,12.12.2014,"500,00",,,"500,00","0,00",,,
PELK,15.12.2014,"500,00",,,"500,00","0,00",,,
PELK,16.12.2014,"500,00",,,"500,00","0,00",,,
PELK,17.12.2014,"500,00",,,"500,00","0,00",,,
PELK,18.12.2014,"500,00",,,"500,00","0,00",,,
PELK,19.12.2014,"500,00",,,"500,00","0,00",,,
PELK,22.12.2014,"500,00",,,"500,00","0,00",,,
PELK,23.12.2014,"500,00",,,"500,00","0,00",,,
PELK,24.12.2014,"500,00",,,"500,00","0,00",,,
PELK,25.12.2014,"500,00",,,"500,00","0,00",,,
PELK,26.12.2014,"500,00",,,"500,00","0,00",,,
PELK,29.12.2014,"500,00",,,"500,00","0,00",,,
PELK,30.12.2014,"500,00",,,"500,00","0,00",,,
PELK,02.01.2015,"500,00",,,"500,00","0,00",,,
PELK,05.01.2015,"500,00",,,"500,00","0,00",,,
PELK,08.01.2015,"500,00",,,"500,00","0,00",,,
PELK,09.01.2015,"500,00",,,"500,00","0,00",,,
PELK,12.01.2015,"500,00",,,"500,00","0,00",,,
PELK,13.01.2015,"500,00",,,"500,00","0,00",,,
PELK,14.01.2015,"500,00",,,"500,00","0,00",,,
PELK,15.01.2015,"500,00",,,"500,00","0,00",,,
PELK,16.01.2015,"500,00",,,"500,00","0,00",,,
PELK,20.01.2015,"500,00",,,"500,00","0,00",,,
PELK,21.01.2015,"500,00",,,"500,00","0,00",,,
PELK,22.01.2015,"500,00",,,"500,00","0,00",,,
PELK,23.01.2015,"500,00",,,"500,00","0,00",,,
PELK,26.01.2015,"500,00",,,"500,00","0,00",,,
PELK,27.01.2015,"500,00",,,"500,00","0,00",,,
PELK,28.01.2015,"500,00",,,"500,00","0,00",,,
PELK,29.01.2015,"500,00",,,"500,00","0,00",,,
PELK,30.01.2015,"500,00",,,"500,00","0,00",,,
PELK,02.02.2015,"500,00",,,"500,00","0,00",,,
PELK,03.02.2015,"500,00",,,"500,00","0,00",,,
PELK,04.02.2015,"500,00",,,"500,00","0,00",,,
PELK,05.02.2015,"500,00",,,"500,00","0,00",,,
PELK,06.02.2015,"500,00",,,"500,00","0,00",,,
PELK,09.02.2015,"500,00",,,"500,00","0,00",,,
PELK,10.02.2015,"500,00",,,"500,00","0,00",,,
PELK,11.02.2015,"500,00",,,"500,00","0,00",,,
PELK,12.02.2015,"500,00",,,"500,00","0,00",,,
PELK,13.02.2015,"500,00",,,"500,00","0,00",,,
PELK,16.02.2015,"500,00",,,"500,00","0,00",,,
PELK,17.02.2015,"500,00",,,"500,00","0,00",,,
PELK,18.02.2015,"500,00",,,"500,00","0,00",,,
PELK,19.02.2015,"500,00",,,"500,00","0,00",,,
PELK,20.02.2015,"500,00",,,"500,00","0,00",,,
PELK,23.02.2015,"500,00",,,"500,00","0,00",,,
PELK,24.02.2015,"500,00",,,"500,00","0,00",,,
PELK,25.02.2015,"500,00",,,"500,00","0,00",,,
PELK,26.02.2015,"500,00",,,"500,00","0,00",,,
PELK,27.02.2015,"500,00",,,"500,00","0,00",,,
PELK,02.03.2015,"500,00",,,"500,00","0,00",,,
PELK,03.03.2015,"500,00",,,"500,00","0,00",,,
PELK,04.03.2015,"500,00",,,"500,00","0,00",,,
PELK,05.03.2015,"500,00",,,"500,00","0,00",,,
PELK,06.03.2015,"500,00",,,"500,00","0,00",,,
PELK,09.03.2015,"500,00",,,"500,00","0,00",,,
PELK,10.03.2015,"500,00",,,"500,00","0,00",,,
PELK,11.03.2015,"500,00",,,"500,00","0,00",,,
PELK,12.03.2015,"500,00",,,"500,00","0,00",,,
PELK,13.03.2015,"500,00",,,"500,00","0,00",,,
PELK,16.03.2015,"500,00",,,"500,00","0,00",,,
PELK,17.03.2015,"500,00",,,"500,00","0,00",,,
PELK,18.03.2015,"500,00",,,"500,00","0,00",,,
PELK,19.03.2015,"500,00",,,"500,00","0,00",,,
PELK,20.03.2015,"500,00",,,"500,00","0,00",,,
PELK,23.03.2015,"500,00",,,"500,00","0,00",,,
PELK,24.03.2015,"500,00",,,"500,00","0,00",,,
PELK,25.03.2015,"500,00",,,"500,00","0,00",,,
PELK,26.03.2015,"500,00",,,"500,00","0,00",,,
PELK,27.03.2015,"500,00",,,"500,00","0,00",,,
PELK,30.03.2015,"500,00",,,"500,00","0,00",,,
PELK,31.03.2015,"500,00",,,"500,00","0,00",,,
PELK,01.04.2015,"500,00",,,"500,00","0,00",,,
