Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
PGGV,08.04.2015,,,,,,,,
PGGV,09.04.2015,,,,,,,,
PGGV,14.04.2015,,,,,,,,
PGGV,15.04.2015,,,,,,,,
PGGV,16.04.2015,,,,,,,,
PGGV,17.04.2015,,,,,,,,
PGGV,20.04.2015,,,,,,,,
PGGV,21.04.2015,,,,,,,,
PGGV,22.04.2015,,,,,,,,
PGGV,23.04.2015,,,,,,,,
PGGV,24.04.2015,,,,,,,,
PGGV,27.04.2015,,,,,,,,
PGGV,28.04.2015,,,,,,,,
PGGV,29.04.2015,"8.000,00","8.000,00","8.000,00","8.000,00",,21.0,168.0,168.0
PGGV,30.04.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,04.05.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,05.05.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,06.05.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,07.05.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,08.05.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,11.05.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,12.05.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,13.05.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,14.05.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,15.05.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,18.05.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,19.05.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,20.05.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,21.05.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,22.05.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,26.05.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,27.05.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,28.05.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,01.06.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,02.06.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,03.06.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,04.06.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,05.06.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,08.06.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,09.06.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,10.06.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,11.06.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,12.06.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,15.06.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,16.06.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,17.06.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,18.06.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,19.06.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,22.06.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,23.06.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,24.06.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,25.06.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,26.06.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,29.06.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,30.06.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,01.07.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,02.07.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,03.07.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,06.07.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,07.07.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,08.07.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,09.07.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,10.07.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,13.07.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,14.07.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,15.07.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,16.07.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,20.07.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,21.07.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,22.07.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,23.07.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,24.07.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,27.07.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,28.07.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,29.07.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,30.07.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,31.07.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,04.08.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,05.08.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,06.08.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,07.08.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,10.08.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,11.08.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,12.08.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,13.08.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,14.08.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,17.08.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,18.08.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,19.08.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,20.08.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,21.08.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,24.08.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,25.08.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,26.08.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,27.08.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,31.08.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,01.09.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,02.09.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,03.09.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,04.09.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,07.09.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,09.09.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,10.09.2015,"8.000,00",,,"8.000,00","0,00",,,
PGGV,11.09.2015,"8.000,00",,,"8.000,00","0,00",,,
