Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
PKB,13.11.2014,"2.202,00",,,"2.202,00","0,00",,,
PKB,14.11.2014,"2.202,00",,,"2.202,00","0,00",,,
PKB,17.11.2014,"2.202,00",,,"2.202,00","0,00",,,
PKB,18.11.2014,"2.202,00",,,"2.202,00","0,00",,,
PKB,19.11.2014,"2.202,00",,,"2.202,00","0,00",,,
PKB,20.11.2014,"2.202,00",,,"2.202,00","0,00",,,
PKB,21.11.2014,"2.202,00",,,"2.202,00","0,00",,,
PKB,24.11.2014,"2.202,00",,,"2.202,00","0,00",,,
PKB,25.11.2014,"2.202,00",,,"2.202,00","0,00",,,
PKB,26.11.2014,"2.202,00",,,"2.202,00","0,00",,,
PKB,27.11.2014,"2.202,00",,,"2.202,00","0,00",,,
PKB,28.11.2014,"2.202,00",,,"2.202,00","0,00",,,
PKB,01.12.2014,"2.202,00",,,"2.202,00","0,00",,,
PKB,02.12.2014,"2.202,00",,,"2.202,00","0,00",,,
PKB,04.12.2014,"2.202,00",,,"2.202,00","0,00",,,
PKB,05.12.2014,"2.202,00",,,"2.202,00","0,00",,,
PKB,09.12.2014,"2.505,00","2.505,00","2.505,00","2.505,00","13,76",10.0,25.05,25.05
PKB,10.12.2014,"2.505,00",,,"2.505,00","0,00",,,
PKB,11.12.2014,"2.505,00",,,"2.505,00","0,00",,,
PKB,12.12.2014,"2.505,00",,,"2.505,00","0,00",,,
PKB,15.12.2014,"2.505,00",,,"2.505,00","0,00",,,
PKB,16.12.2014,"2.505,00",,,"2.505,00","0,00",,,
PKB,17.12.2014,"2.505,00",,,"2.505,00","0,00",,,
PKB,18.12.2014,"2.505,00",,,"2.505,00","0,00",,,
PKB,19.12.2014,"2.505,00",,,"2.505,00","0,00",,,
PKB,22.12.2014,"2.505,00",,,"2.505,00","0,00",,,
PKB,23.12.2014,"2.505,00",,,"2.505,00","0,00",,,
PKB,24.12.2014,"2.505,00",,,"2.505,00","0,00",,,
PKB,25.12.2014,"2.505,00",,,"2.505,00","0,00",,,
PKB,26.12.2014,"2.505,00",,,"2.505,00","0,00",,,
PKB,29.12.2014,"2.505,00",,,"2.505,00","0,00",,,
PKB,30.12.2014,"2.505,00",,,"2.505,00","0,00",,,
PKB,02.01.2015,"2.505,00",,,"2.505,00","0,00",,,
PKB,05.01.2015,"2.505,00",,,"2.505,00","0,00",,,
PKB,08.01.2015,"2.505,00",,,"2.505,00","0,00",,,
PKB,09.01.2015,"2.505,00",,,"2.505,00","0,00",,,
PKB,12.01.2015,"2.505,00",,,"2.505,00","0,00",,,
PKB,13.01.2015,"2.505,00",,,"2.505,00","0,00",,,
PKB,14.01.2015,"2.505,00",,,"2.505,00","0,00",,,
PKB,15.01.2015,"2.505,00",,,"2.505,00","0,00",,,
PKB,16.01.2015,"2.505,00",,,"2.505,00","0,00",,,
PKB,20.01.2015,"2.505,00",,,"2.505,00","0,00",,,
PKB,21.01.2015,"2.505,00",,,"2.505,00","0,00",,,
PKB,22.01.2015,"2.505,00",,,"2.505,00","0,00",,,
PKB,23.01.2015,"2.505,00",,,"2.505,00","0,00",,,
PKB,26.01.2015,"2.505,00",,,"2.505,00","0,00",,,
PKB,27.01.2015,"2.505,00",,,"2.505,00","0,00",,,
PKB,28.01.2015,"2.505,00",,,"2.505,00","0,00",,,
PKB,29.01.2015,"2.505,00",,,"2.505,00","0,00",,,
PKB,30.01.2015,"2.505,00",,,"2.505,00","0,00",,,
PKB,02.02.2015,"2.505,00",,,"2.505,00","0,00",,,
PKB,03.02.2015,"2.505,00",,,"2.505,00","0,00",,,
PKB,04.02.2015,"2.505,00",,,"2.505,00","0,00",,,
PKB,05.02.2015,"2.505,00",,,"2.505,00","0,00",,,
PKB,06.02.2015,"2.505,00",,,"2.505,00","0,00",,,
PKB,09.02.2015,"2.505,00",,,"2.505,00","0,00",,,
PKB,10.02.2015,"2.505,00",,,"2.505,00","0,00",,,
PKB,11.02.2015,"2.505,00",,,"2.505,00","0,00",,,
PKB,12.02.2015,"2.501,00","2.501,00","2.501,00","2.501,00","-0,16",181.0,452.681,452.681
PKB,13.02.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,16.02.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,17.02.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,18.02.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,19.02.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,20.02.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,23.02.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,24.02.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,25.02.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,26.02.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,27.02.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,02.03.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,03.03.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,04.03.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,05.03.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,06.03.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,09.03.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,10.03.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,11.03.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,12.03.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,13.03.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,16.03.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,17.03.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,18.03.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,19.03.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,20.03.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,23.03.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,24.03.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,25.03.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,26.03.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,27.03.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,30.03.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,31.03.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,01.04.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,02.04.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,03.04.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,06.04.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,07.04.2015,"2.501,00",,,"2.501,00","0,00",,,
PKB,08.04.2015,"2.501,00",,,"2.501,00","0,00",,,
