Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
POPK,13.11.2014,"15,00",,,"15,00","0,00",,,
POPK,14.11.2014,"15,00",,,"15,00","0,00",,,
POPK,17.11.2014,"15,00",,,"15,00","0,00",,,
POPK,18.11.2014,"15,00",,,"15,00","0,00",,,
POPK,19.11.2014,"15,00",,,"15,00","0,00",,,
POPK,20.11.2014,"16,00","16,00","16,00","16,00","6,67",1.0,16.0,16.0
POPK,21.11.2014,"16,00",,,"16,00","0,00",,,
POPK,24.11.2014,"16,00",,,"16,00","0,00",,,
POPK,25.11.2014,"16,00",,,"16,00","0,00",,,
POPK,26.11.2014,"16,00",,,"16,00","0,00",,,
POPK,27.11.2014,"16,00",,,"16,00","0,00",,,
POPK,28.11.2014,"16,00",,,"16,00","0,00",,,
POPK,01.12.2014,"16,00",,,"16,00","0,00",,,
POPK,02.12.2014,"16,00",,,"16,00","0,00",,,
POPK,04.12.2014,"16,00",,,"16,00","0,00",,,
POPK,05.12.2014,"16,00",,,"16,00","0,00",,,
POPK,09.12.2014,"16,00",,,"16,00","0,00",,,
POPK,10.12.2014,"16,00","16,00","16,00","16,00","0,00",7.0,112.0,112.0
POPK,11.12.2014,"16,00",,,"16,00","0,00",,,
POPK,12.12.2014,"16,00",,,"16,00","0,00",,,
POPK,15.12.2014,"16,00",,,"16,00","0,00",,,
POPK,16.12.2014,"16,00","16,00","16,00","16,00","0,00",2.0,32.0,32.0
POPK,17.12.2014,"16,00",,,"16,00","0,00",,,
POPK,18.12.2014,"16,00",,,"16,00","0,00",,,
POPK,19.12.2014,"16,00",,,"16,00","0,00",,,
POPK,22.12.2014,"16,00",,,"16,00","0,00",,,
POPK,23.12.2014,"16,00",,,"16,00","0,00",,,
POPK,24.12.2014,"16,00",,,"16,00","0,00",,,
POPK,25.12.2014,"16,00",,,"16,00","0,00",,,
POPK,26.12.2014,"16,00",,,"16,00","0,00",,,
POPK,29.12.2014,"16,00",,,"16,00","0,00",,,
POPK,30.12.2014,"16,00",,,"16,00","0,00",,,
POPK,02.01.2015,"16,00",,,"16,00","0,00",,,
POPK,05.01.2015,"16,00",,,"16,00","0,00",,,
POPK,08.01.2015,"16,00",,,"16,00","0,00",,,
POPK,09.01.2015,"16,00",,,"16,00","0,00",,,
POPK,12.01.2015,"16,00",,,"16,00","0,00",,,
POPK,13.01.2015,"16,00",,,"16,00","0,00",,,
POPK,14.01.2015,"16,00",,,"16,00","0,00",,,
POPK,15.01.2015,"16,00",,,"16,00","0,00",,,
POPK,16.01.2015,"16,00",,,"16,00","0,00",,,
POPK,20.01.2015,"16,00",,,"16,00","0,00",,,
POPK,21.01.2015,"16,00",,,"16,00","0,00",,,
POPK,22.01.2015,"16,00",,,"16,00","0,00",,,
POPK,23.01.2015,"16,00",,,"16,00","0,00",,,
POPK,26.01.2015,"16,00",,,"16,00","0,00",,,
POPK,27.01.2015,"16,00",,,"16,00","0,00",,,
POPK,28.01.2015,"16,00",,,"16,00","0,00",,,
POPK,29.01.2015,"16,00",,,"16,00","0,00",,,
POPK,30.01.2015,"16,00",,,"16,00","0,00",,,
POPK,02.02.2015,"16,00",,,"16,00","0,00",,,
POPK,03.02.2015,"16,00",,,"16,00","0,00",,,
POPK,04.02.2015,"16,00",,,"16,00","0,00",,,
POPK,05.02.2015,"16,00",,,"16,00","0,00",,,
POPK,06.02.2015,"16,00",,,"16,00","0,00",,,
POPK,09.02.2015,"16,00",,,"16,00","0,00",,,
POPK,10.02.2015,"16,00",,,"16,00","0,00",,,
POPK,11.02.2015,"16,00",,,"16,00","0,00",,,
POPK,12.02.2015,"16,00",,,"16,00","0,00",,,
POPK,13.02.2015,"16,00",,,"16,00","0,00",,,
POPK,16.02.2015,"16,00",,,"16,00","0,00",,,
POPK,17.02.2015,"16,00",,,"16,00","0,00",,,
POPK,18.02.2015,"16,00",,,"16,00","0,00",,,
POPK,19.02.2015,"16,00",,,"16,00","0,00",,,
POPK,20.02.2015,"16,00",,,"16,00","0,00",,,
POPK,23.02.2015,"16,00",,,"16,00","0,00",,,
POPK,24.02.2015,"16,00",,,"16,00","0,00",,,
POPK,25.02.2015,"16,00",,,"16,00","0,00",,,
POPK,26.02.2015,"16,00",,,"16,00","0,00",,,
POPK,27.02.2015,"16,00",,,"16,00","0,00",,,
POPK,02.03.2015,"16,00",,,"16,00","0,00",,,
POPK,03.03.2015,"16,00",,,"16,00","0,00",,,
POPK,04.03.2015,"16,00",,,"16,00","0,00",,,
POPK,05.03.2015,"16,00",,,"16,00","0,00",,,
POPK,06.03.2015,"16,00",,,"16,00","0,00",,,
POPK,09.03.2015,"16,00",,,"16,00","0,00",,,
POPK,10.03.2015,"16,00",,,"16,00","0,00",,,
POPK,11.03.2015,"16,00",,,"16,00","0,00",,,
POPK,12.03.2015,"16,00",,,"16,00","0,00",,,
POPK,13.03.2015,"16,00",,,"16,00","0,00",,,
POPK,16.03.2015,"16,00",,,"16,00","0,00",,,
POPK,17.03.2015,"16,00",,,"16,00","0,00",,,
POPK,18.03.2015,"16,00",,,"16,00","0,00",,,
POPK,19.03.2015,"16,00",,,"16,00","0,00",,,
POPK,20.03.2015,"16,00",,,"16,00","0,00",,,
POPK,23.03.2015,"16,00",,,"16,00","0,00",,,
POPK,24.03.2015,"16,00",,,"16,00","0,00",,,
POPK,25.03.2015,"16,00",,,"16,00","0,00",,,
POPK,26.03.2015,"16,00",,,"16,00","0,00",,,
POPK,27.03.2015,"16,00",,,"16,00","0,00",,,
POPK,30.03.2015,"16,00",,,"16,00","0,00",,,
POPK,31.03.2015,"16,00",,,"16,00","0,00",,,
POPK,01.04.2015,"16,00",,,"16,00","0,00",,,
POPK,02.04.2015,"16,00",,,"16,00","0,00",,,
POPK,03.04.2015,"16,00",,,"16,00","0,00",,,
POPK,06.04.2015,"16,00",,,"16,00","0,00",,,
POPK,07.04.2015,"16,00",,,"16,00","0,00",,,
POPK,08.04.2015,"16,00",,,"16,00","0,00",,,
POPK,09.04.2015,"16,00",,,"16,00","0,00",,,
POPK,14.04.2015,"16,00",,,"16,00","0,00",,,
POPK,15.04.2015,"16,00",,,"16,00","0,00",,,
POPK,16.04.2015,"16,00",,,"16,00","0,00",,,
POPK,17.04.2015,"16,00",,,"16,00","0,00",,,
POPK,20.04.2015,"16,00",,,"16,00","0,00",,,
POPK,21.04.2015,"16,00",,,"16,00","0,00",,,
POPK,22.04.2015,"16,00",,,"16,00","0,00",,,
POPK,23.04.2015,"16,00",,,"16,00","0,00",,,
POPK,24.04.2015,"16,00",,,"16,00","0,00",,,
POPK,27.04.2015,"16,00",,,"16,00","0,00",,,
POPK,28.04.2015,"16,00","16,00","16,00","16,00","0,00",5.0,80.0,80.0
POPK,29.04.2015,"16,00",,,"16,00","0,00",,,
POPK,30.04.2015,"16,00",,,"16,00","0,00",,,
POPK,04.05.2015,"16,00",,,"16,00","0,00",,,
POPK,05.05.2015,"16,00",,,"16,00","0,00",,,
POPK,06.05.2015,"16,00",,,"16,00","0,00",,,
POPK,07.05.2015,"16,00",,,"16,00","0,00",,,
POPK,08.05.2015,"16,00",,,"16,00","0,00",,,
POPK,11.05.2015,"16,00",,,"16,00","0,00",,,
POPK,12.05.2015,"16,00",,,"16,00","0,00",,,
POPK,13.05.2015,"16,00",,,"16,00","0,00",,,
POPK,14.05.2015,"16,00",,,"16,00","0,00",,,
POPK,15.05.2015,"16,00",,,"16,00","0,00",,,
POPK,18.05.2015,"16,00",,,"16,00","0,00",,,
POPK,19.05.2015,"16,00",,,"16,00","0,00",,,
POPK,20.05.2015,"16,00",,,"16,00","0,00",,,
POPK,21.05.2015,"16,00",,,"16,00","0,00",,,
POPK,22.05.2015,"16,00",,,"16,00","0,00",,,
POPK,26.05.2015,"16,00",,,"16,00","0,00",,,
POPK,27.05.2015,"16,00",,,"16,00","0,00",,,
POPK,28.05.2015,"16,00",,,"16,00","0,00",,,
POPK,01.06.2015,"16,00",,,"16,00","0,00",,,
POPK,02.06.2015,"16,00",,,"16,00","0,00",,,
POPK,03.06.2015,"16,00",,,"16,00","0,00",,,
POPK,04.06.2015,"16,00",,,"16,00","0,00",,,
POPK,05.06.2015,"16,00",,,"16,00","0,00",,,
POPK,08.06.2015,"16,00",,,"16,00","0,00",,,
POPK,09.06.2015,"16,00",,,"16,00","0,00",,,
POPK,10.06.2015,"16,00",,,"16,00","0,00",,,
POPK,11.06.2015,"16,00",,,"16,00","0,00",,,
POPK,12.06.2015,"16,00",,,"16,00","0,00",,,
POPK,15.06.2015,"16,00",,,"16,00","0,00",,,
POPK,16.06.2015,"15,00","15,00","15,00","15,00","-6,25",5.0,75.0,75.0
POPK,17.06.2015,"15,00",,,"15,00","0,00",,,
POPK,18.06.2015,"15,00",,,"15,00","0,00",,,
POPK,19.06.2015,"15,00","15,00","15,00","15,00","0,00",10.0,150.0,150.0
POPK,22.06.2015,"15,00",,,"15,00","0,00",,,
