Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
PPIV,13.11.2014,"18.500,00","18.500,00","18.500,00","18.500,00","-6,57",1.0,18.500,18.500
PPIV,14.11.2014,"18.000,00","18.000,00","18.000,00","18.000,00","-2,70",32.0,576.000,576.000
PPIV,17.11.2014,"18.500,00","18.500,00","18.500,00","18.500,00","2,78",10.0,185.000,185.000
PPIV,18.11.2014,"18.600,00","18.600,00","18.600,00","18.600,00","0,54",11.0,204.600,204.600
PPIV,19.11.2014,"18.999,00","18.999,00","18.999,00","18.999,00","2,15",15.0,284.985,284.985
PPIV,20.11.2014,"18.999,00",,,"18.999,00","0,00",,,
PPIV,21.11.2014,"19.000,00","19.000,00","19.000,00","19.000,00","0,01",50.0,950.000,950.000
PPIV,24.11.2014,"19.570,00","19.570,00","19.570,00","19.570,00","3,00",5.0,97.850,97.850
PPIV,25.11.2014,"19.567,00","19.567,00","19.567,00","19.567,00","-0,02",14.0,273.938,273.938
PPIV,26.11.2014,"19.567,00",,,"19.567,00","0,00",,,
PPIV,27.11.2014,"19.800,00","19.800,00","19.800,00","19.800,00","1,19",15.0,297.000,297.000
PPIV,28.11.2014,"19.800,00",,,"19.800,00","0,00",,,
PPIV,01.12.2014,"19.210,00","19.210,00","19.210,00","19.210,00","-2,98",23.0,441.830,441.830
PPIV,02.12.2014,"19.210,00",,,"19.210,00","0,00",,,
PPIV,04.12.2014,"19.210,00",,,"19.210,00","0,00",,,
PPIV,05.12.2014,"19.211,00","19.211,00","19.211,00","19.211,00","0,01",30.0,576.330,576.330
PPIV,09.12.2014,"19.211,00",,,"19.211,00","0,00",,,
PPIV,10.12.2014,"19.211,00",,,"19.211,00","0,00",,,
PPIV,11.12.2014,"19.211,00",,,"19.211,00","0,00",,,
PPIV,12.12.2014,"19.211,00",,,"19.211,00","0,00",,,
PPIV,15.12.2014,"19.211,00",,,"19.211,00","0,00",,,
PPIV,16.12.2014,"19.211,00",,,"19.211,00","0,00",,,
PPIV,17.12.2014,"19.211,00",,,"19.211,00","0,00",,,
