Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
PROD,13.11.2014,"1.600,00",,,"1.600,00","0,00",,,
PROD,14.11.2014,"1.600,00",,,"1.600,00","0,00",,,
PROD,17.11.2014,"1.600,00",,,"1.600,00","0,00",,,
PROD,18.11.2014,"1.600,00",,,"1.600,00","0,00",,,
PROD,19.11.2014,"1.600,00",,,"1.600,00","0,00",,,
PROD,20.11.2014,"1.600,00",,,"1.600,00","0,00",,,
PROD,21.11.2014,"1.600,00",,,"1.600,00","0,00",,,
PROD,24.11.2014,"1.600,00",,,"1.600,00","0,00",,,
PROD,25.11.2014,"1.600,00",,,"1.600,00","0,00",,,
PROD,26.11.2014,"1.600,00",,,"1.600,00","0,00",,,
PROD,27.11.2014,"1.600,00",,,"1.600,00","0,00",,,
PROD,28.11.2014,"1.600,00",,,"1.600,00","0,00",,,
PROD,01.12.2014,"1.600,00",,,"1.600,00","0,00",,,
PROD,02.12.2014,"1.600,00",,,"1.600,00","0,00",,,
PROD,04.12.2014,"1.600,00",,,"1.600,00","0,00",,,
PROD,05.12.2014,"1.600,00",,,"1.600,00","0,00",,,
PROD,09.12.2014,"1.600,00",,,"1.600,00","0,00",,,
PROD,10.12.2014,"1.600,00",,,"1.600,00","0,00",,,
PROD,11.12.2014,"1.600,00",,,"1.600,00","0,00",,,
PROD,12.12.2014,"1.600,00",,,"1.600,00","0,00",,,
PROD,15.12.2014,"1.600,00",,,"1.600,00","0,00",,,
PROD,16.12.2014,"1.600,00",,,"1.600,00","0,00",,,
PROD,17.12.2014,"1.600,00",,,"1.600,00","0,00",,,
PROD,18.12.2014,"1.600,00",,,"1.600,00","0,00",,,
PROD,19.12.2014,"1.600,00",,,"1.600,00","0,00",,,
PROD,22.12.2014,"1.600,00",,,"1.600,00","0,00",,,
PROD,23.12.2014,"1.600,00",,,"1.600,00","0,00",,,
PROD,24.12.2014,"1.600,00",,,"1.600,00","0,00",,,
PROD,25.12.2014,"1.600,00",,,"1.600,00","0,00",,,
PROD,26.12.2014,"1.600,00",,,"1.600,00","0,00",,,
PROD,29.12.2014,"1.600,00",,,"1.600,00","0,00",,,
PROD,30.12.2014,"1.600,00",,,"1.600,00","0,00",,,
PROD,02.01.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,05.01.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,08.01.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,09.01.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,12.01.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,13.01.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,14.01.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,15.01.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,16.01.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,20.01.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,21.01.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,22.01.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,23.01.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,26.01.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,27.01.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,28.01.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,29.01.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,30.01.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,02.02.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,03.02.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,04.02.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,05.02.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,06.02.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,09.02.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,10.02.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,11.02.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,12.02.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,13.02.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,16.02.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,17.02.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,18.02.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,19.02.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,20.02.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,23.02.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,24.02.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,25.02.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,26.02.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,27.02.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,02.03.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,03.03.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,04.03.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,05.03.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,06.03.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,09.03.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,10.03.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,11.03.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,12.03.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,13.03.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,16.03.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,17.03.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,18.03.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,19.03.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,20.03.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,23.03.2015,"1.600,00",,,"1.600,00","0,00",,,
PROD,24.03.2015,"1.600,00",,,"1.600,00","0,00",,,
