Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
PTRS,13.11.2014,"3.000,00",,,"3.000,00","0,00",,,
PTRS,14.11.2014,"3.000,00",,,"3.000,00","0,00",,,
PTRS,17.11.2014,"3.000,00",,,"3.000,00","0,00",,,
PTRS,18.11.2014,"3.000,00",,,"3.000,00","0,00",,,
PTRS,19.11.2014,"3.000,00",,,"3.000,00","0,00",,,
PTRS,20.11.2014,"3.000,00",,,"3.000,00","0,00",,,
PTRS,21.11.2014,"3.000,00",,,"3.000,00","0,00",,,
PTRS,24.11.2014,"3.000,00",,,"3.000,00","0,00",,,
PTRS,25.11.2014,"3.000,00",,,"3.000,00","0,00",,,
PTRS,26.11.2014,"3.000,00",,,"3.000,00","0,00",,,
PTRS,27.11.2014,"3.000,00",,,"3.000,00","0,00",,,
PTRS,28.11.2014,"3.000,00",,,"3.000,00","0,00",,,
PTRS,01.12.2014,"3.000,00",,,"3.000,00","0,00",,,
PTRS,02.12.2014,"3.000,00",,,"3.000,00","0,00",,,
PTRS,04.12.2014,"3.000,00",,,"3.000,00","0,00",,,
PTRS,05.12.2014,"3.000,00",,,"3.000,00","0,00",,,
PTRS,09.12.2014,"3.000,00",,,"3.000,00","0,00",,,
PTRS,10.12.2014,"3.000,00",,,"3.000,00","0,00",,,
PTRS,11.12.2014,"3.000,00",,,"3.000,00","0,00",,,
PTRS,12.12.2014,"3.000,00",,,"3.000,00","0,00",,,
PTRS,15.12.2014,"3.000,00",,,"3.000,00","0,00",,,
PTRS,16.12.2014,"3.000,00",,,"3.000,00","0,00",,,
PTRS,17.12.2014,"3.000,00",,,"3.000,00","0,00",,,
PTRS,18.12.2014,"3.000,00",,,"3.000,00","0,00",,,
PTRS,19.12.2014,"3.000,00",,,"3.000,00","0,00",,,
PTRS,22.12.2014,"3.000,00",,,"3.000,00","0,00",,,
PTRS,23.12.2014,"3.000,00",,,"3.000,00","0,00",,,
PTRS,24.12.2014,"3.000,00",,,"3.000,00","0,00",,,
PTRS,25.12.2014,"3.000,00",,,"3.000,00","0,00",,,
PTRS,26.12.2014,"3.000,00",,,"3.000,00","0,00",,,
PTRS,29.12.2014,"3.000,00",,,"3.000,00","0,00",,,
PTRS,30.12.2014,"3.000,00",,,"3.000,00","0,00",,,
PTRS,02.01.2015,"3.000,00",,,"3.000,00","0,00",,,
