Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
RADE,13.11.2014,"1.350,00",,,"1.350,00","0,00",,,
RADE,14.11.2014,"1.350,00",,,"1.350,00","0,00",,,
RADE,17.11.2014,"1.350,00",,,"1.350,00","0,00",,,
RADE,18.11.2014,"1.350,00",,,"1.350,00","0,00",,,
RADE,19.11.2014,"1.350,00",,,"1.350,00","0,00",,,
RADE,20.11.2014,"1.350,00",,,"1.350,00","0,00",,,
RADE,21.11.2014,"1.350,00",,,"1.350,00","0,00",,,
RADE,24.11.2014,"1.350,00",,,"1.350,00","0,00",,,
RADE,25.11.2014,"1.350,00","1.350,00","1.350,00","1.350,00","0,00",30.0,40.5,40.500
RADE,26.11.2014,"1.350,00",,,"1.350,00","0,00",,,
RADE,27.11.2014,"1.350,00",,,"1.350,00","0,00",,,
RADE,28.11.2014,"1.350,00",,,"1.350,00","0,00",,,
RADE,01.12.2014,"1.350,00",,,"1.350,00","0,00",,,
RADE,02.12.2014,"1.350,00",,,"1.350,00","0,00",,,
RADE,04.12.2014,"1.350,00",,,"1.350,00","0,00",,,
RADE,05.12.2014,"1.350,00",,,"1.350,00","0,00",,,
RADE,09.12.2014,"1.350,00",,,"1.350,00","0,00",,,
RADE,10.12.2014,"1.350,00",,,"1.350,00","0,00",,,
RADE,11.12.2014,"1.350,00",,,"1.350,00","0,00",,,
RADE,12.12.2014,"1.350,00",,,"1.350,00","0,00",,,
RADE,15.12.2014,"1.350,00",,,"1.350,00","0,00",,,
RADE,16.12.2014,"1.350,00","1.350,00","1.350,00","1.350,00","0,00",40.0,54.0,54.000
RADE,17.12.2014,"1.350,00",,,"1.350,00","0,00",,,
RADE,18.12.2014,"1.350,00",,,"1.350,00","0,00",,,
RADE,19.12.2014,"1.350,00",,,"1.350,00","0,00",,,
RADE,22.12.2014,"1.350,00",,,"1.350,00","0,00",,,
RADE,23.12.2014,"1.350,00",,,"1.350,00","0,00",,,
