Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
REPL,13.11.2014,"56.500,00",,,"56.500,00","0,00",,,
REPL,14.11.2014,"55.500,00","55.500,00","55.500,00","55.500,00","-1,77",7.0,388.500,388.500
REPL,17.11.2014,"55.500,00","55.500,00","55.500,00","55.500,00","0,00",7.0,388.500,388.500
REPL,18.11.2014,"55.500,00",,,"55.500,00","0,00",,,
REPL,19.11.2014,"55.500,00",,,"55.500,00","0,00",,,
REPL,20.11.2014,"55.500,00",,,"55.500,00","0,00",,,
REPL,21.11.2014,"55.500,00",,,"55.500,00","0,00",,,
REPL,24.11.2014,"55.500,00",,,"55.500,00","0,00",,,
REPL,25.11.2014,"56.000,00","56.000,00","56.000,00","56.000,00","0,90",102.0,5.712.000,5.712.000
REPL,26.11.2014,"56.000,00",,,"56.000,00","0,00",,,
REPL,27.11.2014,"56.000,00",,,"56.000,00","0,00",,,
REPL,28.11.2014,"56.000,00",,,"56.000,00","0,00",,,
REPL,01.12.2014,"56.000,00",,,"56.000,00","0,00",,,
REPL,02.12.2014,"55.500,00","55.500,00","55.500,00","55.500,00","-0,89",10.0,555.000,555.000
REPL,04.12.2014,"55.500,00","55.500,00","55.500,00","55.500,00","0,00",14.0,777.000,777.000
REPL,05.12.2014,"56.000,00","56.000,00","56.000,00","56.000,00","0,90",307.0,17.192.000,17.192.000
REPL,09.12.2014,"56.000,00",,,"56.000,00","0,00",,,
REPL,10.12.2014,"56.000,00",,,"56.000,00","0,00",,,
REPL,11.12.2014,"56.000,00","56.000,00","56.000,00","56.000,00","0,00",7.0,392.000,392.000
REPL,12.12.2014,"56.000,00",,,"56.000,00","0,00",,,
REPL,15.12.2014,"56.000,00",,,"56.000,00","0,00",,,
REPL,16.12.2014,"56.000,00",,,"56.000,00","0,00",,,
REPL,17.12.2014,"56.000,00",,,"56.000,00","0,00",,,
REPL,18.12.2014,"56.000,00",,,"56.000,00","0,00",,,
REPL,19.12.2014,"56.000,00",,,"56.000,00","0,00",,,
REPL,22.12.2014,"56.000,00",,,"56.000,00","0,00",,,
REPL,23.12.2014,"56.000,00",,,"56.000,00","0,00",,,
REPL,24.12.2014,"56.000,00",,,"56.000,00","0,00",,,
REPL,25.12.2014,"56.000,00",,,"56.000,00","0,00",,,
REPL,26.12.2014,"57.000,00","57.000,00","57.000,00","57.000,00","1,79",5.0,285.000,285.000
REPL,29.12.2014,"57.001,00","57.001,00","57.001,00","57.001,00","0,00",3.0,171.003,171.003
REPL,30.12.2014,"57.001,00",,,"57.001,00","0,00",,,
REPL,02.01.2015,"57.001,00",,,"57.001,00","0,00",,,
REPL,05.01.2015,"57.001,00",,,"57.001,00","0,00",,,
REPL,08.01.2015,"57.001,00",,,"57.001,00","0,00",,,
REPL,09.01.2015,"57.001,00",,,"57.001,00","0,00",,,
REPL,12.01.2015,"57.001,00",,,"57.001,00","0,00",,,
REPL,13.01.2015,"57.001,00",,,"57.001,00","0,00",,,
REPL,14.01.2015,"57.001,00",,,"57.001,00","0,00",,,
REPL,15.01.2015,"57.001,00",,,"57.001,00","0,00",,,
REPL,16.01.2015,"57.000,00","57.000,00","57.000,00","57.000,00","0,00",10.0,570.000,570.000
REPL,20.01.2015,"57.000,00",,,"57.000,00","0,00",,,
REPL,21.01.2015,"57.000,00",,,"57.000,00","0,00",,,
REPL,22.01.2015,"57.000,00",,,"57.000,00","0,00",,,
REPL,23.01.2015,"57.000,00",,,"57.000,00","0,00",,,
REPL,26.01.2015,"57.000,00","57.000,00","57.000,00","57.000,00","0,00",15.0,855.000,855.000
REPL,27.01.2015,"57.000,00","57.000,00","57.000,00","57.000,00","0,00",5.0,285.000,285.000
REPL,28.01.2015,"57.000,00",,,"57.000,00","0,00",,,
REPL,29.01.2015,"57.000,00",,,"57.000,00","0,00",,,
REPL,30.01.2015,"57.000,00",,,"57.000,00","0,00",,,
REPL,02.02.2015,"57.000,00",,,"57.000,00","0,00",,,
REPL,03.02.2015,"57.500,00","57.500,00","57.500,00","57.500,00","0,88",2.0,115.000,115.000
REPL,04.02.2015,"57.900,00","58.000,00","57.900,00","57.990,91","0,85",11.0,637.900,637.900
REPL,05.02.2015,"57.900,00","57.900,00","57.900,00","57.900,00","-0,16",2.0,115.800,115.800
REPL,06.02.2015,"57.900,00",,,"57.900,00","0,00",,,
REPL,09.02.2015,"57.999,00","57.999,00","57.999,00","57.999,00","0,17",2.0,115.998,115.998
REPL,10.02.2015,"57.999,00",,,"57.999,00","0,00",,,
REPL,11.02.2015,"57.999,00",,,"57.999,00","0,00",,,
REPL,12.02.2015,"57.999,00",,,"57.999,00","0,00",,,
REPL,13.02.2015,"57.999,00",,,"57.999,00","0,00",,,
REPL,16.02.2015,"57.999,00",,,"57.999,00","0,00",,,
REPL,17.02.2015,"57.999,00",,,"57.999,00","0,00",,,
REPL,18.02.2015,"57.999,00",,,"57.999,00","0,00",,,
REPL,19.02.2015,"57.999,00",,,"57.999,00","0,00",,,
REPL,20.02.2015,"57.999,00",,,"57.999,00","0,00",,,
REPL,23.02.2015,"57.999,00",,,"57.999,00","0,00",,,
REPL,24.02.2015,"57.999,00",,,"57.999,00","0,00",,,
REPL,25.02.2015,"57.999,00",,,"57.999,00","0,00",,,
REPL,26.02.2015,"57.999,00","57.999,00","57.900,00","57.966,00","-0,06",6.0,347.796,347.796
REPL,27.02.2015,"57.999,00",,,"57.966,00","0,00",,,
REPL,02.03.2015,"57.999,00",,,"57.966,00","0,00",,,
REPL,03.03.2015,"57.999,00",,,"57.966,00","0,00",,,
REPL,04.03.2015,"57.999,00",,,"57.966,00","0,00",,,
REPL,05.03.2015,"58.000,00","58.000,00","58.000,00","58.000,00","0,06",5.0,290.000,290.000
REPL,06.03.2015,"58.000,00",,,"58.000,00","0,00",,,
REPL,09.03.2015,"58.000,00","58.000,00","58.000,00","58.000,00","0,00",2.0,116.000,116.000
REPL,10.03.2015,"58.000,00",,,"58.000,00","0,00",,,
REPL,11.03.2015,"58.000,00",,,"58.000,00","0,00",,,
REPL,12.03.2015,"57.001,00","57.001,00","57.001,00","57.001,00","-1,72",5.0,285.005,285.005
REPL,13.03.2015,"57.001,00",,,"57.001,00","0,00",,,
