Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
RIMI,13.11.2014,"315,00",,,"315,00","0,00",,,
RIMI,14.11.2014,"315,00",,,"315,00","0,00",,,
RIMI,17.11.2014,"315,00",,,"315,00","0,00",,,
RIMI,18.11.2014,"315,00",,,"315,00","0,00",,,
RIMI,19.11.2014,"315,00",,,"315,00","0,00",,,
RIMI,20.11.2014,"315,00",,,"315,00","0,00",,,
RIMI,21.11.2014,"315,00",,,"315,00","0,00",,,
RIMI,24.11.2014,"315,00",,,"315,00","0,00",,,
RIMI,25.11.2014,"315,00",,,"315,00","0,00",,,
RIMI,26.11.2014,"315,00",,,"315,00","0,00",,,
RIMI,27.11.2014,"315,00",,,"315,00","0,00",,,
RIMI,28.11.2014,"315,00",,,"315,00","0,00",,,
RIMI,01.12.2014,"315,00",,,"315,00","0,00",,,
RIMI,02.12.2014,"315,00",,,"315,00","0,00",,,
RIMI,04.12.2014,"315,00",,,"315,00","0,00",,,
RIMI,05.12.2014,"315,00",,,"315,00","0,00",,,
RIMI,09.12.2014,"315,00",,,"315,00","0,00",,,
RIMI,10.12.2014,"315,00",,,"315,00","0,00",,,
RIMI,11.12.2014,"315,00",,,"315,00","0,00",,,
RIMI,12.12.2014,"315,00",,,"315,00","0,00",,,
RIMI,15.12.2014,"315,00",,,"315,00","0,00",,,
RIMI,16.12.2014,"315,00",,,"315,00","0,00",,,
RIMI,17.12.2014,"315,00",,,"315,00","0,00",,,
RIMI,18.12.2014,"315,00",,,"315,00","0,00",,,
RIMI,19.12.2014,"315,00",,,"315,00","0,00",,,
RIMI,22.12.2014,"315,00",,,"315,00","0,00",,,
RIMI,23.12.2014,"315,00",,,"315,00","0,00",,,
RIMI,24.12.2014,"315,00",,,"315,00","0,00",,,
RIMI,25.12.2014,"315,00",,,"315,00","0,00",,,
RIMI,26.12.2014,"315,00",,,"315,00","0,00",,,
RIMI,29.12.2014,"315,00",,,"315,00","0,00",,,
RIMI,30.12.2014,"315,00",,,"315,00","0,00",,,
RIMI,02.01.2015,"315,00",,,"315,00","0,00",,,
RIMI,05.01.2015,"315,00",,,"315,00","0,00",,,
RIMI,08.01.2015,"315,00",,,"315,00","0,00",,,
RIMI,09.01.2015,"315,00",,,"315,00","0,00",,,
RIMI,12.01.2015,"315,00",,,"315,00","0,00",,,
RIMI,13.01.2015,"315,00",,,"315,00","0,00",,,
