Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
RINS,13.11.2014,"12.000,00",,,"12.000,00","0,00",,,
RINS,14.11.2014,"12.000,00",,,"12.000,00","0,00",,,
RINS,17.11.2014,"12.000,00",,,"12.000,00","0,00",,,
RINS,18.11.2014,"12.000,00",,,"12.000,00","0,00",,,
RINS,19.11.2014,"12.000,00",,,"12.000,00","0,00",,,
RINS,20.11.2014,"12.000,00",,,"12.000,00","0,00",,,
RINS,21.11.2014,"12.000,00",,,"12.000,00","0,00",,,
RINS,24.11.2014,"12.000,00",,,"12.000,00","0,00",,,
RINS,25.11.2014,"12.000,00",,,"12.000,00","0,00",,,
RINS,26.11.2014,"12.000,00",,,"12.000,00","0,00",,,
RINS,27.11.2014,"12.000,00",,,"12.000,00","0,00",,,
RINS,28.11.2014,"12.000,00",,,"12.000,00","0,00",,,
RINS,01.12.2014,"12.000,00",,,"12.000,00","0,00",,,
RINS,02.12.2014,"12.000,00",,,"12.000,00","0,00",,,
RINS,04.12.2014,"12.000,00",,,"12.000,00","0,00",,,
RINS,05.12.2014,"12.000,00",,,"12.000,00","0,00",,,
RINS,09.12.2014,"12.000,00",,,"12.000,00","0,00",,,
RINS,10.12.2014,"12.000,00",,,"12.000,00","0,00",,,
RINS,11.12.2014,"12.000,00",,,"12.000,00","0,00",,,
RINS,12.12.2014,"12.000,00",,,"12.000,00","0,00",,,
RINS,15.12.2014,"12.000,00",,,"12.000,00","0,00",,,
RINS,16.12.2014,"12.000,00",,,"12.000,00","0,00",,,
RINS,17.12.2014,"12.000,00",,,"12.000,00","0,00",,,
RINS,18.12.2014,"12.000,00",,,"12.000,00","0,00",,,
RINS,19.12.2014,"12.000,00",,,"12.000,00","0,00",,,
RINS,22.12.2014,"12.000,00",,,"12.000,00","0,00",,,
RINS,23.12.2014,"12.000,00",,,"12.000,00","0,00",,,
RINS,24.12.2014,"12.000,00",,,"12.000,00","0,00",,,
RINS,25.12.2014,"12.000,00",,,"12.000,00","0,00",,,
RINS,26.12.2014,"12.000,00","12.000,00","12.000,00","12.000,00","0,00",40.0,480.000,480.000
RINS,29.12.2014,"12.000,00",,,"12.000,00","0,00",,,
RINS,30.12.2014,"12.000,00",,,"12.000,00","0,00",,,
RINS,02.01.2015,"12.000,00",,,"12.000,00","0,00",,,
RINS,05.01.2015,"12.000,00",,,"12.000,00","0,00",,,
RINS,08.01.2015,"12.000,00",,,"12.000,00","0,00",,,
RINS,09.01.2015,"12.000,00",,,"12.000,00","0,00",,,
