Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
RZEK,13.11.2014,"30,00",,,"30,00","0,00",,,
RZEK,14.11.2014,"30,00",,,"30,00","0,00",,,
RZEK,17.11.2014,"30,00",,,"30,00","0,00",,,
RZEK,18.11.2014,"30,00",,,"30,00","0,00",,,
RZEK,19.11.2014,"30,00",,,"30,00","0,00",,,
RZEK,20.11.2014,"30,00",,,"30,00","0,00",,,
RZEK,21.11.2014,"30,00",,,"30,00","0,00",,,
RZEK,24.11.2014,"30,00",,,"30,00","0,00",,,
RZEK,25.11.2014,"30,00",,,"30,00","0,00",,,
RZEK,26.11.2014,"30,00",,,"30,00","0,00",,,
RZEK,27.11.2014,"30,00",,,"30,00","0,00",,,
RZEK,28.11.2014,"30,00",,,"30,00","0,00",,,
RZEK,01.12.2014,"30,00",,,"30,00","0,00",,,
RZEK,02.12.2014,"30,00",,,"30,00","0,00",,,
RZEK,04.12.2014,"30,00","30,00","30,00","30,00","0,00",600.0,18.0,18.0
RZEK,05.12.2014,"30,00",,,"30,00","0,00",,,
RZEK,09.12.2014,"30,00",,,"30,00","0,00",,,
RZEK,10.12.2014,"30,00",,,"30,00","0,00",,,
RZEK,11.12.2014,"30,00",,,"30,00","0,00",,,
RZEK,12.12.2014,"30,00",,,"30,00","0,00",,,
RZEK,15.12.2014,"30,00",,,"30,00","0,00",,,
RZEK,16.12.2014,"30,00","30,00","30,00","30,00","0,00",455.0,13.65,13.65
RZEK,17.12.2014,"30,00",,,"30,00","0,00",,,
RZEK,18.12.2014,"30,00",,,"30,00","0,00",,,
RZEK,19.12.2014,"30,00",,,"30,00","0,00",,,
RZEK,22.12.2014,"30,00",,,"30,00","0,00",,,
RZEK,23.12.2014,"30,00",,,"30,00","0,00",,,
RZEK,24.12.2014,"30,00",,,"30,00","0,00",,,
RZEK,25.12.2014,"30,00",,,"30,00","0,00",,,
RZEK,26.12.2014,"30,00",,,"30,00","0,00",,,
RZEK,29.12.2014,"30,00",,,"30,00","0,00",,,
RZEK,30.12.2014,"30,00",,,"30,00","0,00",,,
RZEK,02.01.2015,"30,00",,,"30,00","0,00",,,
