Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
RZIT,13.11.2014,"25,00",,,"25,00","0,00",,,
RZIT,14.11.2014,"25,00",,,"25,00","0,00",,,
RZIT,17.11.2014,"25,00",,,"25,00","0,00",,,
RZIT,18.11.2014,"25,00",,,"25,00","0,00",,,
RZIT,19.11.2014,"25,00",,,"25,00","0,00",,,
RZIT,20.11.2014,"25,00",,,"25,00","0,00",,,
RZIT,21.11.2014,"25,00",,,"25,00","0,00",,,
RZIT,24.11.2014,"25,00",,,"25,00","0,00",,,
RZIT,25.11.2014,"25,00",,,"25,00","0,00",,,
RZIT,26.11.2014,"25,00",,,"25,00","0,00",,,
RZIT,27.11.2014,"25,00",,,"25,00","0,00",,,
RZIT,28.11.2014,"25,00",,,"25,00","0,00",,,
RZIT,01.12.2014,"25,00",,,"25,00","0,00",,,
RZIT,02.12.2014,"25,00",,,"25,00","0,00",,,
RZIT,04.12.2014,"25,00",,,"25,00","0,00",,,
RZIT,05.12.2014,"25,00",,,"25,00","0,00",,,
RZIT,09.12.2014,"25,00",,,"25,00","0,00",,,
RZIT,10.12.2014,"25,00",,,"25,00","0,00",,,
RZIT,11.12.2014,"25,00",,,"25,00","0,00",,,
RZIT,12.12.2014,"25,00",,,"25,00","0,00",,,
RZIT,15.12.2014,"25,00",,,"25,00","0,00",,,
RZIT,16.12.2014,"25,00",,,"25,00","0,00",,,
RZIT,17.12.2014,"25,00",,,"25,00","0,00",,,
RZIT,18.12.2014,"25,00",,,"25,00","0,00",,,
RZIT,19.12.2014,"25,00",,,"25,00","0,00",,,
RZIT,22.12.2014,"25,00",,,"25,00","0,00",,,
RZIT,23.12.2014,"25,00",,,"25,00","0,00",,,
RZIT,24.12.2014,"25,00",,,"25,00","0,00",,,
RZIT,25.12.2014,"25,00",,,"25,00","0,00",,,
RZIT,26.12.2014,"25,00",,,"25,00","0,00",,,
RZIT,29.12.2014,"25,00",,,"25,00","0,00",,,
RZIT,30.12.2014,"25,00",,,"25,00","0,00",,,
RZIT,02.01.2015,"25,00",,,"25,00","0,00",,,
RZIT,05.01.2015,"25,00",,,"25,00","0,00",,,
RZIT,08.01.2015,"25,00",,,"25,00","0,00",,,
RZIT,09.01.2015,"25,00",,,"25,00","0,00",,,
RZIT,12.01.2015,"25,00",,,"25,00","0,00",,,
RZIT,13.01.2015,"25,00",,,"25,00","0,00",,,
RZIT,14.01.2015,"25,00",,,"25,00","0,00",,,
RZIT,15.01.2015,"25,00",,,"25,00","0,00",,,
RZIT,16.01.2015,"25,00",,,"25,00","0,00",,,
RZIT,20.01.2015,"25,00",,,"25,00","0,00",,,
RZIT,21.01.2015,"25,00",,,"25,00","0,00",,,
RZIT,22.01.2015,"25,00",,,"25,00","0,00",,,
RZIT,23.01.2015,"25,00",,,"25,00","0,00",,,
RZIT,26.01.2015,"25,00",,,"25,00","0,00",,,
RZIT,27.01.2015,"25,00",,,"25,00","0,00",,,
RZIT,28.01.2015,"25,00",,,"25,00","0,00",,,
RZIT,29.01.2015,"25,00",,,"25,00","0,00",,,
RZIT,30.01.2015,"25,00",,,"25,00","0,00",,,
RZIT,02.02.2015,"25,00",,,"25,00","0,00",,,
RZIT,03.02.2015,"25,00",,,"25,00","0,00",,,
RZIT,04.02.2015,"25,00",,,"25,00","0,00",,,
RZIT,05.02.2015,"25,00",,,"25,00","0,00",,,
RZIT,06.02.2015,"25,00",,,"25,00","0,00",,,
RZIT,09.02.2015,"25,00",,,"25,00","0,00",,,
RZIT,10.02.2015,"25,00",,,"25,00","0,00",,,
RZIT,11.02.2015,"25,00",,,"25,00","0,00",,,
RZIT,12.02.2015,"25,00","25,00","25,00","25,00","0,00",31.0,775.0,775.0
RZIT,13.02.2015,"25,00",,,"25,00","0,00",,,
RZIT,16.02.2015,"25,00",,,"25,00","0,00",,,
RZIT,17.02.2015,"25,00",,,"25,00","0,00",,,
RZIT,18.02.2015,"25,00",,,"25,00","0,00",,,
