Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
RZIZ,13.11.2014,"615,00",,,"615,00","0,00",,,
RZIZ,14.11.2014,"615,00",,,"615,00","0,00",,,
RZIZ,17.11.2014,"615,00",,,"615,00","0,00",,,
RZIZ,18.11.2014,"615,00",,,"615,00","0,00",,,
RZIZ,19.11.2014,"615,00",,,"615,00","0,00",,,
RZIZ,20.11.2014,"615,00",,,"615,00","0,00",,,
RZIZ,21.11.2014,"615,00",,,"615,00","0,00",,,
RZIZ,24.11.2014,"615,00",,,"615,00","0,00",,,
RZIZ,25.11.2014,"615,00",,,"615,00","0,00",,,
RZIZ,26.11.2014,"615,00",,,"615,00","0,00",,,
RZIZ,27.11.2014,"615,00",,,"615,00","0,00",,,
RZIZ,28.11.2014,"615,00",,,"615,00","0,00",,,
RZIZ,01.12.2014,"615,00",,,"615,00","0,00",,,
RZIZ,02.12.2014,"615,00",,,"615,00","0,00",,,
RZIZ,04.12.2014,"615,00",,,"615,00","0,00",,,
RZIZ,05.12.2014,"615,00",,,"615,00","0,00",,,
RZIZ,09.12.2014,"615,00",,,"615,00","0,00",,,
RZIZ,10.12.2014,"615,00",,,"615,00","0,00",,,
RZIZ,11.12.2014,"615,00",,,"615,00","0,00",,,
RZIZ,12.12.2014,"615,00",,,"615,00","0,00",,,
RZIZ,15.12.2014,"615,00",,,"615,00","0,00",,,
RZIZ,16.12.2014,"615,00",,,"615,00","0,00",,,
RZIZ,17.12.2014,"615,00",,,"615,00","0,00",,,
RZIZ,18.12.2014,"615,00",,,"615,00","0,00",,,
RZIZ,19.12.2014,"615,00",,,"615,00","0,00",,,
RZIZ,22.12.2014,"615,00",,,"615,00","0,00",,,
RZIZ,23.12.2014,"615,00",,,"615,00","0,00",,,
RZIZ,24.12.2014,"615,00",,,"615,00","0,00",,,
RZIZ,25.12.2014,"615,00",,,"615,00","0,00",,,
RZIZ,26.12.2014,"615,00",,,"615,00","0,00",,,
RZIZ,29.12.2014,"615,00",,,"615,00","0,00",,,
RZIZ,30.12.2014,"615,00",,,"615,00","0,00",,,
RZIZ,02.01.2015,"615,00",,,"615,00","0,00",,,
RZIZ,05.01.2015,"615,00",,,"615,00","0,00",,,
RZIZ,08.01.2015,"615,00",,,"615,00","0,00",,,
RZIZ,09.01.2015,"615,00",,,"615,00","0,00",,,
RZIZ,12.01.2015,"615,00",,,"615,00","0,00",,,
RZIZ,13.01.2015,"615,00",,,"615,00","0,00",,,
RZIZ,14.01.2015,"615,00",,,"615,00","0,00",,,
RZIZ,15.01.2015,"615,00",,,"615,00","0,00",,,
RZIZ,16.01.2015,"615,00",,,"615,00","0,00",,,
RZIZ,20.01.2015,"615,00",,,"615,00","0,00",,,
RZIZ,21.01.2015,"615,00",,,"615,00","0,00",,,
RZIZ,22.01.2015,"615,00",,,"615,00","0,00",,,
RZIZ,23.01.2015,"615,00",,,"615,00","0,00",,,
RZIZ,26.01.2015,"615,00",,,"615,00","0,00",,,
RZIZ,27.01.2015,"615,00",,,"615,00","0,00",,,
RZIZ,28.01.2015,"615,00",,,"615,00","0,00",,,
RZIZ,29.01.2015,"615,00",,,"615,00","0,00",,,
RZIZ,30.01.2015,"615,00",,,"615,00","0,00",,,
RZIZ,02.02.2015,"615,00",,,"615,00","0,00",,,
RZIZ,03.02.2015,"615,00",,,"615,00","0,00",,,
RZIZ,04.02.2015,"615,00",,,"615,00","0,00",,,
RZIZ,05.02.2015,"615,00",,,"615,00","0,00",,,
RZIZ,06.02.2015,"615,00",,,"615,00","0,00",,,
RZIZ,09.02.2015,"615,00",,,"615,00","0,00",,,
RZIZ,10.02.2015,"615,00",,,"615,00","0,00",,,
RZIZ,11.02.2015,"615,00",,,"615,00","0,00",,,
RZIZ,12.02.2015,"615,00",,,"615,00","0,00",,,
RZIZ,13.02.2015,"615,00",,,"615,00","0,00",,,
RZIZ,16.02.2015,"615,00",,,"615,00","0,00",,,
