Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
RZLE,13.11.2014,"28,00","28,00","28,00","28,00","16,67",6.096,170.688,170.688
RZLE,14.11.2014,"28,00","28,00","28,00","28,00","0,00",12.5,350.0,350.0
RZLE,17.11.2014,"28,00","28,00","28,00","28,00","0,00",12.0,336.0,336.0
RZLE,18.11.2014,"28,00","28,00","28,00","28,00","0,00",2.0,56.0,56.0
RZLE,19.11.2014,"26,00","26,00","26,00","26,00","-7,14",300.0,7.8,7.8
RZLE,20.11.2014,"26,00",,,"26,00","0,00",,,
RZLE,21.11.2014,"26,00",,,"26,00","0,00",,,
RZLE,24.11.2014,"26,00",,,"26,00","0,00",,,
RZLE,25.11.2014,"26,00",,,"26,00","0,00",,,
RZLE,26.11.2014,"26,00",,,"26,00","0,00",,,
RZLE,27.11.2014,"26,00",,,"26,00","0,00",,,
RZLE,28.11.2014,"26,00",,,"26,00","0,00",,,
RZLE,01.12.2014,"26,00",,,"26,00","0,00",,,
RZLE,02.12.2014,"26,00",,,"26,00","0,00",,,
RZLE,04.12.2014,"26,00",,,"26,00","0,00",,,
RZLE,05.12.2014,"26,00",,,"26,00","0,00",,,
RZLE,09.12.2014,"26,00",,,"26,00","0,00",,,
RZLE,10.12.2014,"26,00",,,"26,00","0,00",,,
RZLE,11.12.2014,"26,00",,,"26,00","0,00",,,
RZLE,12.12.2014,"26,00",,,"26,00","0,00",,,
RZLE,15.12.2014,"26,00",,,"26,00","0,00",,,
RZLE,16.12.2014,"26,00",,,"26,00","0,00",,,
RZLE,17.12.2014,"26,00",,,"26,00","0,00",,,
RZLE,18.12.2014,"26,00",,,"26,00","0,00",,,
RZLE,19.12.2014,"26,00",,,"26,00","0,00",,,
RZLE,22.12.2014,"26,00",,,"26,00","0,00",,,
RZLE,23.12.2014,"26,00",,,"26,00","0,00",,,
RZLE,24.12.2014,"26,00",,,"26,00","0,00",,,
RZLE,25.12.2014,"26,00",,,"26,00","0,00",,,
RZLE,26.12.2014,"26,00",,,"26,00","0,00",,,
RZLE,29.12.2014,"26,00",,,"26,00","0,00",,,
RZLE,30.12.2014,"26,00",,,"26,00","0,00",,,
RZLE,02.01.2015,"26,00",,,"26,00","0,00",,,
RZLE,05.01.2015,"26,00",,,"26,00","0,00",,,
RZLE,08.01.2015,"26,00",,,"26,00","0,00",,,
RZLE,09.01.2015,"21,00","21,00","21,00","21,00","-19,23",1.0,21.0,21.0
RZLE,12.01.2015,"21,00",,,"21,00","0,00",,,
RZLE,13.01.2015,"21,00",,,"21,00","0,00",,,
RZLE,14.01.2015,"21,00",,,"21,00","0,00",,,
RZLE,15.01.2015,"21,00","21,00","21,00","21,00","0,00",1.753,36.813,36.813
RZLE,16.01.2015,"21,00","21,00","21,00","21,00","0,00",510.0,10.71,10.71
RZLE,20.01.2015,"21,00",,,"21,00","0,00",,,
RZLE,21.01.2015,"21,00",,,"21,00","0,00",,,
RZLE,22.01.2015,"21,00",,,"21,00","0,00",,,
RZLE,23.01.2015,"21,00",,,"21,00","0,00",,,
RZLE,26.01.2015,"21,00",,,"21,00","0,00",,,
RZLE,27.01.2015,"21,00",,,"21,00","0,00",,,
RZLE,28.01.2015,"21,00",,,"21,00","0,00",,,
RZLE,29.01.2015,"21,00",,,"21,00","0,00",,,
RZLE,30.01.2015,"21,00",,,"21,00","0,00",,,
RZLE,02.02.2015,"21,00",,,"21,00","0,00",,,
RZLE,03.02.2015,"21,00",,,"21,00","0,00",,,
RZLE,04.02.2015,"21,00",,,"21,00","0,00",,,
RZLE,05.02.2015,"21,00",,,"21,00","0,00",,,
RZLE,06.02.2015,"21,00",,,"21,00","0,00",,,
RZLE,09.02.2015,"21,00",,,"21,00","0,00",,,
RZLE,10.02.2015,"21,00",,,"21,00","0,00",,,
RZLE,11.02.2015,"23,00","23,00","23,00","23,00","9,52",187.0,4.301,4.301
RZLE,12.02.2015,"23,00","23,00","23,00","23,00","0,00",728.0,16.744,16.744
RZLE,13.02.2015,"23,00",,,"23,00","0,00",,,
RZLE,16.02.2015,"23,00",,,"23,00","0,00",,,
RZLE,17.02.2015,"23,00",,,"23,00","0,00",,,
RZLE,18.02.2015,"23,00",,,"23,00","0,00",,,
RZLE,19.02.2015,"23,00",,,"23,00","0,00",,,
RZLE,20.02.2015,"23,00",,,"23,00","0,00",,,
RZLE,23.02.2015,"23,00",,,"23,00","0,00",,,
RZLE,24.02.2015,"23,00",,,"23,00","0,00",,,
RZLE,25.02.2015,"23,00",,,"23,00","0,00",,,
RZLE,26.02.2015,"23,00",,,"23,00","0,00",,,
RZLE,27.02.2015,"23,00",,,"23,00","0,00",,,
RZLE,02.03.2015,"23,00",,,"23,00","0,00",,,
RZLE,03.03.2015,"23,00",,,"23,00","0,00",,,
RZLE,04.03.2015,"23,00",,,"23,00","0,00",,,
RZLE,05.03.2015,"23,00",,,"23,00","0,00",,,
RZLE,06.03.2015,"23,00",,,"23,00","0,00",,,
RZLE,09.03.2015,"23,00",,,"23,00","0,00",,,
RZLE,10.03.2015,"23,00",,,"23,00","0,00",,,
RZLE,11.03.2015,"23,00",,,"23,00","0,00",,,
RZLE,12.03.2015,"23,00",,,"23,00","0,00",,,
RZLE,13.03.2015,"23,00",,,"23,00","0,00",,,
RZLE,16.03.2015,"23,00",,,"23,00","0,00",,,
RZLE,17.03.2015,"23,00",,,"23,00","0,00",,,
RZLE,18.03.2015,"23,00",,,"23,00","0,00",,,
RZLE,19.03.2015,"23,00",,,"23,00","0,00",,,
RZLE,20.03.2015,"23,00",,,"23,00","0,00",,,
RZLE,23.03.2015,"23,00",,,"23,00","0,00",,,
RZLE,24.03.2015,"23,00",,,"23,00","0,00",,,
RZLE,25.03.2015,"23,00",,,"23,00","0,00",,,
RZLE,26.03.2015,"23,00",,,"23,00","0,00",,,
RZLE,27.03.2015,"23,00",,,"23,00","0,00",,,
RZLE,30.03.2015,"23,00",,,"23,00","0,00",,,
RZLE,31.03.2015,"23,00",,,"23,00","0,00",,,
RZLE,01.04.2015,"23,00",,,"23,00","0,00",,,
RZLE,02.04.2015,"23,00",,,"23,00","0,00",,,
RZLE,03.04.2015,"23,00",,,"23,00","0,00",,,
RZLE,06.04.2015,"23,00",,,"23,00","0,00",,,
RZLE,07.04.2015,"23,00",,,"23,00","0,00",,,
RZLE,08.04.2015,"23,00",,,"23,00","0,00",,,
RZLE,09.04.2015,"18,00","18,00","18,00","18,00","-21,74",164.0,2.952,2.952
RZLE,14.04.2015,"18,00",,,"18,00","0,00",,,
RZLE,15.04.2015,"18,00",,,"18,00","0,00",,,
RZLE,16.04.2015,"18,00",,,"18,00","0,00",,,
RZLE,17.04.2015,"18,00","18,00","18,00","18,00","0,00",210.0,3.78,3.78
RZLE,20.04.2015,"18,00",,,"18,00","0,00",,,
RZLE,21.04.2015,"18,00",,,"18,00","0,00",,,
RZLE,22.04.2015,"18,00",,,"18,00","0,00",,,
RZLE,23.04.2015,"18,00",,,"18,00","0,00",,,
RZLE,24.04.2015,"18,00",,,"18,00","0,00",,,
RZLE,27.04.2015,"18,00",,,"18,00","0,00",,,
RZLE,28.04.2015,"18,00",,,"18,00","0,00",,,
RZLE,29.04.2015,"18,00",,,"18,00","0,00",,,
RZLE,30.04.2015,"18,00",,,"18,00","0,00",,,
RZLE,04.05.2015,"18,00",,,"18,00","0,00",,,
RZLE,05.05.2015,"18,00",,,"18,00","0,00",,,
RZLE,06.05.2015,"18,00",,,"18,00","0,00",,,
RZLE,07.05.2015,"18,00",,,"18,00","0,00",,,
RZLE,08.05.2015,"18,00",,,"18,00","0,00",,,
RZLE,11.05.2015,"18,00",,,"18,00","0,00",,,
RZLE,12.05.2015,"18,00","18,00","18,00","18,00","0,00",662.0,11.916,11.916
RZLE,13.05.2015,"18,00",,,"18,00","0,00",,,
RZLE,14.05.2015,"18,00",,,"18,00","0,00",,,
RZLE,15.05.2015,"18,00",,,"18,00","0,00",,,
RZLE,18.05.2015,"18,00",,,"18,00","0,00",,,
RZLE,19.05.2015,"18,00",,,"18,00","0,00",,,
RZLE,20.05.2015,"18,00",,,"18,00","0,00",,,
RZLE,21.05.2015,"18,00",,,"18,00","0,00",,,
RZLE,22.05.2015,"18,00",,,"18,00","0,00",,,
RZLE,26.05.2015,"18,00",,,"18,00","0,00",,,
RZLE,27.05.2015,"18,00",,,"18,00","0,00",,,
RZLE,28.05.2015,"18,00",,,"18,00","0,00",,,
RZLE,01.06.2015,"18,00",,,"18,00","0,00",,,
RZLE,02.06.2015,"18,00",,,"18,00","0,00",,,
RZLE,03.06.2015,"18,00",,,"18,00","0,00",,,
RZLE,04.06.2015,"18,00",,,"18,00","0,00",,,
