Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
RZLV,13.11.2014,"46,00",,,"44,25","0,00",,,
RZLV,14.11.2014,"45,00","45,00","45,00","45,00","1,69",17.08,768.6,768.6
RZLV,17.11.2014,"46,00","46,00","45,00","45,03","0,07",11.208,504.675,504.675
RZLV,18.11.2014,"49,00","49,00","46,00","46,55","3,38",11.0,512.0,512.0
RZLV,19.11.2014,"51,00","51,00","51,00","51,00","9,56",50.0,2.55,2.55
RZLV,20.11.2014,"52,00","52,00","50,00","51,75","1,47",877.0,45.384,45.384
RZLV,21.11.2014,"53,00","53,00","53,00","53,00","2,42",50.0,2.65,2.65
RZLV,24.11.2014,"53,00",,,"53,00","0,00",,,
RZLV,25.11.2014,"54,00","54,00","54,00","54,00","1,89",50.0,2.7,2.7
RZLV,26.11.2014,"54,00",,,"54,00","0,00",,,
RZLV,27.11.2014,"54,00",,,"54,00","0,00",,,
RZLV,28.11.2014,"54,00",,,"54,00","0,00",,,
RZLV,01.12.2014,"54,00",,,"54,00","0,00",,,
RZLV,02.12.2014,"54,00",,,"54,00","0,00",,,
RZLV,04.12.2014,"54,00",,,"54,00","0,00",,,
RZLV,05.12.2014,"54,00",,,"54,00","0,00",,,
RZLV,09.12.2014,"54,00",,,"54,00","0,00",,,
RZLV,10.12.2014,"54,00",,,"54,00","0,00",,,
RZLV,11.12.2014,"54,00",,,"54,00","0,00",,,
RZLV,12.12.2014,"54,00",,,"54,00","0,00",,,
RZLV,15.12.2014,"54,00",,,"54,00","0,00",,,
RZLV,16.12.2014,"54,00",,,"54,00","0,00",,,
RZLV,17.12.2014,"54,00",,,"54,00","0,00",,,
RZLV,18.12.2014,"54,00",,,"54,00","0,00",,,
RZLV,19.12.2014,"54,00",,,"54,00","0,00",,,
RZLV,22.12.2014,"54,00",,,"54,00","0,00",,,
RZLV,23.12.2014,"54,00",,,"54,00","0,00",,,
RZLV,24.12.2014,"54,00",,,"54,00","0,00",,,
RZLV,25.12.2014,"54,00",,,"54,00","0,00",,,
RZLV,26.12.2014,"54,00",,,"54,00","0,00",,,
RZLV,29.12.2014,"54,00",,,"54,00","0,00",,,
RZLV,30.12.2014,"54,00",,,"54,00","0,00",,,
RZLV,02.01.2015,"54,00",,,"54,00","0,00",,,
RZLV,05.01.2015,"54,00",,,"54,00","0,00",,,
RZLV,08.01.2015,"54,00",,,"54,00","0,00",,,
RZLV,09.01.2015,"54,00",,,"54,00","0,00",,,
RZLV,12.01.2015,"49,00","49,00","49,00","49,00","-9,26",100.0,4.9,4.9
RZLV,13.01.2015,"49,00",,,"49,00","0,00",,,
RZLV,14.01.2015,"49,00",,,"49,00","0,00",,,
RZLV,15.01.2015,"45,00","45,00","45,00","45,00","-8,16",380.0,17.1,17.1
RZLV,16.01.2015,"45,00",,,"45,00","0,00",,,
RZLV,20.01.2015,"45,00",,,"45,00","0,00",,,
RZLV,21.01.2015,"44,00","44,00","44,00","44,00","-2,22",740.0,32.56,32.56
RZLV,22.01.2015,"44,00",,,"44,00","0,00",,,
RZLV,23.01.2015,"44,00",,,"44,00","0,00",,,
RZLV,26.01.2015,"44,00",,,"44,00","0,00",,,
RZLV,27.01.2015,"44,00",,,"44,00","0,00",,,
RZLV,28.01.2015,"44,00",,,"44,00","0,00",,,
RZLV,29.01.2015,"44,00",,,"44,00","0,00",,,
RZLV,30.01.2015,"42,00","42,00","42,00","42,00","-4,55",500.0,21.0,21.0
RZLV,02.02.2015,"42,00",,,"42,00","0,00",,,
RZLV,03.02.2015,"42,00",,,"42,00","0,00",,,
RZLV,04.02.2015,"42,00",,,"42,00","0,00",,,
RZLV,05.02.2015,"40,00","40,00","40,00","40,00","-4,76",750.0,30.0,30.0
RZLV,06.02.2015,"42,00","42,00","42,00","42,00","5,00",4.99,209.58,209.58
RZLV,09.02.2015,"42,00",,,"42,00","0,00",,,
RZLV,10.02.2015,"42,00",,,"42,00","0,00",,,
RZLV,11.02.2015,"42,00",,,"42,00","0,00",,,
RZLV,12.02.2015,"42,00",,,"42,00","0,00",,,
RZLV,13.02.2015,"42,00",,,"42,00","0,00",,,
RZLV,16.02.2015,"42,00",,,"42,00","0,00",,,
RZLV,17.02.2015,"42,00",,,"42,00","0,00",,,
RZLV,18.02.2015,"42,00",,,"42,00","0,00",,,
RZLV,19.02.2015,"42,00",,,"42,00","0,00",,,
RZLV,20.02.2015,"42,00",,,"42,00","0,00",,,
