Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
RZTK,13.11.2014,"400,00",,,"400,00","0,00",,,
RZTK,14.11.2014,"400,00",,,"400,00","0,00",,,
RZTK,17.11.2014,"400,00",,,"400,00","0,00",,,
RZTK,18.11.2014,"412,00","412,00","412,00","412,00","3,00",120.0,49.44,49.44
RZTK,19.11.2014,"412,00",,,"412,00","0,00",,,
RZTK,20.11.2014,"412,00","412,00","412,00","412,00","0,00",50.0,20.6,20.6
RZTK,21.11.2014,"412,00",,,"412,00","0,00",,,
RZTK,24.11.2014,"412,00",,,"412,00","0,00",,,
RZTK,25.11.2014,"412,00",,,"412,00","0,00",,,
RZTK,26.11.2014,"412,00",,,"412,00","0,00",,,
RZTK,27.11.2014,"412,00",,,"412,00","0,00",,,
RZTK,28.11.2014,"412,00",,,"412,00","0,00",,,
RZTK,01.12.2014,"412,00",,,"412,00","0,00",,,
RZTK,02.12.2014,"412,00",,,"412,00","0,00",,,
RZTK,04.12.2014,"412,00",,,"412,00","0,00",,,
RZTK,05.12.2014,"412,00",,,"412,00","0,00",,,
RZTK,09.12.2014,"412,00",,,"412,00","0,00",,,
RZTK,10.12.2014,"412,00",,,"412,00","0,00",,,
RZTK,11.12.2014,"412,00",,,"412,00","0,00",,,
RZTK,12.12.2014,"412,00",,,"412,00","0,00",,,
RZTK,15.12.2014,"412,00",,,"412,00","0,00",,,
RZTK,16.12.2014,"412,00",,,"412,00","0,00",,,
RZTK,17.12.2014,"412,00",,,"412,00","0,00",,,
RZTK,18.12.2014,"412,00",,,"412,00","0,00",,,
RZTK,19.12.2014,"412,00",,,"412,00","0,00",,,
RZTK,22.12.2014,"412,00",,,"412,00","0,00",,,
RZTK,23.12.2014,"390,00","390,00","390,00","390,00","-5,34",7.0,2.73,2.73
RZTK,24.12.2014,"390,00",,,"390,00","0,00",,,
RZTK,25.12.2014,"390,00",,,"390,00","0,00",,,
RZTK,26.12.2014,"410,00","410,00","410,00","410,00","5,13",8.0,3.28,3.28
RZTK,29.12.2014,"410,00",,,"410,00","0,00",,,
RZTK,30.12.2014,"410,00",,,"410,00","0,00",,,
RZTK,02.01.2015,"410,00",,,"410,00","0,00",,,
RZTK,05.01.2015,"410,00",,,"410,00","0,00",,,
RZTK,08.01.2015,"410,00",,,"410,00","0,00",,,
RZTK,09.01.2015,"410,00",,,"410,00","0,00",,,
RZTK,12.01.2015,"410,00",,,"410,00","0,00",,,
RZTK,13.01.2015,"410,00",,,"410,00","0,00",,,
RZTK,14.01.2015,"410,00",,,"410,00","0,00",,,
RZTK,15.01.2015,"410,00",,,"410,00","0,00",,,
RZTK,16.01.2015,"410,00",,,"410,00","0,00",,,
RZTK,20.01.2015,"410,00","410,00","410,00","410,00","0,00",20.0,8.2,8.2
RZTK,21.01.2015,"410,00",,,"410,00","0,00",,,
RZTK,22.01.2015,"410,00",,,"410,00","0,00",,,
RZTK,23.01.2015,"410,00",,,"410,00","0,00",,,
RZTK,26.01.2015,"410,00",,,"410,00","0,00",,,
RZTK,27.01.2015,"410,00",,,"410,00","0,00",,,
