Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
RZUG,13.11.2014,"10,00",,,"10,00","0,00",,,
RZUG,14.11.2014,"10,00",,,"10,00","0,00",,,
RZUG,17.11.2014,"10,00",,,"10,00","0,00",,,
RZUG,18.11.2014,"10,00",,,"10,00","0,00",,,
RZUG,19.11.2014,"10,00",,,"10,00","0,00",,,
RZUG,20.11.2014,"10,00",,,"10,00","0,00",,,
RZUG,21.11.2014,"10,00",,,"10,00","0,00",,,
RZUG,24.11.2014,"10,00",,,"10,00","0,00",,,
RZUG,25.11.2014,"10,00",,,"10,00","0,00",,,
RZUG,26.11.2014,"10,00",,,"10,00","0,00",,,
RZUG,27.11.2014,"10,00",,,"10,00","0,00",,,
RZUG,28.11.2014,"10,00",,,"10,00","0,00",,,
RZUG,01.12.2014,"10,00",,,"10,00","0,00",,,
RZUG,02.12.2014,"10,00",,,"10,00","0,00",,,
RZUG,04.12.2014,"10,00",,,"10,00","0,00",,,
RZUG,05.12.2014,"10,00",,,"10,00","0,00",,,
RZUG,09.12.2014,"10,00",,,"10,00","0,00",,,
RZUG,10.12.2014,"10,00",,,"10,00","0,00",,,
RZUG,11.12.2014,"10,00",,,"10,00","0,00",,,
RZUG,12.12.2014,"10,00",,,"10,00","0,00",,,
RZUG,15.12.2014,"10,00",,,"10,00","0,00",,,
RZUG,16.12.2014,"10,00",,,"10,00","0,00",,,
RZUG,17.12.2014,"10,00",,,"10,00","0,00",,,
RZUG,18.12.2014,"10,00",,,"10,00","0,00",,,
RZUG,19.12.2014,"10,00",,,"10,00","0,00",,,
RZUG,22.12.2014,"10,00",,,"10,00","0,00",,,
RZUG,23.12.2014,"10,00",,,"10,00","0,00",,,
RZUG,24.12.2014,"10,00",,,"10,00","0,00",,,
RZUG,25.12.2014,"10,00",,,"10,00","0,00",,,
RZUG,26.12.2014,"10,00",,,"10,00","0,00",,,
RZUG,29.12.2014,"10,00",,,"10,00","0,00",,,
RZUG,30.12.2014,"10,00",,,"10,00","0,00",,,
RZUG,02.01.2015,"10,00",,,"10,00","0,00",,,
RZUG,05.01.2015,"10,00",,,"10,00","0,00",,,
RZUG,08.01.2015,"10,00",,,"10,00","0,00",,,
RZUG,09.01.2015,"10,00",,,"10,00","0,00",,,
RZUG,12.01.2015,"10,00",,,"10,00","0,00",,,
RZUG,13.01.2015,"10,00",,,"10,00","0,00",,,
RZUG,14.01.2015,"10,00",,,"10,00","0,00",,,
RZUG,15.01.2015,"10,00",,,"10,00","0,00",,,
RZUG,16.01.2015,"10,00",,,"10,00","0,00",,,
RZUG,20.01.2015,"10,00",,,"10,00","0,00",,,
RZUG,21.01.2015,"10,00",,,"10,00","0,00",,,
RZUG,22.01.2015,"10,00",,,"10,00","0,00",,,
