Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
RZUS,13.11.2014,"100,00",,,"100,00","0,00",,,
RZUS,14.11.2014,"101,00","101,00","101,00","101,00","1,00",559.0,56.459,56.459
RZUS,17.11.2014,"101,00",,,"101,00","0,00",,,
RZUS,18.11.2014,"101,00",,,"101,00","0,00",,,
RZUS,19.11.2014,"101,00",,,"101,00","0,00",,,
RZUS,20.11.2014,"104,00","104,00","104,00","104,00","2,97",159.0,16.536,16.536
RZUS,21.11.2014,"104,00",,,"104,00","0,00",,,
RZUS,24.11.2014,"104,00",,,"104,00","0,00",,,
RZUS,25.11.2014,"104,00",,,"104,00","0,00",,,
RZUS,26.11.2014,"100,00","100,00","100,00","100,00","-3,85",1.341,134.1,134.1
RZUS,27.11.2014,"100,00",,,"100,00","0,00",,,
RZUS,28.11.2014,"100,00",,,"100,00","0,00",,,
RZUS,01.12.2014,"100,00",,,"100,00","0,00",,,
RZUS,02.12.2014,"100,00","100,00","100,00","100,00","0,00",200.0,20.0,20.0
RZUS,04.12.2014,"91,00","91,00","91,00","91,00","-9,00",109.0,9.919,9.919
RZUS,05.12.2014,"91,00",,,"91,00","0,00",,,
RZUS,09.12.2014,"91,00",,,"91,00","0,00",,,
RZUS,10.12.2014,"81,00","81,00","81,00","81,00","-10,99",900.0,72.9,72.9
RZUS,11.12.2014,"83,00","83,00","83,00","83,00","2,47",836.0,69.388,69.388
RZUS,12.12.2014,"83,00",,,"83,00","0,00",,,
RZUS,15.12.2014,"83,00",,,"83,00","0,00",,,
RZUS,16.12.2014,"83,00","83,00","83,00","83,00","0,00",345.0,28.635,28.635
RZUS,17.12.2014,"83,00",,,"83,00","0,00",,,
RZUS,18.12.2014,"85,00","85,00","85,00","85,00","2,41",527.0,44.795,44.795
RZUS,19.12.2014,"85,00",,,"85,00","0,00",,,
RZUS,22.12.2014,"85,00",,,"85,00","0,00",,,
RZUS,23.12.2014,"85,00",,,"85,00","0,00",,,
RZUS,24.12.2014,"83,00","83,00","83,00","83,00","-2,35",255.0,21.165,21.165
RZUS,25.12.2014,"83,00",,,"83,00","0,00",,,
RZUS,26.12.2014,"83,00",,,"83,00","0,00",,,
RZUS,29.12.2014,"83,00",,,"83,00","0,00",,,
RZUS,30.12.2014,"83,00",,,"83,00","0,00",,,
RZUS,02.01.2015,"83,00",,,"83,00","0,00",,,
RZUS,05.01.2015,"83,00",,,"83,00","0,00",,,
RZUS,08.01.2015,"83,00",,,"83,00","0,00",,,
RZUS,09.01.2015,"83,00",,,"83,00","0,00",,,
RZUS,12.01.2015,"83,00",,,"83,00","0,00",,,
RZUS,13.01.2015,"83,00",,,"83,00","0,00",,,
RZUS,14.01.2015,"83,00",,,"83,00","0,00",,,
RZUS,15.01.2015,"83,00",,,"83,00","0,00",,,
RZUS,16.01.2015,"83,00","83,00","83,00","83,00","0,00",575.0,47.725,47.725
RZUS,20.01.2015,"85,00","85,00","85,00","85,00","2,41",300.0,25.5,25.5
RZUS,21.01.2015,"85,00",,,"85,00","0,00",,,
