Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
SBT,13.11.2014,"1.440,00",,,"1.439,94","0,00",,,
SBT,14.11.2014,"1.540,00","1.540,00","1.501,00","1.517,71","5,40",70.0,106.240,106.240
SBT,17.11.2014,"1.669,00","1.669,00","1.563,00","1.648,18","8,60",280.0,461.490,461.490
SBT,18.11.2014,"1.599,00","1.697,00","1.599,00","1.658,74","0,64",707.0,1.172.731,1.172.731
SBT,19.11.2014,"1.610,00","1.610,00","1.610,00","1.610,00","-2,94",30.0,48.300,48.300
SBT,20.11.2014,"1.600,00","1.600,00","1.600,00","1.600,00","-0,62",256.0,409.600,409.600
SBT,21.11.2014,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",84.0,134.400,134.400
SBT,24.11.2014,"1.600,00",,,"1.600,00","0,00",,,
SBT,25.11.2014,"1.645,00","1.645,00","1.645,00","1.645,00","2,81",23.0,37.835,37.835
SBT,26.11.2014,"1.600,00","1.600,00","1.600,00","1.600,00","-2,74",74.0,118.400,118.400
SBT,27.11.2014,"1.575,00","1.575,00","1.575,00","1.575,00","-1,56",66.0,103.950,103.950
SBT,28.11.2014,"1.622,00","1.622,00","1.622,00","1.622,00","2,98",28.0,45.416,45.416
SBT,01.12.2014,"1.622,00","1.622,00","1.622,00","1.622,00","0,00",10.0,16.220,16.220
SBT,02.12.2014,"1.575,00","1.575,00","1.575,00","1.575,00","-2,90",19.0,29.925,29.925
SBT,04.12.2014,"1.575,00","1.575,00","1.575,00","1.575,00","0,00",15.0,23.625,23.625
SBT,05.12.2014,"1.575,00","1.575,00","1.575,00","1.575,00","0,00",280.0,441.000,441.000
SBT,09.12.2014,"1.575,00","1.575,00","1.575,00","1.575,00","0,00",35.0,55.125,55.125
SBT,10.12.2014,"1.575,00",,,"1.575,00","0,00",,,
SBT,11.12.2014,"1.575,00",,,"1.575,00","0,00",,,
SBT,12.12.2014,"1.530,00","1.531,00","1.530,00","1.530,09","-2,85",164.0,250.934,250.934
SBT,15.12.2014,"1.530,00",,,"1.530,09","0,00",,,
SBT,16.12.2014,"1.530,00",,,"1.530,09","0,00",,,
SBT,17.12.2014,"1.530,00",,,"1.530,09","0,00",,,
SBT,18.12.2014,"1.530,00",,,"1.530,09","0,00",,,6.424.470
SBT,19.12.2014,"1.530,00",,,"1.530,09","0,00",,,
SBT,22.12.2014,"1.500,00","1.500,00","1.500,00","1.500,00","-1,97",25.0,37.500,37.500
SBT,23.12.2014,"1.400,00","1.400,00","1.400,00","1.400,00","-6,67",19.0,26.600,26.600
SBT,24.12.2014,"1.400,00",,,"1.400,00","0,00",,,
SBT,25.12.2014,"1.400,00",,,"1.400,00","0,00",,,
SBT,26.12.2014,"1.400,00",,,"1.400,00","0,00",,,
SBT,29.12.2014,"1.410,00","1.410,00","1.400,00","1.407,27","0,52",139.0,195.610,195.610
SBT,30.12.2014,"1.400,00","1.400,00","1.400,00","1.400,00","-0,52",50.0,70.000,70.000
SBT,02.01.2015,"1.400,00","1.400,00","1.400,00","1.400,00","0,00",22.0,30.800,30.800
SBT,05.01.2015,"1.400,00",,,"1.400,00","0,00",,,
