Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
SDOM,13.11.2014,"30,00",,,"30,00","0,00",,,
SDOM,14.11.2014,"30,00",,,"30,00","0,00",,,
SDOM,17.11.2014,"30,00",,,"30,00","0,00",,,
SDOM,18.11.2014,"30,00",,,"30,00","0,00",,,
SDOM,19.11.2014,"30,00",,,"30,00","0,00",,,
SDOM,20.11.2014,"30,00",,,"30,00","0,00",,,
SDOM,21.11.2014,"30,00",,,"30,00","0,00",,,
SDOM,24.11.2014,"30,00",,,"30,00","0,00",,,
SDOM,25.11.2014,"30,00",,,"30,00","0,00",,,
SDOM,26.11.2014,"30,00",,,"30,00","0,00",,,
SDOM,27.11.2014,"30,00",,,"30,00","0,00",,,
SDOM,28.11.2014,"30,00",,,"30,00","0,00",,,
SDOM,01.12.2014,"30,00",,,"30,00","0,00",,,
SDOM,02.12.2014,"30,00",,,"30,00","0,00",,,
SDOM,04.12.2014,"30,00",,,"30,00","0,00",,,
SDOM,05.12.2014,"30,00",,,"30,00","0,00",,,
SDOM,09.12.2014,"30,00",,,"30,00","0,00",,,
SDOM,10.12.2014,"30,00",,,"30,00","0,00",,,
SDOM,11.12.2014,"30,00",,,"30,00","0,00",,,
SDOM,12.12.2014,"30,00",,,"30,00","0,00",,,
SDOM,15.12.2014,"30,00",,,"30,00","0,00",,,
SDOM,16.12.2014,"30,00",,,"30,00","0,00",,,
SDOM,17.12.2014,"30,00",,,"30,00","0,00",,,
SDOM,18.12.2014,"30,00",,,"30,00","0,00",,,
SDOM,19.12.2014,"30,00",,,"30,00","0,00",,,
SDOM,22.12.2014,"30,00",,,"30,00","0,00",,,
SDOM,23.12.2014,"30,00",,,"30,00","0,00",,,
SDOM,24.12.2014,"30,00",,,"30,00","0,00",,,
SDOM,25.12.2014,"30,00",,,"30,00","0,00",,,
SDOM,26.12.2014,"30,00",,,"30,00","0,00",,,
SDOM,29.12.2014,"30,00",,,"30,00","0,00",,,
SDOM,30.12.2014,"30,00",,,"30,00","0,00",,,
SDOM,02.01.2015,"30,00",,,"30,00","0,00",,,
SDOM,05.01.2015,"30,00",,,"30,00","0,00",,,
SDOM,08.01.2015,"30,00",,,"30,00","0,00",,,
SDOM,09.01.2015,"30,00",,,"30,00","0,00",,,
SDOM,12.01.2015,"30,00",,,"30,00","0,00",,,
SDOM,13.01.2015,"30,00",,,"30,00","0,00",,,
SDOM,14.01.2015,"30,00",,,"30,00","0,00",,,
SDOM,15.01.2015,"30,00",,,"30,00","0,00",,,
SDOM,16.01.2015,"30,00",,,"30,00","0,00",,,
SDOM,20.01.2015,"30,00",,,"30,00","0,00",,,
SDOM,21.01.2015,"30,00",,,"30,00","0,00",,,
SDOM,22.01.2015,"30,00",,,"30,00","0,00",,,
SDOM,23.01.2015,"30,00",,,"30,00","0,00",,,
SDOM,26.01.2015,"30,00",,,"30,00","0,00",,,
SDOM,27.01.2015,"30,00",,,"30,00","0,00",,,
SDOM,28.01.2015,"30,00",,,"30,00","0,00",,,
SDOM,29.01.2015,"30,00",,,"30,00","0,00",,,
SDOM,30.01.2015,"30,00",,,"30,00","0,00",,,
SDOM,02.02.2015,"30,00",,,"30,00","0,00",,,
SDOM,03.02.2015,"30,00",,,"30,00","0,00",,,
SDOM,04.02.2015,"30,00",,,"30,00","0,00",,,
SDOM,05.02.2015,"30,00",,,"30,00","0,00",,,
SDOM,06.02.2015,"30,00",,,"30,00","0,00",,,
SDOM,09.02.2015,"30,00",,,"30,00","0,00",,,
SDOM,10.02.2015,"30,00",,,"30,00","0,00",,,
SDOM,11.02.2015,"30,00",,,"30,00","0,00",,,
SDOM,12.02.2015,"30,00",,,"30,00","0,00",,,
