Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
SIL,13.11.2014,"70,00",,,"70,00","0,00",,,
SIL,14.11.2014,"70,00",,,"70,00","0,00",,,
SIL,17.11.2014,"70,00",,,"70,00","0,00",,,
SIL,18.11.2014,"70,00",,,"70,00","0,00",,,
SIL,19.11.2014,"70,00",,,"70,00","0,00",,,
SIL,20.11.2014,"70,00","70,00","70,00","70,00","0,00",420.0,29.4,29.4
SIL,21.11.2014,"70,00",,,"70,00","0,00",,,
SIL,24.11.2014,"70,00",,,"70,00","0,00",,,
SIL,25.11.2014,"70,00",,,"70,00","0,00",,,
SIL,26.11.2014,"70,00","70,00","70,00","70,00","0,00",263.0,18.41,18.41
SIL,27.11.2014,"70,00",,,"70,00","0,00",,,
SIL,28.11.2014,"70,00",,,"70,00","0,00",,,
SIL,01.12.2014,"70,00",,,"70,00","0,00",,,
SIL,02.12.2014,"70,00","70,00","70,00","70,00","0,00",304.0,21.28,21.28
SIL,04.12.2014,"70,00",,,"70,00","0,00",,,
SIL,05.12.2014,"70,00",,,"70,00","0,00",,,
SIL,09.12.2014,"70,00","70,00","70,00","70,00","0,00",350.0,24.5,24.5
SIL,10.12.2014,"70,00",,,"70,00","0,00",,,
SIL,11.12.2014,"70,00",,,"70,00","0,00",,,
SIL,12.12.2014,"70,00",,,"70,00","0,00",,,
SIL,15.12.2014,"70,00",,,"70,00","0,00",,,
SIL,16.12.2014,"70,00",,,"70,00","0,00",,,
SIL,17.12.2014,"70,00",,,"70,00","0,00",,,
SIL,18.12.2014,"70,00","70,00","70,00","70,00","0,00",620.0,43.4,43.4
SIL,19.12.2014,"70,00",,,"70,00","0,00",,,
SIL,22.12.2014,"70,00",,,"70,00","0,00",,,
SIL,23.12.2014,"70,00",,,"70,00","0,00",,,
SIL,24.12.2014,"70,00",,,"70,00","0,00",,,
SIL,25.12.2014,"70,00",,,"70,00","0,00",,,
SIL,26.12.2014,"70,00",,,"70,00","0,00",,,
SIL,29.12.2014,"70,00",,,"70,00","0,00",,,
SIL,30.12.2014,"70,00",,,"70,00","0,00",,,
SIL,02.01.2015,"70,00",,,"70,00","0,00",,,
SIL,05.01.2015,"70,00",,,"70,00","0,00",,,
SIL,08.01.2015,"70,00",,,"70,00","0,00",,,
SIL,09.01.2015,"70,00","70,00","70,00","70,00","0,00",250.0,17.5,17.5
SIL,12.01.2015,"70,00",,,"70,00","0,00",,,
SIL,13.01.2015,"70,00",,,"70,00","0,00",,,
SIL,14.01.2015,"70,00",,,"70,00","0,00",,,
SIL,15.01.2015,"70,00",,,"70,00","0,00",,,
SIL,16.01.2015,"70,00",,,"70,00","0,00",,,
SIL,20.01.2015,"70,00",,,"70,00","0,00",,,
SIL,21.01.2015,"70,00",,,"70,00","0,00",,,
SIL,22.01.2015,"70,00",,,"70,00","0,00",,,
SIL,23.01.2015,"70,00",,,"70,00","0,00",,,
SIL,26.01.2015,"70,00",,,"70,00","0,00",,,
SIL,27.01.2015,"70,00",,,"70,00","0,00",,,
SIL,28.01.2015,"70,00",,,"70,00","0,00",,,
SIL,29.01.2015,"70,00",,,"70,00","0,00",,,
SIL,30.01.2015,"70,00",,,"70,00","0,00",,,
SIL,02.02.2015,"70,00",,,"70,00","0,00",,,
SIL,03.02.2015,"70,00",,,"70,00","0,00",,,
SIL,04.02.2015,"70,00",,,"70,00","0,00",,,
SIL,05.02.2015,"70,00",,,"70,00","0,00",,,
SIL,06.02.2015,"70,00",,,"70,00","0,00",,,
SIL,09.02.2015,"70,00",,,"70,00","0,00",,,
SIL,10.02.2015,"70,00",,,"70,00","0,00",,,
SIL,11.02.2015,"70,00",,,"70,00","0,00",,,
SIL,12.02.2015,"70,00",,,"70,00","0,00",,,
SIL,13.02.2015,"70,00","70,00","70,00","70,00","0,00",670.0,46.9,46.9
SIL,16.02.2015,"70,00",,,"70,00","0,00",,,
SIL,17.02.2015,"70,00",,,"70,00","0,00",,,
SIL,18.02.2015,"70,00",,,"70,00","0,00",,,
SIL,19.02.2015,"70,00",,,"70,00","0,00",,,
SIL,20.02.2015,"70,00",,,"70,00","0,00",,,
SIL,23.02.2015,"70,00",,,"70,00","0,00",,,
SIL,24.02.2015,"70,00",,,"70,00","0,00",,,
SIL,25.02.2015,"70,00",,,"70,00","0,00",,,
SIL,26.02.2015,"70,00",,,"70,00","0,00",,,
SIL,27.02.2015,"70,00",,,"70,00","0,00",,,
SIL,02.03.2015,"70,00",,,"70,00","0,00",,,
SIL,03.03.2015,"70,00",,,"70,00","0,00",,,
SIL,04.03.2015,"70,00",,,"70,00","0,00",,,
SIL,05.03.2015,"70,00",,,"70,00","0,00",,,
SIL,06.03.2015,"70,00",,,"70,00","0,00",,,
SIL,09.03.2015,"70,00",,,"70,00","0,00",,,
SIL,10.03.2015,"70,00",,,"70,00","0,00",,,
SIL,11.03.2015,"70,00",,,"70,00","0,00",,,
SIL,12.03.2015,"70,00",,,"70,00","0,00",,,
SIL,13.03.2015,"70,00",,,"70,00","0,00",,,
SIL,16.03.2015,"70,00",,,"70,00","0,00",,,
SIL,17.03.2015,"70,00",,,"70,00","0,00",,,
SIL,18.03.2015,"70,00",,,"70,00","0,00",,,
SIL,19.03.2015,"70,00",,,"70,00","0,00",,,
SIL,20.03.2015,"70,00",,,"70,00","0,00",,,
SIL,23.03.2015,"70,00",,,"70,00","0,00",,,
SIL,24.03.2015,"70,00",,,"70,00","0,00",,,
SIL,25.03.2015,"70,00",,,"70,00","0,00",,,
SIL,26.03.2015,"70,00",,,"70,00","0,00",,,
SIL,27.03.2015,"70,00",,,"70,00","0,00",,,
SIL,30.03.2015,"70,00",,,"70,00","0,00",,,
SIL,31.03.2015,"70,00",,,"70,00","0,00",,,
SIL,01.04.2015,"70,00",,,"70,00","0,00",,,
SIL,02.04.2015,"70,00",,,"70,00","0,00",,,
SIL,03.04.2015,"70,00",,,"70,00","0,00",,,
SIL,06.04.2015,"70,00",,,"70,00","0,00",,,
SIL,07.04.2015,"70,00",,,"70,00","0,00",,,
SIL,08.04.2015,"70,00",,,"70,00","0,00",,,
SIL,09.04.2015,"70,00",,,"70,00","0,00",,,
SIL,14.04.2015,"70,00",,,"70,00","0,00",,,
SIL,15.04.2015,"70,00",,,"70,00","0,00",,,
SIL,16.04.2015,"70,00",,,"70,00","0,00",,,
SIL,17.04.2015,"70,00",,,"70,00","0,00",,,
SIL,20.04.2015,"70,00",,,"70,00","0,00",,,
SIL,21.04.2015,"70,00",,,"70,00","0,00",,,
SIL,22.04.2015,"70,00",,,"70,00","0,00",,,
SIL,23.04.2015,"70,00",,,"70,00","0,00",,,
SIL,24.04.2015,"70,00",,,"70,00","0,00",,,
SIL,27.04.2015,"70,00",,,"70,00","0,00",,,
SIL,28.04.2015,"70,00",,,"70,00","0,00",,,
SIL,29.04.2015,"70,00",,,"70,00","0,00",,,
SIL,30.04.2015,"70,00",,,"70,00","0,00",,,
SIL,04.05.2015,"70,00",,,"70,00","0,00",,,
SIL,05.05.2015,"70,00",,,"70,00","0,00",,,
SIL,06.05.2015,"70,00",,,"70,00","0,00",,,
SIL,07.05.2015,"70,00",,,"70,00","0,00",,,
SIL,08.05.2015,"70,00",,,"70,00","0,00",,,
SIL,11.05.2015,"70,00",,,"70,00","0,00",,,
SIL,12.05.2015,"70,00",,,"70,00","0,00",,,
SIL,13.05.2015,"70,00",,,"70,00","0,00",,,
SIL,14.05.2015,"70,00",,,"70,00","0,00",,,
SIL,15.05.2015,"70,00",,,"70,00","0,00",,,
SIL,18.05.2015,"70,00",,,"70,00","0,00",,,
SIL,19.05.2015,"70,00",,,"70,00","0,00",,,
SIL,20.05.2015,"70,00",,,"70,00","0,00",,,
SIL,21.05.2015,"70,00",,,"70,00","0,00",,,
SIL,22.05.2015,"70,00",,,"70,00","0,00",,,
SIL,26.05.2015,"70,00",,,"70,00","0,00",,,
SIL,27.05.2015,"70,00",,,"70,00","0,00",,,
SIL,28.05.2015,"70,00",,,"70,00","0,00",,,
SIL,01.06.2015,"70,00",,,"70,00","0,00",,,
SIL,02.06.2015,"70,00",,,"70,00","0,00",,,
SIL,03.06.2015,"70,00",,,"70,00","0,00",,,
SIL,04.06.2015,"70,00",,,"70,00","0,00",,,
SIL,05.06.2015,"70,00",,,"70,00","0,00",,,
SIL,08.06.2015,"70,00",,,"70,00","0,00",,,
SIL,09.06.2015,"70,00",,,"70,00","0,00",,,
SIL,10.06.2015,"70,00",,,"70,00","0,00",,,
SIL,11.06.2015,"70,00",,,"70,00","0,00",,,
SIL,12.06.2015,"70,00",,,"70,00","0,00",,,
SIL,15.06.2015,"70,00",,,"70,00","0,00",,,
SIL,16.06.2015,"70,00",,,"70,00","0,00",,,
SIL,17.06.2015,"70,00",,,"70,00","0,00",,,
SIL,18.06.2015,"70,00",,,"70,00","0,00",,,
SIL,19.06.2015,"70,00",,,"70,00","0,00",,,
SIL,22.06.2015,"70,00",,,"70,00","0,00",,,
SIL,23.06.2015,"70,00",,,"70,00","0,00",,,
SIL,24.06.2015,"70,00",,,"70,00","0,00",,,
SIL,25.06.2015,"70,00",,,"70,00","0,00",,,
SIL,26.06.2015,"70,00",,,"70,00","0,00",,,
SIL,29.06.2015,"70,00",,,"70,00","0,00",,,
SIL,30.06.2015,"70,00",,,"70,00","0,00",,,
SIL,01.07.2015,"70,00",,,"70,00","0,00",,,
SIL,02.07.2015,"70,00",,,"70,00","0,00",,,
SIL,03.07.2015,"70,00",,,"70,00","0,00",,,
SIL,06.07.2015,"70,00",,,"70,00","0,00",,,
SIL,07.07.2015,"70,00",,,"70,00","0,00",,,
SIL,08.07.2015,"70,00",,,"70,00","0,00",,,
SIL,09.07.2015,"70,00",,,"70,00","0,00",,,
SIL,10.07.2015,"70,00",,,"70,00","0,00",,,
SIL,13.07.2015,"70,00",,,"70,00","0,00",,,
SIL,14.07.2015,"70,00",,,"70,00","0,00",,,
SIL,15.07.2015,"70,00",,,"70,00","0,00",,,
SIL,16.07.2015,"70,00",,,"70,00","0,00",,,
SIL,20.07.2015,"70,00",,,"70,00","0,00",,,
SIL,21.07.2015,"70,00",,,"70,00","0,00",,,
SIL,22.07.2015,"70,00",,,"70,00","0,00",,,
SIL,23.07.2015,"70,00",,,"70,00","0,00",,,
SIL,24.07.2015,"70,00",,,"70,00","0,00",,,
SIL,27.07.2015,"70,00",,,"70,00","0,00",,,
SIL,28.07.2015,"70,00",,,"70,00","0,00",,,
SIL,29.07.2015,"70,00",,,"70,00","0,00",,,
SIL,30.07.2015,"70,00",,,"70,00","0,00",,,
SIL,31.07.2015,"70,00",,,"70,00","0,00",,,
SIL,04.08.2015,"70,00",,,"70,00","0,00",,,
SIL,05.08.2015,"70,00",,,"70,00","0,00",,,
SIL,06.08.2015,"70,00",,,"70,00","0,00",,,
SIL,07.08.2015,"70,00",,,"70,00","0,00",,,
SIL,10.08.2015,"70,00",,,"70,00","0,00",,,
SIL,11.08.2015,"70,00",,,"70,00","0,00",,,
SIL,12.08.2015,"70,00",,,"70,00","0,00",,,
SIL,13.08.2015,"70,00",,,"70,00","0,00",,,
SIL,14.08.2015,"70,00",,,"70,00","0,00",,,
SIL,17.08.2015,"70,00",,,"70,00","0,00",,,
SIL,18.08.2015,"70,00",,,"70,00","0,00",,,
SIL,19.08.2015,"70,00",,,"70,00","0,00",,,
SIL,20.08.2015,"70,00",,,"70,00","0,00",,,
SIL,21.08.2015,"70,00",,,"70,00","0,00",,,
SIL,24.08.2015,"70,00",,,"70,00","0,00",,,
SIL,25.08.2015,"70,00",,,"70,00","0,00",,,
SIL,26.08.2015,"70,00",,,"70,00","0,00",,,
SIL,27.08.2015,"70,00",,,"70,00","0,00",,,
SIL,31.08.2015,"70,00",,,"70,00","0,00",,,
SIL,01.09.2015,"70,00",,,"70,00","0,00",,,
SIL,02.09.2015,"70,00",,,"70,00","0,00",,,
SIL,03.09.2015,"70,00",,,"70,00","0,00",,,
SIL,04.09.2015,"70,00",,,"70,00","0,00",,,
SIL,07.09.2015,"70,00",,,"70,00","0,00",,,
SIL,09.09.2015,"70,00",,,"70,00","0,00",,,
SIL,10.09.2015,"70,00",,,"70,00","0,00",,,
SIL,11.09.2015,"70,00",,,"70,00","0,00",,,
SIL,14.09.2015,"70,00",,,"70,00","0,00",,,
SIL,15.09.2015,"70,00",,,"70,00","0,00",,,
SIL,16.09.2015,"70,00",,,"70,00","0,00",,,
SIL,17.09.2015,"70,00",,,"70,00","0,00",,,
SIL,18.09.2015,"70,00",,,"70,00","0,00",,,
