Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
SKON,13.11.2014,"1.400,00",,,"1.400,00","0,00",,,
SKON,14.11.2014,"1.400,00",,,"1.400,00","0,00",,,
SKON,17.11.2014,"1.400,00",,,"1.400,00","0,00",,,
SKON,18.11.2014,"1.400,00",,,"1.400,00","0,00",,,
SKON,19.11.2014,"1.400,00",,,"1.400,00","0,00",,,
SKON,20.11.2014,"1.400,00",,,"1.400,00","0,00",,,
SKON,21.11.2014,"1.400,00",,,"1.400,00","0,00",,,
SKON,24.11.2014,"1.400,00",,,"1.400,00","0,00",,,
SKON,25.11.2014,"1.400,00",,,"1.400,00","0,00",,,
SKON,26.11.2014,"1.400,00",,,"1.400,00","0,00",,,
SKON,27.11.2014,"1.400,00",,,"1.400,00","0,00",,,
SKON,28.11.2014,"1.400,00",,,"1.400,00","0,00",,,
SKON,01.12.2014,"1.400,00",,,"1.400,00","0,00",,,
SKON,02.12.2014,"1.400,00",,,"1.400,00","0,00",,,
SKON,04.12.2014,"1.400,00",,,"1.400,00","0,00",,,
SKON,05.12.2014,"1.400,00",,,"1.400,00","0,00",,,
SKON,09.12.2014,"1.400,00",,,"1.400,00","0,00",,,
SKON,10.12.2014,"1.400,00",,,"1.400,00","0,00",,,
SKON,11.12.2014,"1.400,00",,,"1.400,00","0,00",,,
SKON,12.12.2014,"1.400,00",,,"1.400,00","0,00",,,
SKON,15.12.2014,"1.400,00",,,"1.400,00","0,00",,,
SKON,16.12.2014,"1.400,00",,,"1.400,00","0,00",,,
SKON,17.12.2014,"1.400,00",,,"1.400,00","0,00",,,
SKON,18.12.2014,"1.400,00",,,"1.400,00","0,00",,,
SKON,19.12.2014,"1.400,00",,,"1.400,00","0,00",,,
SKON,22.12.2014,"1.400,00",,,"1.400,00","0,00",,,
SKON,23.12.2014,"1.400,00",,,"1.400,00","0,00",,,
SKON,24.12.2014,"1.400,00",,,"1.400,00","0,00",,,
SKON,25.12.2014,"1.400,00",,,"1.400,00","0,00",,,
SKON,26.12.2014,"1.400,00",,,"1.400,00","0,00",,,
SKON,29.12.2014,"1.400,00",,,"1.400,00","0,00",,,
SKON,30.12.2014,"1.400,00",,,"1.400,00","0,00",,,
SKON,02.01.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,05.01.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,08.01.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,09.01.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,12.01.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,13.01.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,14.01.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,15.01.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,16.01.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,20.01.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,21.01.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,22.01.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,23.01.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,26.01.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,27.01.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,28.01.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,29.01.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,30.01.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,02.02.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,03.02.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,04.02.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,05.02.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,06.02.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,09.02.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,10.02.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,11.02.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,12.02.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,13.02.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,16.02.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,17.02.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,18.02.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,19.02.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,20.02.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,23.02.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,24.02.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,25.02.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,26.02.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,27.02.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,02.03.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,03.03.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,04.03.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,05.03.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,06.03.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,09.03.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,10.03.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,11.03.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,12.03.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,13.03.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,16.03.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,17.03.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,18.03.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,19.03.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,20.03.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,23.03.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,24.03.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,25.03.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,26.03.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,27.03.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,30.03.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,31.03.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,01.04.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,02.04.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,03.04.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,06.04.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,07.04.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,08.04.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,09.04.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,14.04.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,15.04.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,16.04.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,17.04.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,20.04.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,21.04.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,22.04.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,23.04.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,24.04.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,27.04.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,28.04.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,29.04.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,30.04.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,04.05.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,05.05.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,06.05.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,07.05.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,08.05.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,11.05.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,12.05.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,13.05.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,14.05.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,15.05.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,18.05.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,19.05.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,20.05.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,21.05.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,22.05.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,26.05.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,27.05.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,28.05.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,01.06.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,02.06.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,03.06.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,04.06.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,05.06.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,08.06.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,09.06.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,10.06.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,11.06.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,12.06.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,15.06.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,16.06.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,17.06.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,18.06.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,19.06.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,22.06.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,23.06.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,24.06.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,25.06.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,26.06.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,29.06.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,30.06.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,01.07.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,02.07.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,03.07.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,06.07.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,07.07.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,08.07.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,09.07.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,10.07.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,13.07.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,14.07.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,15.07.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,16.07.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,20.07.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,21.07.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,22.07.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,23.07.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,24.07.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,27.07.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,28.07.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,29.07.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,30.07.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,31.07.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,04.08.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,05.08.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,06.08.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,07.08.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,10.08.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,11.08.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,12.08.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,13.08.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,14.08.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,17.08.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,18.08.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,19.08.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,20.08.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,21.08.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,24.08.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,25.08.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,26.08.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,27.08.2015,"1.400,00",,,"1.400,00","0,00",,,
SKON,31.08.2015,"1.400,00",,,"1.400,00","0,00",,,
