Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
SKP,13.11.2014,"65.695,00",,,"65.695,00","0,00",,,
SKP,14.11.2014,"65.695,00",,,"65.695,00","0,00",,,
SKP,17.11.2014,"65.695,00",,,"65.695,00","0,00",,,
SKP,18.11.2014,"65.695,00",,,"65.695,00","0,00",,,
SKP,19.11.2014,"65.695,00",,,"65.695,00","0,00",,,
SKP,20.11.2014,"65.695,00",,,"65.695,00","0,00",,,
SKP,21.11.2014,"65.695,00",,,"65.695,00","0,00",,,
SKP,24.11.2014,"65.695,00",,,"65.695,00","0,00",,,
SKP,25.11.2014,"65.695,00",,,"65.695,00","0,00",,,
SKP,26.11.2014,"65.695,00",,,"65.695,00","0,00",,,
SKP,27.11.2014,"65.695,00",,,"65.695,00","0,00",,,
SKP,28.11.2014,"65.695,00",,,"65.695,00","0,00",,,
SKP,01.12.2014,"65.695,00",,,"65.695,00","0,00",,,
SKP,02.12.2014,"65.695,00",,,"65.695,00","0,00",,,
SKP,04.12.2014,"65.695,00",,,"65.695,00","0,00",,,
SKP,05.12.2014,"65.695,00",,,"65.695,00","0,00",,,
SKP,09.12.2014,"65.695,00",,,"65.695,00","0,00",,,
SKP,10.12.2014,"65.695,00",,,"65.695,00","0,00",,,
SKP,11.12.2014,"65.695,00",,,"65.695,00","0,00",,,
SKP,12.12.2014,"65.695,00",,,"65.695,00","0,00",,,
SKP,15.12.2014,"65.695,00",,,"65.695,00","0,00",,,
SKP,16.12.2014,"65.695,00",,,"65.695,00","0,00",,,
SKP,17.12.2014,"65.695,00",,,"65.695,00","0,00",,,
SKP,18.12.2014,"65.695,00",,,"65.695,00","0,00",,,
SKP,19.12.2014,"65.695,00",,,"65.695,00","0,00",,,
SKP,22.12.2014,"65.695,00",,,"65.695,00","0,00",,,
SKP,23.12.2014,"65.695,00",,,"65.695,00","0,00",,,
SKP,24.12.2014,"65.695,00",,,"65.695,00","0,00",,,
SKP,25.12.2014,"65.695,00",,,"65.695,00","0,00",,,
SKP,26.12.2014,"65.695,00",,,"65.695,00","0,00",,,
SKP,29.12.2014,"65.695,00",,,"65.695,00","0,00",,,
SKP,30.12.2014,"65.695,00",,,"65.695,00","0,00",,,
SKP,02.01.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,05.01.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,08.01.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,09.01.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,12.01.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,13.01.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,14.01.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,15.01.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,16.01.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,20.01.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,21.01.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,22.01.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,23.01.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,26.01.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,27.01.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,28.01.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,29.01.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,30.01.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,02.02.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,03.02.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,04.02.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,05.02.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,06.02.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,09.02.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,10.02.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,11.02.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,12.02.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,13.02.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,16.02.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,17.02.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,18.02.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,19.02.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,20.02.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,23.02.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,24.02.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,25.02.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,26.02.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,27.02.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,02.03.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,03.03.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,04.03.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,05.03.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,06.03.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,09.03.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,10.03.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,11.03.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,12.03.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,13.03.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,16.03.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,17.03.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,18.03.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,19.03.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,20.03.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,23.03.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,24.03.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,25.03.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,26.03.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,27.03.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,30.03.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,31.03.2015,"65.695,00",,,"65.695,00","0,00",,,
SKP,01.04.2015,"65.695,00",,,"65.695,00","0,00",,,
