Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
SLAV,13.11.2014,"3.100,00",,,"3.100,00","0,00",,,
SLAV,14.11.2014,"3.100,00",,,"3.100,00","0,00",,,
SLAV,17.11.2014,"3.100,00",,,"3.100,00","0,00",,,
SLAV,18.11.2014,"3.100,00",,,"3.100,00","0,00",,,
SLAV,19.11.2014,"3.100,00",,,"3.100,00","0,00",,,
SLAV,20.11.2014,"3.100,00",,,"3.100,00","0,00",,,
SLAV,21.11.2014,"3.100,00",,,"3.100,00","0,00",,,
SLAV,24.11.2014,"3.100,00",,,"3.100,00","0,00",,,
SLAV,25.11.2014,"3.100,00",,,"3.100,00","0,00",,,
SLAV,26.11.2014,"3.100,00",,,"3.100,00","0,00",,,
SLAV,27.11.2014,"3.100,00",,,"3.100,00","0,00",,,
SLAV,28.11.2014,"3.100,00",,,"3.100,00","0,00",,,
SLAV,01.12.2014,"3.100,00",,,"3.100,00","0,00",,,
SLAV,02.12.2014,"3.411,00","3.411,00","3.411,00","3.411,00","10,03",20.0,68.22,68.22
SLAV,04.12.2014,"3.411,00",,,"3.411,00","0,00",,,
SLAV,05.12.2014,"3.411,00",,,"3.411,00","0,00",,,
SLAV,09.12.2014,"3.411,00",,,"3.411,00","0,00",,,
SLAV,10.12.2014,"3.411,00",,,"3.411,00","0,00",,,
SLAV,11.12.2014,"3.411,00",,,"3.411,00","0,00",,,
SLAV,12.12.2014,"3.411,00",,,"3.411,00","0,00",,,
SLAV,15.12.2014,"3.411,00",,,"3.411,00","0,00",,,
SLAV,16.12.2014,"3.411,00",,,"3.411,00","0,00",,,
SLAV,17.12.2014,"3.411,00",,,"3.411,00","0,00",,,
SLAV,18.12.2014,"3.411,00",,,"3.411,00","0,00",,,
SLAV,19.12.2014,"3.411,00",,,"3.411,00","0,00",,,
SLAV,22.12.2014,"3.411,00",,,"3.411,00","0,00",,,
