Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
SNBT,28.11.2018,,,,,,,,1.783.296
SNBT,29.11.2018,,,,,,,,
SNBT,30.11.2018,,,,,,,,
SNBT,03.12.2018,,,,,,,,
SNBT,04.12.2018,,,,,,,,
SNBT,05.12.2018,,,,,,,,
SNBT,06.12.2018,,,,,,,,
SNBT,07.12.2018,,,,,,,,
SNBT,10.12.2018,,,,,,,,
SNBT,11.12.2018,,,,,,,,
SNBT,12.12.2018,,,,,,,,
SNBT,13.12.2018,,,,,,,,
SNBT,14.12.2018,,,,,,,,
SNBT,17.12.2018,,,,,,,,
SNBT,18.12.2018,,,,,,,,
SNBT,19.12.2018,,,,,,,,
SNBT,20.12.2018,,,,,,,,
SNBT,21.12.2018,,,,,,,,
SNBT,24.12.2018,,,,,,,,
SNBT,25.12.2018,,,,,,,,
SNBT,26.12.2018,,,,,,,,
SNBT,27.12.2018,,,,,,,,
SNBT,28.12.2018,"24.752,00","24.752,00","24.752,00","24.752,00",,244.0,6.039.488,6.039.488
SNBT,02.01.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,03.01.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,04.01.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,08.01.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,09.01.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,10.01.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,11.01.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,14.01.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,15.01.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,16.01.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,17.01.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,18.01.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,21.01.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,22.01.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,23.01.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,24.01.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,25.01.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,28.01.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,29.01.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,30.01.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,31.01.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,01.02.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,04.02.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,05.02.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,06.02.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,07.02.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,08.02.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,11.02.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,12.02.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,13.02.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,14.02.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,15.02.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,18.02.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,19.02.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,20.02.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,21.02.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,22.02.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,25.02.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,26.02.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,27.02.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,28.02.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,01.03.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,04.03.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,05.03.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,06.03.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,07.03.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,08.03.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,11.03.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,12.03.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,13.03.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,14.03.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,15.03.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,18.03.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,19.03.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,20.03.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,21.03.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,22.03.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,25.03.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,26.03.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,27.03.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,28.03.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,29.03.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,01.04.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,02.04.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,03.04.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,04.04.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,05.04.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,08.04.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,09.04.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,10.04.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,11.04.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,12.04.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,15.04.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,16.04.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,17.04.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,18.04.2019,"24.752,00",,,"24.752,00","0,00",,,
SNBT,19.04.2019,"24.752,00",,,"24.752,00","0,00",,,
