Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
SNBTO,09.06.2022,,,,,,,,
SNBTO,13.06.2022,,,,,,,,
SNBTO,14.06.2022,,,,,,,,
SNBTO,15.06.2022,,,,,,,,
SNBTO,16.06.2022,,,,,,,,
SNBTO,17.06.2022,,,,,,,,
SNBTO,20.06.2022,,,,,,,,
SNBTO,21.06.2022,,,,,,,,
SNBTO,22.06.2022,,,,,,,,
SNBTO,23.06.2022,,,,,,,,
SNBTO,24.06.2022,,,,,,,,
SNBTO,27.06.2022,,,,,,,,
SNBTO,28.06.2022,,,,,,,,
SNBTO,29.06.2022,,,,,,,,
SNBTO,30.06.2022,,,,,,,,
SNBTO,01.07.2022,,,,,,,,
SNBTO,04.07.2022,,,,,,,,
SNBTO,05.07.2022,,,,,,,,
SNBTO,06.07.2022,,,,,,,,
SNBTO,07.07.2022,,,,,,,,
SNBTO,08.07.2022,,,,,,,,
SNBTO,11.07.2022,,,,,,,,
SNBTO,12.07.2022,,,,,,,,
SNBTO,13.07.2022,,,,,,,,
SNBTO,14.07.2022,,,,,,,,
SNBTO,15.07.2022,,,,,,,,
SNBTO,18.07.2022,,,,,,,,
SNBTO,19.07.2022,,,,,,,,
SNBTO,20.07.2022,,,,,,,,
SNBTO,21.07.2022,,,,,,,,
SNBTO,22.07.2022,,,,,,,,
SNBTO,25.07.2022,,,,,,,,
SNBTO,26.07.2022,,,,,,,,
SNBTO,27.07.2022,,,,,,,,
SNBTO,28.07.2022,,,,,,,,
SNBTO,29.07.2022,,,,,,,,
SNBTO,01.08.2022,,,,,,,,
SNBTO,03.08.2022,,,,,,,,
SNBTO,04.08.2022,,,,,,,,
SNBTO,05.08.2022,,,,,,,,
SNBTO,08.08.2022,,,,,,,,
SNBTO,09.08.2022,,,,,,,,
SNBTO,10.08.2022,,,,,,,,
SNBTO,11.08.2022,,,,,,,,
SNBTO,12.08.2022,,,,,,,,
SNBTO,15.08.2022,,,,,,,,
SNBTO,16.08.2022,,,,,,,,
SNBTO,17.08.2022,,,,,,,,
SNBTO,18.08.2022,,,,,,,,
SNBTO,19.08.2022,,,,,,,,
SNBTO,22.08.2022,,,,,,,,
SNBTO,23.08.2022,,,,,,,,
SNBTO,24.08.2022,,,,,,,,
SNBTO,25.08.2022,,,,,,,,
SNBTO,26.08.2022,,,,,,,,
SNBTO,29.08.2022,,,,,,,,
SNBTO,30.08.2022,,,,,,,,
SNBTO,31.08.2022,,,,,,,,
SNBTO,01.09.2022,,,,,,,,
SNBTO,02.09.2022,,,,,,,,
SNBTO,05.09.2022,,,,,,,,
SNBTO,06.09.2022,,,,,,,,
SNBTO,07.09.2022,,,,,,,,
SNBTO,09.09.2022,,,,,,,,
SNBTO,12.09.2022,,,,,,,,
SNBTO,13.09.2022,,,,,,,,
SNBTO,14.09.2022,,,,,,,,
SNBTO,15.09.2022,,,,,,,,
SNBTO,16.09.2022,,,,,,,,
SNBTO,19.09.2022,,,,,,,,
SNBTO,20.09.2022,,,,,,,,
SNBTO,21.09.2022,,,,,,,,
SNBTO,22.09.2022,,,,,,,,
SNBTO,23.09.2022,,,,,,,,
SNBTO,26.09.2022,,,,,,,,
SNBTO,27.09.2022,,,,,,,,
SNBTO,28.09.2022,,,,,,,,
SNBTO,29.09.2022,,,,,,,,
SNBTO,30.09.2022,,,,,,,,
SNBTO,03.10.2022,,,,,,,,
SNBTO,04.10.2022,,,,,,,,
SNBTO,05.10.2022,,,,,,,,
SNBTO,06.10.2022,,,,,,,,
SNBTO,07.10.2022,,,,,,,,
SNBTO,10.10.2022,,,,,,,,
SNBTO,12.10.2022,,,,,,,,
SNBTO,13.10.2022,,,,,,,,
SNBTO,14.10.2022,,,,,,,,
SNBTO,17.10.2022,,,,,,,,
SNBTO,18.10.2022,,,,,,,,
SNBTO,19.10.2022,,,,,,,,
SNBTO,20.10.2022,,,,,,,,
SNBTO,21.10.2022,,,,,,,,
SNBTO,25.10.2022,,,,,,,,
SNBTO,26.10.2022,,,,,,,,
SNBTO,27.10.2022,,,,,,,,
SNBTO,28.10.2022,,,,,,,,
SNBTO,31.10.2022,,,,,,,,
SNBTO,01.11.2022,,,,,,,,
SNBTO,02.11.2022,,,,,,,,
SNBTO,03.11.2022,,,,,,,,
SNBTO,04.11.2022,,,,,,,,
SNBTO,07.11.2022,,,,,,,,
SNBTO,08.11.2022,,,,,,,,
SNBTO,09.11.2022,,,,,,,,
SNBTO,10.11.2022,,,,,,,,
SNBTO,11.11.2022,,,,,,,,
SNBTO,14.11.2022,,,,,,,,
SNBTO,15.11.2022,,,,,,,,
SNBTO,16.11.2022,,,,,,,,
SNBTO,17.11.2022,,,,,,,,
SNBTO,18.11.2022,,,,,,,,
SNBTO,21.11.2022,,,,,,,,
SNBTO,22.11.2022,,,,,,,,
SNBTO,23.11.2022,,,,,,,,
SNBTO,24.11.2022,,,,,,,,
SNBTO,25.11.2022,,,,,,,,
SNBTO,28.11.2022,,,,,,,,
SNBTO,29.11.2022,,,,,,,,
SNBTO,30.11.2022,,,,,,,,
SNBTO,01.12.2022,,,,,,,,
SNBTO,02.12.2022,,,,,,,,
SNBTO,05.12.2022,,,,,,,,
SNBTO,06.12.2022,,,,,,,,
SNBTO,07.12.2022,,,,,,,,
SNBTO,09.12.2022,,,,,,,,
SNBTO,12.12.2022,"100,00","100,00","100,00","100,00",,500.0,5.000.000,5.000.000
SNBTO,13.12.2022,"100,00",,,"100,00","0,00",,,
SNBTO,14.12.2022,"100,00",,,"100,00","0,00",,,
SNBTO,15.12.2022,"100,00",,,"100,00","0,00",,,
SNBTO,16.12.2022,"100,00",,,"100,00","0,00",,,
SNBTO,19.12.2022,"100,00",,,"100,00","0,00",,,
SNBTO,20.12.2022,"100,00",,,"100,00","0,00",,,
SNBTO,21.12.2022,"100,00",,,"100,00","0,00",,,
SNBTO,22.12.2022,"100,00",,,"100,00","0,00",,,
SNBTO,23.12.2022,"100,00",,,"100,00","0,00",,,
SNBTO,26.12.2022,"100,00",,,"100,00","0,00",,,
SNBTO,27.12.2022,"100,00",,,"100,00","0,00",,,
SNBTO,28.12.2022,"100,00",,,"100,00","0,00",,,
SNBTO,29.12.2022,"100,00",,,"100,00","0,00",,,
SNBTO,03.01.2023,"100,00",,,"100,00","0,00",,,
SNBTO,04.01.2023,"100,00",,,"100,00","0,00",,,
SNBTO,05.01.2023,"100,00",,,"100,00","0,00",,,
SNBTO,09.01.2023,"100,00",,,"100,00","0,00",,,
SNBTO,10.01.2023,"100,00",,,"100,00","0,00",,,
SNBTO,11.01.2023,"100,00",,,"100,00","0,00",,,
SNBTO,12.01.2023,"100,00",,,"100,00","0,00",,,
SNBTO,13.01.2023,"100,00",,,"100,00","0,00",,,
SNBTO,16.01.2023,"100,00",,,"100,00","0,00",,,
SNBTO,17.01.2023,"100,00",,,"100,00","0,00",,,
SNBTO,18.01.2023,"100,00",,,"100,00","0,00",,,
SNBTO,20.01.2023,"100,00",,,"100,00","0,00",,,
SNBTO,23.01.2023,"100,00",,,"100,00","0,00",,,
SNBTO,24.01.2023,"100,00",,,"100,00","0,00",,,
SNBTO,25.01.2023,"100,00",,,"100,00","0,00",,,
SNBTO,26.01.2023,"100,00",,,"100,00","0,00",,,
SNBTO,27.01.2023,"100,00",,,"100,00","0,00",,,
SNBTO,30.01.2023,"100,00",,,"100,00","0,00",,,
SNBTO,31.01.2023,"100,00",,,"100,00","0,00",,,
SNBTO,01.02.2023,"100,00",,,"100,00","0,00",,,
SNBTO,02.02.2023,"100,00",,,"100,00","0,00",,,
SNBTO,03.02.2023,"100,00",,,"100,00","0,00",,,
SNBTO,06.02.2023,"100,00",,,"100,00","0,00",,,
SNBTO,07.02.2023,"100,00",,,"100,00","0,00",,,
SNBTO,08.02.2023,"100,00",,,"100,00","0,00",,,
SNBTO,09.02.2023,"100,00",,,"100,00","0,00",,,
SNBTO,10.02.2023,"100,00",,,"100,00","0,00",,,
SNBTO,13.02.2023,"100,00",,,"100,00","0,00",,,
SNBTO,14.02.2023,"100,00",,,"100,00","0,00",,,
SNBTO,15.02.2023,"100,00","100,00","100,00","100,00","0,00",62.0,620.000,620.000
SNBTO,16.02.2023,"100,00",,,"100,00","0,00",,,
SNBTO,17.02.2023,"100,00",,,"100,00","0,00",,,
SNBTO,20.02.2023,"100,00",,,"100,00","0,00",,,
