Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
SOLN,13.11.2014,"308,00",,,"308,00","0,00",,,
SOLN,14.11.2014,"308,00",,,"308,00","0,00",,,
SOLN,17.11.2014,"308,00",,,"308,00","0,00",,,
SOLN,18.11.2014,"308,00",,,"308,00","0,00",,,
SOLN,19.11.2014,"308,00",,,"308,00","0,00",,,
SOLN,20.11.2014,"308,00",,,"308,00","0,00",,,
SOLN,21.11.2014,"308,00",,,"308,00","0,00",,,
SOLN,24.11.2014,"308,00","308,00","308,00","308,00","0,00",818.0,251.944,251.944
SOLN,25.11.2014,"308,00",,,"308,00","0,00",,,
SOLN,26.11.2014,"308,00",,,"308,00","0,00",,,
SOLN,27.11.2014,"308,00",,,"308,00","0,00",,,
SOLN,28.11.2014,"308,00",,,"308,00","0,00",,,
SOLN,01.12.2014,"308,00",,,"308,00","0,00",,,
SOLN,02.12.2014,"308,00","308,00","308,00","308,00","0,00",493.0,151.844,151.844
SOLN,04.12.2014,"308,00",,,"308,00","0,00",,,
SOLN,05.12.2014,"308,00",,,"308,00","0,00",,,
SOLN,09.12.2014,"308,00",,,"308,00","0,00",,,
SOLN,10.12.2014,"308,00",,,"308,00","0,00",,,
SOLN,11.12.2014,"308,00",,,"308,00","0,00",,,
SOLN,12.12.2014,"308,00","308,00","308,00","308,00","0,00",719.0,221.452,221.452
SOLN,15.12.2014,"308,00",,,"308,00","0,00",,,
SOLN,16.12.2014,"308,00",,,"308,00","0,00",,,
SOLN,17.12.2014,"308,00","308,00","308,00","308,00","0,00",706.0,217.448,217.448
SOLN,18.12.2014,"308,00",,,"308,00","0,00",,,
SOLN,19.12.2014,"308,00",,,"308,00","0,00",,,
SOLN,22.12.2014,"308,00",,,"308,00","0,00",,,
SOLN,23.12.2014,"308,00",,,"308,00","0,00",,,
SOLN,24.12.2014,"308,00",,,"308,00","0,00",,,
SOLN,25.12.2014,"308,00",,,"308,00","0,00",,,
SOLN,26.12.2014,"308,00",,,"308,00","0,00",,,
SOLN,29.12.2014,"308,00",,,"308,00","0,00",,,
SOLN,30.12.2014,"308,00",,,"308,00","0,00",,,
SOLN,02.01.2015,"308,00",,,"308,00","0,00",,,
SOLN,05.01.2015,"308,00",,,"308,00","0,00",,,
SOLN,08.01.2015,"308,00",,,"308,00","0,00",,,
SOLN,09.01.2015,"308,00",,,"308,00","0,00",,,
SOLN,12.01.2015,"308,00",,,"308,00","0,00",,,
SOLN,13.01.2015,"308,00",,,"308,00","0,00",,,
SOLN,14.01.2015,"308,00",,,"308,00","0,00",,,
