Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
SPAZP,13.11.2014,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,14.11.2014,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,17.11.2014,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,18.11.2014,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,19.11.2014,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,20.11.2014,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,21.11.2014,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,24.11.2014,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,25.11.2014,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,26.11.2014,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,27.11.2014,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,28.11.2014,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,01.12.2014,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,02.12.2014,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,04.12.2014,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,05.12.2014,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,09.12.2014,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,10.12.2014,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,11.12.2014,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,12.12.2014,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,15.12.2014,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,16.12.2014,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,17.12.2014,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,18.12.2014,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,19.12.2014,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,22.12.2014,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,23.12.2014,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,24.12.2014,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,25.12.2014,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,26.12.2014,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,29.12.2014,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,30.12.2014,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,02.01.2015,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,05.01.2015,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,08.01.2015,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,09.01.2015,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,12.01.2015,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,13.01.2015,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,14.01.2015,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,15.01.2015,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,16.01.2015,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,20.01.2015,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,21.01.2015,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,22.01.2015,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,23.01.2015,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,26.01.2015,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,27.01.2015,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,28.01.2015,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,29.01.2015,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,30.01.2015,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,02.02.2015,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,03.02.2015,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,04.02.2015,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,05.02.2015,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,06.02.2015,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,09.02.2015,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,10.02.2015,"1.550,00",,,"1.550,00","0,00",,,
SPAZP,11.02.2015,"2.001,00","2.001,00","2.001,00","2.001,00","29,10",20.0,40.02,40.02
SPAZP,12.02.2015,"2.001,00",,,"2.001,00","0,00",,,
SPAZP,13.02.2015,"2.001,00",,,"2.001,00","0,00",,,
SPAZP,16.02.2015,"2.001,00",,,"2.001,00","0,00",,,
SPAZP,17.02.2015,"2.001,00",,,"2.001,00","0,00",,,
SPAZP,18.02.2015,"2.001,00",,,"2.001,00","0,00",,,
SPAZP,19.02.2015,"2.001,00",,,"2.001,00","0,00",,,
SPAZP,20.02.2015,"2.001,00",,,"2.001,00","0,00",,,
SPAZP,23.02.2015,"2.001,00",,,"2.001,00","0,00",,,
SPAZP,24.02.2015,"2.001,00",,,"2.001,00","0,00",,,
SPAZP,25.02.2015,"2.001,00",,,"2.001,00","0,00",,,
SPAZP,26.02.2015,"2.001,00",,,"2.001,00","0,00",,,
SPAZP,27.02.2015,"2.001,00",,,"2.001,00","0,00",,,
SPAZP,02.03.2015,"2.001,00",,,"2.001,00","0,00",,,
SPAZP,03.03.2015,"2.001,00",,,"2.001,00","0,00",,,
SPAZP,04.03.2015,"2.001,00",,,"2.001,00","0,00",,,
SPAZP,05.03.2015,"2.001,00",,,"2.001,00","0,00",,,
