Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
STB,13.11.2014,"415,00","415,00","410,00","414,44","-0,15",901.0,373.410,373.410
STB,14.11.2014,"415,00",,,"414,44","0,00",,,
STB,17.11.2014,"375,00","400,00","375,00","383,21","-7,54",329.0,126.075,126.075
STB,18.11.2014,"399,00","399,00","388,00","389,65","1,68",40.0,15.586,15.586
STB,19.11.2014,"378,00","378,00","378,00","378,00","-2,99",200.0,75.600,75.600
STB,20.11.2014,"378,00",,,"378,00","0,00",,,
STB,21.11.2014,"378,00",,,"378,00","0,00",,,
STB,24.11.2014,"341,00","341,00","341,00","341,00","-9,79",1.791,610.731,610.731
STB,25.11.2014,"340,00","340,00","335,00","337,53","-1,02",790.0,266.650,266.650
STB,26.11.2014,"340,00",,,"337,53","0,00",,,
STB,27.11.2014,"340,00",,,"337,53","0,00",,,
STB,28.11.2014,"369,00","371,00","369,00","370,18","9,67",170.0,62.930,62.930
STB,01.12.2014,"360,00","360,00","360,00","360,00","-2,75",312.0,112.320,112.320
STB,02.12.2014,"350,00","350,00","350,00","350,00","-2,78",732.0,256.200,256.200
STB,04.12.2014,"345,00","345,00","345,00","345,00","-1,43",1.555,536.475,536.475
STB,05.12.2014,"350,00","350,00","345,00","347,25","0,65",1.888,655.600,655.600
STB,09.12.2014,"359,00","359,00","359,00","359,00","3,38",30.0,10.770,10.770
STB,10.12.2014,"350,00","350,00","350,00","350,00","-2,51",282.0,98.700,98.700
STB,11.12.2014,"360,00","360,00","360,00","360,00","2,86",170.0,61.200,61.200
STB,12.12.2014,"375,00","375,00","360,00","361,27","0,35",415.0,149.925,149.925
STB,15.12.2014,"372,00","372,00","351,00","351,96","-2,58",524.0,184.428,184.428
STB,16.12.2014,"360,00","360,00","360,00","360,00","2,28",200.0,72.000,72.000
STB,17.12.2014,"370,00","370,00","370,00","370,00","2,78",50.0,18.500,18.500
STB,18.12.2014,"361,00","370,00","361,00","366,38","-0,98",271.0,99.289,99.289
STB,19.12.2014,"361,00",,,"366,38","0,00",,,
STB,22.12.2014,"372,00","372,00","370,00","370,24","1,05",286.0,105.888,105.888
STB,23.12.2014,"370,00","370,00","370,00","370,00","-0,06",866.0,320.420,320.420
STB,24.12.2014,"370,00","370,00","370,00","370,00","0,00",49.0,18.130,18.130
STB,25.12.2014,"370,00","370,00","370,00","370,00","0,00",178.0,65.860,65.860
STB,26.12.2014,"369,00","369,00","369,00","369,00","-0,27",222.0,81.918,81.918
STB,29.12.2014,"375,00","375,00","370,00","373,70","1,27",1.177,439.845,439.845
STB,30.12.2014,"394,00","394,00","379,00","380,83","1,91",530.0,201.840,201.840
STB,02.01.2015,"394,00",,,"380,83","0,00",,,
STB,05.01.2015,"380,00","380,00","380,00","380,00","-0,22",200.0,76.000,76.000
STB,08.01.2015,"380,00","380,00","380,00","380,00","0,00",257.0,97.660,97.660
STB,09.01.2015,"391,00","391,00","391,00","391,00","2,89",160.0,62.560,62.560
STB,12.01.2015,"380,00","381,00","380,00","380,41","-2,71",242.0,92.060,92.060
STB,13.01.2015,"380,00","382,00","380,00","380,67","0,07",225.0,85.650,85.650
STB,14.01.2015,"380,00","380,00","380,00","380,00","-0,18",250.0,95.000,95.000
STB,15.01.2015,"380,00",,,"380,00","0,00",,,
STB,16.01.2015,"380,00",,,"380,00","0,00",,,
STB,20.01.2015,"380,00",,,"380,00","0,00",,,
STB,21.01.2015,"380,00",,,"380,00","0,00",,,
STB,22.01.2015,"380,00","380,00","380,00","380,00","0,00",600.0,228.000,228.000
STB,23.01.2015,"379,00","379,00","379,00","379,00","-0,26",83.0,31.457,31.457
STB,26.01.2015,"380,00","380,00","380,00","380,00","0,26",52.0,19.760,19.760
STB,27.01.2015,"375,00","375,00","375,00","375,00","-1,32",530.0,198.750,198.750
STB,28.01.2015,"375,00","375,00","375,00","375,00","0,00",637.0,238.875,238.875
STB,29.01.2015,"375,00","375,00","375,00","375,00","0,00",143.0,53.625,53.625
STB,30.01.2015,"375,00",,,"375,00","0,00",,,
STB,02.02.2015,"380,00","380,00","380,00","380,00","1,33",30.0,11.400,11.400
STB,03.02.2015,"380,00",,,"380,00","0,00",,,
STB,04.02.2015,"378,00","378,00","378,00","378,00","-0,53",650.0,245.700,245.700
STB,05.02.2015,"378,00",,,"378,00","0,00",,,
STB,06.02.2015,"370,00","370,00","370,00","370,00","-2,12",70.0,25.900,25.900
STB,09.02.2015,"378,00","378,00","378,00","378,00","2,16",400.0,151.200,151.200
STB,10.02.2015,"370,00","370,00","367,00","369,26","-2,31",3.96,1.462.260,1.462.260
STB,11.02.2015,"378,00","378,00","371,00","373,33","1,10",150.0,56.000,56.000
STB,12.02.2015,"360,00","378,00","360,00","360,95","-3,32",2.85,1.028.700,1.028.700
STB,13.02.2015,"371,00","371,00","371,00","371,00","2,78",50.0,18.550,18.550
STB,16.02.2015,"378,00","378,00","376,00","376,78","1,56",493.0,185.754,185.754
STB,17.02.2015,"375,00","375,00","375,00","375,00","-0,47",100.0,37.500,37.500
STB,18.02.2015,"375,00",,,"375,00","0,00",,,
STB,19.02.2015,"366,00","366,00","366,00","366,00","-2,40",153.0,55.998,55.998
STB,20.02.2015,"375,00","375,00","375,00","375,00","2,46",45.0,16.875,16.875
STB,23.02.2015,"375,00",,,"375,00","0,00",,,
STB,24.02.2015,"375,00",,,"375,00","0,00",,,
STB,25.02.2015,"373,00","373,00","373,00","373,00","-0,53",50.0,18.650,18.650
STB,26.02.2015,"373,00",,,"373,00","0,00",,,
STB,27.02.2015,"373,00",,,"373,00","0,00",,,
STB,02.03.2015,"373,00",,,"373,00","0,00",,,
STB,03.03.2015,"373,00",,,"373,00","0,00",,,
STB,04.03.2015,"351,00","351,00","351,00","351,00","-5,90",80.0,28.080,28.080
STB,05.03.2015,"364,00","364,00","364,00","364,00","3,70",20.0,7.280,7.280
STB,06.03.2015,"364,00",,,"364,00","0,00",,,
STB,09.03.2015,"337,00","347,00","337,00","340,97","-6,33",520.0,177.305,177.305
STB,10.03.2015,"337,00",,,"340,97","0,00",,,
STB,11.03.2015,"337,00",,,"340,97","0,00",,,
STB,12.03.2015,"337,00",,,"340,97","0,00",,,
STB,13.03.2015,"337,00",,,"340,97","0,00",,,
STB,16.03.2015,"337,00",,,"340,97","0,00",,,
STB,17.03.2015,"337,00",,,"340,97","0,00",,,
STB,18.03.2015,"337,00",,,"340,97","0,00",,,
STB,19.03.2015,"337,00",,,"340,97","0,00",,,
STB,20.03.2015,"337,00",,,"340,97","0,00",,,
STB,23.03.2015,"340,00","340,00","340,00","340,00","-0,28",200.0,68.000,68.000
STB,24.03.2015,"340,00",,,"340,00","0,00",,,
STB,25.03.2015,"340,00",,,"340,00","0,00",,,
STB,26.03.2015,"340,00",,,"340,00","0,00",,,
STB,27.03.2015,"340,00",,,"340,00","0,00",,,
STB,30.03.2015,"340,00","340,00","330,00","338,39","-0,47",900.0,304.550,304.550
STB,31.03.2015,"320,00","321,00","320,00","320,05","-5,42",950.0,304.050,304.050
STB,01.04.2015,"320,00","320,00","320,00","320,00","-0,02",500.0,160.000,160.000
STB,02.04.2015,"320,00",,,"320,00","0,00",,,
STB,03.04.2015,"320,00",,,"320,00","0,00",,,
STB,06.04.2015,"290,00","290,00","290,00","290,00","-9,38",730.0,211.700,211.700
STB,07.04.2015,"310,00","310,00","310,00","310,00","6,90",12.0,3.720,3.720
STB,08.04.2015,"301,00","301,00","301,00","301,00","-2,90",447.0,134.547,134.547
STB,09.04.2015,"310,00","312,00","309,00","310,06","3,01",1.728,535.780,535.780
STB,14.04.2015,"310,00",,,"310,06","0,00",,,
STB,15.04.2015,"315,00","315,00","315,00","315,00","1,59",100.0,31.500,31.500
STB,16.04.2015,"346,00","346,00","340,00","345,20","9,59",3.005,1.037.330,1.037.330
STB,17.04.2015,"350,00","369,00","350,00","350,03","1,40",3.975,1.391.364,1.391.364
STB,20.04.2015,"350,00",,,"350,03","0,00",,,
STB,21.04.2015,"340,00","340,00","340,00","340,00","-2,87",487.0,165.580,165.580
STB,22.04.2015,"340,00",,,"340,00","0,00",,,
STB,23.04.2015,"330,00","340,00","330,00","338,60","-0,41",286.0,96.840,96.840
STB,24.04.2015,"330,00",,,"338,60","0,00",,,
STB,27.04.2015,"330,00",,,"338,60","0,00",,,
STB,28.04.2015,"330,00",,,"338,60","0,00",,,
STB,29.04.2015,"330,00","335,00","330,00","330,18","-2,49",5.713,1.886.290,1.886.290
STB,30.04.2015,"330,00",,,"330,18","0,00",,,
STB,04.05.2015,"330,00","332,00","330,00","330,50","0,10",200.0,66.100,66.100
STB,05.05.2015,"330,00","330,00","330,00","330,00","-0,15",2.0,660.000,660.000
STB,06.05.2015,"320,00","320,00","320,00","320,00","-3,03",2.1,672.000,672.000
STB,07.05.2015,"311,00","311,00","311,00","311,00","-2,81",600.0,186.600,186.600
STB,08.05.2015,"300,00","300,00","300,00","300,00","-3,54",5.27,1.581.000,1.581.000
STB,11.05.2015,"300,00",,,"300,00","0,00",,,
STB,12.05.2015,"300,00",,,"300,00","0,00",,,
STB,13.05.2015,"310,00","310,00","310,00","310,00","3,33",1.3,403.000,403.000
STB,14.05.2015,"310,00",,,"310,00","0,00",,,
STB,15.05.2015,"330,00","330,00","319,00","326,59","5,35",870.0,284.130,284.130
STB,18.05.2015,"330,00","330,00","330,00","330,00","1,04",909.0,299.970,299.970
STB,19.05.2015,"330,00","330,00","330,00","330,00","0,00",450.0,148.500,148.500
STB,20.05.2015,"330,00",,,"330,00","0,00",,,
STB,21.05.2015,"330,00",,,"330,00","0,00",,,
STB,22.05.2015,"335,00","335,00","334,00","334,33","1,31",300.0,100.300,100.300
STB,26.05.2015,"330,00","330,00","330,00","330,00","-1,30",500.0,165.000,165.000
STB,27.05.2015,"330,00",,,"330,00","0,00",,,
STB,28.05.2015,"323,00","323,00","321,00","321,42","-2,60",600.0,192.850,192.850
STB,01.06.2015,"323,00","323,00","323,00","323,00","0,49",200.0,64.600,64.600
STB,02.06.2015,"323,00",,,"323,00","0,00",,,
STB,03.06.2015,"323,00","323,00","323,00","323,00","0,00",70.0,22.610,22.610
STB,04.06.2015,"323,00",,,"323,00","0,00",,,
STB,05.06.2015,"330,00","330,00","330,00","330,00","2,17",680.0,224.400,224.400
STB,08.06.2015,"331,00","331,00","331,00","331,00","0,30",65.0,21.515,21.515
STB,09.06.2015,"331,00","331,00","331,00","331,00","0,00",200.0,66.200,66.200
STB,10.06.2015,"331,00",,,"331,00","0,00",,,
STB,11.06.2015,"330,00","330,00","330,00","330,00","-0,30",596.0,196.680,196.680
STB,12.06.2015,"330,00","330,00","330,00","330,00","0,00",104.0,34.320,34.320
STB,15.06.2015,"330,00",,,"330,00","0,00",,,
STB,16.06.2015,"330,00",,,"330,00","0,00",,,
STB,17.06.2015,"321,00","321,00","321,00","321,00","-2,73",100.0,32.100,32.100
STB,18.06.2015,"321,00",,,"321,00","0,00",,,
STB,19.06.2015,"321,00",,,"321,00","0,00",,,
STB,22.06.2015,"330,00","330,00","329,00","329,40","2,62",168.0,55.340,55.340
STB,23.06.2015,"330,00","330,00","330,00","330,00","0,18",332.0,109.560,109.560
STB,24.06.2015,"330,00",,,"330,00","0,00",,,
STB,25.06.2015,"331,00","331,00","331,00","331,00","0,30",100.0,33.100,33.100
STB,26.06.2015,"330,00","330,00","330,00","330,00","-0,30",199.0,65.670,65.670
STB,29.06.2015,"330,00","330,00","330,00","330,00","0,00",440.0,145.200,145.200
STB,30.06.2015,"330,00",,,"330,00","0,00",,,
STB,01.07.2015,"330,00","330,00","330,00","330,00","0,00",700.0,231.000,231.000
STB,02.07.2015,"330,00","330,00","330,00","330,00","0,00",260.0,85.800,85.800
STB,03.07.2015,"338,00","338,00","338,00","338,00","2,42",1.0,338,338
STB,06.07.2015,"338,00",,,"338,00","0,00",,,
STB,07.07.2015,"331,00","331,00","331,00","331,00","-2,07",130.0,43.030,43.030
STB,08.07.2015,"339,00","339,00","331,00","335,83","1,46",650.0,218.291,218.291
STB,09.07.2015,"339,00",,,"335,83","0,00",,,
STB,10.07.2015,"330,00","330,00","330,00","330,00","-1,74",40.0,13.200,13.200
STB,13.07.2015,"330,00",,,"330,00","0,00",,,
STB,14.07.2015,"330,00",,,"330,00","0,00",,,
STB,15.07.2015,"330,00",,,"330,00","0,00",,,
STB,16.07.2015,"330,00",,,"330,00","0,00",,,
STB,20.07.2015,"330,00",,,"330,00","0,00",,,
STB,21.07.2015,"330,00",,,"330,00","0,00",,,
STB,22.07.2015,"330,00",,,"330,00","0,00",,,
STB,23.07.2015,"330,00",,,"330,00","0,00",,,
STB,24.07.2015,"322,00","322,00","322,00","322,00","-2,42",10.0,3.220,3.220
STB,27.07.2015,"322,00",,,"322,00","0,00",,,
