Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
STBP,13.11.2014,"440,00","440,00","440,00","440,00","-0,23",423.0,186.12,186.12
STBP,14.11.2014,"440,00",,,"440,00","0,00",,,
STBP,17.11.2014,"440,00",,,"440,00","0,00",,,
STBP,18.11.2014,"440,00",,,"440,00","0,00",,,
STBP,19.11.2014,"390,00","390,00","390,00","390,00","-11,36",250.0,97.5,97.5
STBP,20.11.2014,"390,00",,,"390,00","0,00",,,
STBP,21.11.2014,"390,00",,,"390,00","0,00",,,
STBP,24.11.2014,"390,00",,,"390,00","0,00",,,
STBP,25.11.2014,"379,00","379,00","379,00","379,00","-2,82",91.0,34.489,34.489
STBP,26.11.2014,"379,00",,,"379,00","0,00",,,
STBP,27.11.2014,"379,00",,,"379,00","0,00",,,
STBP,28.11.2014,"379,00",,,"379,00","0,00",,,
STBP,01.12.2014,"390,00","390,00","390,00","390,00","2,90",197.0,76.83,76.83
STBP,02.12.2014,"390,00",,,"390,00","0,00",,,
STBP,04.12.2014,"390,00",,,"390,00","0,00",,,
STBP,05.12.2014,"390,00",,,"390,00","0,00",,,
STBP,09.12.2014,"390,00",,,"390,00","0,00",,,
STBP,10.12.2014,"390,00",,,"390,00","0,00",,,
STBP,11.12.2014,"379,00","379,00","379,00","379,00","-2,82",144.0,54.576,54.576
STBP,12.12.2014,"379,00",,,"379,00","0,00",,,
STBP,15.12.2014,"379,00",,,"379,00","0,00",,,
STBP,16.12.2014,"379,00","379,00","379,00","379,00","0,00",100.0,37.9,37.9
STBP,17.12.2014,"379,00",,,"379,00","0,00",,,
STBP,18.12.2014,"380,00","380,00","380,00","380,00","0,26",366.0,139.08,139.08
STBP,19.12.2014,"380,00",,,"380,00","0,00",,,
STBP,22.12.2014,"380,00","380,00","380,00","380,00","0,00",120.0,45.6,45.6
STBP,23.12.2014,"380,00","380,00","380,00","380,00","0,00",74.0,28.12,28.12
STBP,24.12.2014,"380,00",,,"380,00","0,00",,,
STBP,25.12.2014,"380,00",,,"380,00","0,00",,,
STBP,26.12.2014,"380,00",,,"380,00","0,00",,,
STBP,29.12.2014,"380,00",,,"380,00","0,00",,,
STBP,30.12.2014,"380,00",,,"380,00","0,00",,,
