Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
STIL,13.11.2014,"85,00",,,"84,49","0,00",,,
STIL,14.11.2014,"86,00","86,00","86,00","86,00","1,79",1.75,150.5,150.5
STIL,17.11.2014,"84,00","84,00","84,00","84,00","-2,33",15.0,1.26,1.26
STIL,18.11.2014,"84,00",,,"84,00","0,00",,,
STIL,19.11.2014,"82,00","82,00","82,00","82,00","-2,38",1.55,127.1,127.1
STIL,20.11.2014,"81,00","81,00","81,00","81,00","-1,22",706.0,57.186,57.186
STIL,21.11.2014,"83,00","83,00","83,00","83,00","2,47",100.0,8.3,8.3
STIL,24.11.2014,"81,00","81,00","81,00","81,00","-2,41",600.0,48.6,48.6
STIL,25.11.2014,"79,00","80,00","79,00","79,91","-1,35",3.533,282.307,282.307
STIL,26.11.2014,"79,00",,,"79,91","0,00",,,
STIL,27.11.2014,"78,00","78,00","78,00","78,00","-2,39",500.0,39.0,39.0
STIL,28.11.2014,"78,00",,,"78,00","0,00",,,
STIL,01.12.2014,"78,00",,,"78,00","0,00",,,
STIL,02.12.2014,"80,00","80,00","78,00","79,99","2,55",402.0,32.156,32.156
STIL,04.12.2014,"78,00","78,00","78,00","78,00","-2,49",300.0,23.4,23.4
STIL,05.12.2014,"78,00","78,00","78,00","78,00","0,00",1.752,136.656,136.656
STIL,09.12.2014,"74,00","74,00","74,00","74,00","-5,13",357.0,26.418,26.418
STIL,10.12.2014,"74,00",,,"74,00","0,00",,,
STIL,11.12.2014,"80,00","80,00","80,00","80,00","8,11",500.0,40.0,40.0
STIL,12.12.2014,"80,00","80,00","80,00","80,00","0,00",200.0,16.0,16.0
STIL,15.12.2014,"80,00",,,"80,00","0,00",,,
STIL,16.12.2014,"78,00","78,00","78,00","78,00","-2,50",502.0,39.156,39.156
STIL,17.12.2014,"78,00","78,00","78,00","78,00","0,00",159.0,12.402,12.402
STIL,18.12.2014,"78,00","78,00","78,00","78,00","0,00",1.317,102.726,102.726
STIL,19.12.2014,"78,00","80,00","78,00","79,16","1,49",862.0,68.24,68.24
STIL,22.12.2014,"78,00","78,00","78,00","78,00","-1,47",486.0,37.908,37.908
STIL,23.12.2014,"78,00","78,00","78,00","78,00","0,00",1.0,78.0,78.0
STIL,24.12.2014,"78,00","79,00","78,00","78,84","1,08",595.0,46.91,46.91
STIL,25.12.2014,"78,00","78,00","78,00","78,00","-1,07",530.0,41.34,41.34
STIL,26.12.2014,"80,00","80,00","80,00","80,00","2,56",340.0,27.2,27.2
STIL,29.12.2014,"82,00","82,00","82,00","82,00","2,50",100.0,8.2,8.2
STIL,30.12.2014,"82,00",,,"82,00","0,00",,,
STIL,02.01.2015,"82,00",,,"82,00","0,00",,,
STIL,05.01.2015,"82,00","82,00","82,00","82,00","0,00",540.0,44.28,44.28
STIL,08.01.2015,"80,00","80,00","80,00","80,00","-2,44",300.0,24.0,24.0
STIL,09.01.2015,"82,00","82,00","82,00","82,00","2,50",500.0,41.0,41.0
STIL,12.01.2015,"83,00","83,00","82,00","82,93","1,13",700.0,58.05,58.05
STIL,13.01.2015,"83,00",,,"82,93","0,00",,,
STIL,14.01.2015,"83,00",,,"82,93","0,00",,,
STIL,15.01.2015,"85,00","85,00","85,00","85,00","2,50",150.0,12.75,12.75
STIL,16.01.2015,"83,00","83,00","83,00","83,00","-2,35",874.0,72.542,72.542
STIL,20.01.2015,"83,00",,,"83,00","0,00",,,
STIL,21.01.2015,"81,00","81,00","81,00","81,00","-2,41",430.0,34.83,34.83
STIL,22.01.2015,"81,00",,,"81,00","0,00",,,
STIL,23.01.2015,"81,00",,,"81,00","0,00",,,
STIL,26.01.2015,"82,00","83,00","82,00","82,55","1,91",1.096,90.472,90.472
STIL,27.01.2015,"83,00","83,00","83,00","83,00","0,55",118.0,9.794,9.794
STIL,28.01.2015,"83,00",,,"83,00","0,00",,,
STIL,29.01.2015,"81,00","81,00","81,00","81,00","-2,41",200.0,16.2,16.2
STIL,30.01.2015,"82,00","82,00","82,00","82,00","1,23",290.0,23.78,23.78
STIL,02.02.2015,"82,00","84,00","82,00","83,46","1,78",1.292,107.833,107.833
STIL,03.02.2015,"81,00","81,00","81,00","81,00","-2,95",2.919,236.439,236.439
STIL,04.02.2015,"81,00",,,"81,00","0,00",,,
STIL,05.02.2015,"81,00",,,"81,00","0,00",,,
STIL,06.02.2015,"81,00",,,"81,00","0,00",,,
STIL,09.02.2015,"81,00",,,"81,00","0,00",,,
STIL,10.02.2015,"81,00",,,"81,00","0,00",,,
STIL,11.02.2015,"80,00","80,00","80,00","80,00","-1,23",300.0,24.0,24.0
STIL,12.02.2015,"80,00","80,00","80,00","80,00","0,00",1.995,159.6,159.6
STIL,13.02.2015,"79,00","79,00","79,00","79,00","-1,25",163.0,12.877,12.877
STIL,16.02.2015,"77,00","77,00","77,00","77,00","-2,53",2.585,199.045,199.045
STIL,17.02.2015,"75,00","75,00","75,00","75,00","-2,60",900.0,67.5,67.5
STIL,18.02.2015,"76,00","76,00","76,00","76,00","1,33",200.0,15.2,15.2
STIL,19.02.2015,"76,00",,,"76,00","0,00",,,
STIL,20.02.2015,"76,00",,,"76,00","0,00",,,
STIL,23.02.2015,"76,00","77,00","76,00","76,37","0,49",2.465,188.24,188.24
STIL,24.02.2015,"76,00","76,00","76,00","76,00","-0,48",120.0,9.12,9.12
STIL,25.02.2015,"76,00",,,"76,00","0,00",,,
STIL,26.02.2015,"78,00","78,00","78,00","78,00","2,63",180.0,14.04,14.04
STIL,27.02.2015,"78,00","78,00","78,00","78,00","0,00",302.0,23.556,23.556
STIL,02.03.2015,"76,00","76,00","76,00","76,00","-2,56",50.0,3.8,3.8
STIL,03.03.2015,"76,00","76,00","76,00","76,00","0,00",60.0,4.56,4.56
STIL,04.03.2015,"76,00","76,00","76,00","76,00","0,00",140.0,10.64,10.64
STIL,05.03.2015,"76,00",,,"76,00","0,00",,,
STIL,06.03.2015,"76,00",,,"76,00","0,00",,,
STIL,09.03.2015,"76,00",,,"76,00","0,00",,,
STIL,10.03.2015,"74,00","74,00","74,00","74,00","-2,63",558.0,41.292,41.292
STIL,11.03.2015,"74,00",,,"74,00","0,00",,,
STIL,12.03.2015,"74,00",,,"74,00","0,00",,,
STIL,13.03.2015,"74,00",,,"74,00","0,00",,,
STIL,16.03.2015,"74,00",,,"74,00","0,00",,,
STIL,17.03.2015,"74,00",,,"74,00","0,00",,,
STIL,18.03.2015,"74,00",,,"74,00","0,00",,,
STIL,19.03.2015,"74,00",,,"74,00","0,00",,,
STIL,20.03.2015,"74,00",,,"74,00","0,00",,,
STIL,23.03.2015,"74,00",,,"74,00","0,00",,,
STIL,24.03.2015,"72,00","72,00","72,00","72,00","-2,70",1.5,108.0,108.0
STIL,25.03.2015,"71,00","72,00","71,00","71,06","-1,31",745.0,52.94,52.94
STIL,26.03.2015,"74,00","74,00","74,00","74,00","4,14",310.0,22.94,22.94
STIL,27.03.2015,"74,00",,,"74,00","0,00",,,
STIL,30.03.2015,"74,00",,,"74,00","0,00",,,
STIL,31.03.2015,"74,00",,,"74,00","0,00",,,
STIL,01.04.2015,"72,00","72,00","72,00","72,00","-2,70",101.0,7.272,7.272
STIL,02.04.2015,"74,00","74,00","74,00","74,00","2,78",1.038,76.812,76.812
STIL,03.04.2015,"76,00","76,00","76,00","76,00","2,70",1.36,103.36,103.36
STIL,06.04.2015,"74,00","75,00","74,00","74,71","-1,70",346.0,25.85,25.85
STIL,07.04.2015,"76,00","76,00","76,00","76,00","1,73",1.069,81.244,81.244
STIL,08.04.2015,"74,00","74,00","74,00","74,00","-2,63",591.0,43.734,43.734
STIL,09.04.2015,"80,00","80,00","80,00","80,00","8,11",300.0,24.0,24.0
STIL,14.04.2015,"80,00",,,"80,00","0,00",,,
STIL,15.04.2015,"80,00","80,00","80,00","80,00","0,00",926.0,74.08,74.08
STIL,16.04.2015,"80,00","80,00","80,00","80,00","0,00",650.0,52.0,52.0
STIL,17.04.2015,"80,00",,,"80,00","0,00",,,
STIL,20.04.2015,"80,00","80,00","80,00","80,00","0,00",1.0,80.0,80.0
STIL,21.04.2015,"75,00","75,00","75,00","75,00","-6,25",100.0,7.5,7.5
STIL,22.04.2015,"75,00",,,"75,00","0,00",,,
STIL,23.04.2015,"80,00","80,00","80,00","80,00","6,67",330.0,26.4,26.4
STIL,24.04.2015,"80,00",,,"80,00","0,00",,,
STIL,27.04.2015,"80,00","80,00","80,00","80,00","0,00",500.0,40.0,40.0
STIL,28.04.2015,"80,00",,,"80,00","0,00",,,
STIL,29.04.2015,"80,00",,,"80,00","0,00",,,
STIL,30.04.2015,"80,00","80,00","80,00","80,00","0,00",935.0,74.8,74.8
STIL,04.05.2015,"80,00","80,00","80,00","80,00","0,00",341.0,27.28,27.28
STIL,05.05.2015,"80,00",,,"80,00","0,00",,,
STIL,06.05.2015,"80,00",,,"80,00","0,00",,,
STIL,07.05.2015,"80,00",,,"80,00","0,00",,,
STIL,08.05.2015,"80,00",,,"80,00","0,00",,,
STIL,11.05.2015,"77,00","77,00","77,00","77,00","-3,75",600.0,46.2,46.2
STIL,12.05.2015,"72,00","72,00","72,00","72,00","-6,49",1.7,122.4,122.4
STIL,13.05.2015,"70,00","70,00","70,00","70,00","-2,78",300.0,21.0,21.0
STIL,14.05.2015,"70,00",,,"70,00","0,00",,,
STIL,15.05.2015,"70,00",,,"70,00","0,00",,,
STIL,18.05.2015,"72,00","72,00","72,00","72,00","2,86",245.0,17.64,17.64
STIL,19.05.2015,"72,00",,,"72,00","0,00",,,
STIL,20.05.2015,"72,00",,,"72,00","0,00",,,
STIL,21.05.2015,"72,00",,,"72,00","0,00",,,
STIL,22.05.2015,"72,00",,,"72,00","0,00",,,
STIL,26.05.2015,"70,00","70,00","70,00","70,00","-2,78",600.0,42.0,42.0
STIL,27.05.2015,"70,00",,,"70,00","0,00",,,
STIL,28.05.2015,"70,00",,,"70,00","0,00",,,
STIL,01.06.2015,"70,00",,,"70,00","0,00",,,
STIL,02.06.2015,"70,00",,,"70,00","0,00",,,
STIL,03.06.2015,"70,00","70,00","70,00","70,00","0,00",1.801,126.07,126.07
STIL,04.06.2015,"70,00",,,"70,00","0,00",,,
STIL,05.06.2015,"70,00",,,"70,00","0,00",,,
STIL,08.06.2015,"70,00",,,"70,00","0,00",,,
STIL,09.06.2015,"70,00","70,00","70,00","70,00","0,00",2.5,175.0,175.0
STIL,10.06.2015,"72,00","72,00","72,00","72,00","2,86",200.0,14.4,14.4
STIL,11.06.2015,"72,00",,,"72,00","0,00",,,
STIL,12.06.2015,"72,00",,,"72,00","0,00",,,
STIL,15.06.2015,"72,00",,,"72,00","0,00",,,
STIL,16.06.2015,"72,00",,,"72,00","0,00",,,
STIL,17.06.2015,"72,00","72,00","72,00","72,00","0,00",216.0,15.552,15.552
STIL,18.06.2015,"72,00",,,"72,00","0,00",,,
STIL,19.06.2015,"72,00","72,00","72,00","72,00","0,00",645.0,46.44,46.44
STIL,22.06.2015,"72,00","72,00","72,00","72,00","0,00",940.0,67.68,67.68
STIL,23.06.2015,"72,00","72,00","72,00","72,00","0,00",600.0,43.2,43.2
STIL,24.06.2015,"74,00","74,00","74,00","74,00","2,78",645.0,47.73,47.73
STIL,25.06.2015,"74,00",,,"74,00","0,00",,,
STIL,26.06.2015,"74,00",,,"74,00","0,00",,,
STIL,29.06.2015,"74,00",,,"74,00","0,00",,,
STIL,30.06.2015,"74,00",,,"74,00","0,00",,,
STIL,01.07.2015,"74,00",,,"74,00","0,00",,,
STIL,02.07.2015,"74,00",,,"74,00","0,00",,,
STIL,03.07.2015,"74,00",,,"74,00","0,00",,,
STIL,06.07.2015,"74,00",,,"74,00","0,00",,,
STIL,07.07.2015,"74,00",,,"74,00","0,00",,,
STIL,08.07.2015,"70,00","70,00","70,00","70,00","-5,41",802.0,56.14,56.14
STIL,09.07.2015,"70,00",,,"70,00","0,00",,,
STIL,10.07.2015,"70,00",,,"70,00","0,00",,,
STIL,13.07.2015,"68,00","68,00","68,00","68,00","-2,86",692.0,47.056,47.056
STIL,14.07.2015,"68,00",,,"68,00","0,00",,,
STIL,15.07.2015,"72,00","72,00","70,00","70,89","4,25",2.257,159.99,159.99
STIL,16.07.2015,"72,00","72,00","72,00","72,00","1,57",840.0,60.48,60.48
STIL,20.07.2015,"74,00","74,00","74,00","74,00","2,78",500.0,37.0,37.0
STIL,21.07.2015,"76,00","76,00","74,00","75,48","2,00",537.0,40.532,40.532
STIL,22.07.2015,"76,00",,,"75,48","0,00",,,
STIL,23.07.2015,"76,00",,,"75,48","0,00",,,
STIL,24.07.2015,"76,00",,,"75,48","0,00",,,
STIL,27.07.2015,"70,00","70,00","70,00","70,00","-7,26",500.0,35.0,35.0
STIL,28.07.2015,"68,00","68,00","68,00","68,00","-2,86",150.0,10.2,10.2
STIL,29.07.2015,"74,00","74,00","74,00","74,00","8,82",250.0,18.5,18.5
STIL,30.07.2015,"74,00",,,"74,00","0,00",,,
STIL,31.07.2015,"74,00",,,"74,00","0,00",,,
STIL,04.08.2015,"74,00",,,"74,00","0,00",,,
STIL,05.08.2015,"74,00",,,"74,00","0,00",,,
STIL,06.08.2015,"74,00",,,"74,00","0,00",,,
STIL,07.08.2015,"74,00",,,"74,00","0,00",,,
STIL,10.08.2015,"74,00",,,"74,00","0,00",,,
STIL,11.08.2015,"74,00",,,"74,00","0,00",,,
STIL,12.08.2015,"74,00",,,"74,00","0,00",,,
STIL,13.08.2015,"74,00",,,"74,00","0,00",,,
STIL,14.08.2015,"76,00","76,00","74,00","75,10","1,49",980.0,73.6,73.6
STIL,17.08.2015,"76,00",,,"75,10","0,00",,,
STIL,18.08.2015,"76,00",,,"75,10","0,00",,,
STIL,19.08.2015,"76,00","76,00","76,00","76,00","1,20",20.0,1.52,1.52
STIL,20.08.2015,"76,00",,,"76,00","0,00",,,
STIL,21.08.2015,"76,00",,,"76,00","0,00",,,
STIL,24.08.2015,"76,00",,,"76,00","0,00",,,
STIL,25.08.2015,"76,00",,,"76,00","0,00",,,
STIL,26.08.2015,"76,00",,,"76,00","0,00",,,
STIL,27.08.2015,"69,00","69,00","69,00","69,00","-9,21",500.0,34.5,34.5
STIL,31.08.2015,"68,00","68,00","68,00","68,00","-1,45",240.0,16.32,16.32
STIL,01.09.2015,"74,00","74,00","74,00","74,00","8,82",514.0,38.036,38.036
STIL,02.09.2015,"74,00",,,"74,00","0,00",,,
STIL,03.09.2015,"74,00",,,"74,00","0,00",,,
STIL,04.09.2015,"74,00",,,"74,00","0,00",,,
STIL,07.09.2015,"67,00","67,00","67,00","67,00","-9,46",486.0,32.562,32.562
STIL,09.09.2015,"65,00","67,00","65,00","65,50","-2,24",2.043,133.823,133.823
STIL,10.09.2015,"65,00",,,"65,50","0,00",,,
STIL,11.09.2015,"60,00","60,00","60,00","60,00","-8,40",567.0,34.02,34.02
STIL,14.09.2015,"60,00",,,"60,00","0,00",,,
STIL,15.09.2015,"60,00","60,00","60,00","60,00","0,00",100.0,6.0,6.0
STIL,16.09.2015,"66,00","66,00","60,00","61,89","3,15",1.869,115.674,115.674
STIL,17.09.2015,"66,00","66,00","66,00","66,00","6,64",300.0,19.8,19.8
STIL,18.09.2015,"66,00",,,"66,00","0,00",,,
STIL,21.09.2015,"60,00","60,00","60,00","60,00","-9,09",2.224,133.44,133.44
STIL,22.09.2015,"64,00","64,00","64,00","64,00","6,67",200.0,12.8,12.8
STIL,23.09.2015,"60,00","60,00","60,00","60,00","-6,25",1.2,72.0,72.0
STIL,24.09.2015,"60,00",,,"60,00","0,00",,,
STIL,25.09.2015,"62,00","62,00","62,00","62,00","3,33",1.471,91.202,91.202
STIL,28.09.2015,"62,00",,,"62,00","0,00",,,
STIL,29.09.2015,"63,00","63,00","63,00","63,00","1,61",500.0,31.5,31.5
STIL,30.09.2015,"64,00","64,00","64,00","64,00","1,59",384.0,24.576,24.576
STIL,01.10.2015,"64,00","64,00","64,00","64,00","0,00",978.0,62.592,62.592
STIL,02.10.2015,"64,00",,,"64,00","0,00",,,
STIL,05.10.2015,"62,00","62,00","62,00","62,00","-3,12",400.0,24.8,24.8
STIL,06.10.2015,"62,00",,,"62,00","0,00",,,
STIL,07.10.2015,"61,00","61,00","61,00","61,00","-1,61",150.0,9.15,9.15
STIL,08.10.2015,"61,00",,,"61,00","0,00",,,
STIL,09.10.2015,"61,00",,,"61,00","0,00",,,
STIL,13.10.2015,"62,00","62,00","62,00","62,00","1,64",300.0,18.6,18.6
STIL,14.10.2015,"61,00","61,00","61,00","61,00","-1,61",140.0,8.54,8.54
STIL,15.10.2015,"62,00","62,00","62,00","62,00","1,64",300.0,18.6,18.6
STIL,16.10.2015,"62,00",,,"62,00","0,00",,,
STIL,19.10.2015,"62,00",,,"62,00","0,00",,,
STIL,20.10.2015,"62,00",,,"62,00","0,00",,,
STIL,21.10.2015,"62,00",,,"62,00","0,00",,,
STIL,22.10.2015,"62,00",,,"62,00","0,00",,,
STIL,26.10.2015,"62,00",,,"62,00","0,00",,,
STIL,27.10.2015,"62,00",,,"62,00","0,00",,,
STIL,28.10.2015,"60,00","60,00","60,00","60,00","-3,23",610.0,36.6,36.6
STIL,29.10.2015,"60,00",,,"60,00","0,00",,,
STIL,30.10.2015,"62,00","62,00","62,00","62,00","3,33",177.0,10.974,10.974
STIL,02.11.2015,"62,00",,,"62,00","0,00",,,
STIL,03.11.2015,"64,00","64,00","64,00","64,00","3,23",140.0,8.96,8.96
STIL,04.11.2015,"64,00",,,"64,00","0,00",,,
STIL,05.11.2015,"64,00",,,"64,00","0,00",,,
STIL,06.11.2015,"60,00","60,00","60,00","60,00","-6,25",130.0,7.8,7.8
STIL,09.11.2015,"60,00",,,"60,00","0,00",,,
STIL,10.11.2015,"60,00",,,"60,00","0,00",,,
STIL,11.11.2015,"60,00",,,"60,00","0,00",,,
STIL,12.11.2015,"60,00","60,00","60,00","60,00","0,00",500.0,30.0,30.0
STIL,13.11.2015,"60,00","60,00","60,00","60,00","0,00",600.0,36.0,36.0
STIL,16.11.2015,"62,00","62,00","62,00","62,00","3,33",10.0,620.0,620.0
STIL,17.11.2015,"62,00",,,"62,00","0,00",,,
STIL,18.11.2015,"62,00",,,"62,00","0,00",,,
STIL,19.11.2015,"62,00",,,"62,00","0,00",,,
STIL,20.11.2015,"62,00",,,"62,00","0,00",,,
STIL,23.11.2015,"58,00","58,00","58,00","58,00","-6,45",500.0,29.0,29.0
STIL,24.11.2015,"58,00","58,00","58,00","58,00","0,00",500.0,29.0,29.0
STIL,25.11.2015,"60,00","60,00","60,00","60,00","3,45",100.0,6.0,6.0
STIL,26.11.2015,"55,00","55,00","55,00","55,00","-8,33",125.0,6.875,6.875
STIL,27.11.2015,"60,00","60,00","60,00","60,00","9,09",600.0,36.0,36.0
STIL,30.11.2015,"55,00","55,00","55,00","55,00","-8,33",1.9,104.5,104.5
STIL,01.12.2015,"55,00",,,"55,00","0,00",,,
STIL,03.12.2015,"55,00",,,"55,00","0,00",,,
STIL,04.12.2015,"55,00",,,"55,00","0,00",,,
STIL,07.12.2015,"54,00","54,00","54,00","54,00","-1,82",1.737,93.798,93.798
STIL,09.12.2015,"54,00",,,"54,00","0,00",,,
STIL,10.12.2015,"53,00","53,00","53,00","53,00","-1,85",578.0,30.634,30.634
STIL,11.12.2015,"53,00",,,"53,00","0,00",,,
STIL,14.12.2015,"54,00","54,00","54,00","54,00","1,89",500.0,27.0,27.0
STIL,15.12.2015,"54,00","54,00","54,00","54,00","0,00",290.0,15.66,15.66
STIL,16.12.2015,"54,00","54,00","54,00","54,00","0,00",119.0,6.426,6.426
STIL,17.12.2015,"54,00",,,"54,00","0,00",,,
STIL,18.12.2015,"55,00","55,00","55,00","55,00","1,85",250.0,13.75,13.75
STIL,21.12.2015,"55,00",,,"55,00","0,00",,,
STIL,22.12.2015,"54,00","54,00","54,00","54,00","-1,82",350.0,18.9,18.9
STIL,23.12.2015,"54,00","54,00","54,00","54,00","0,00",200.0,10.8,10.8
STIL,24.12.2015,"59,00","59,00","59,00","59,00","9,26",150.0,8.85,8.85
STIL,25.12.2015,"59,00",,,"59,00","0,00",,,
STIL,28.12.2015,"54,00","54,00","54,00","54,00","-8,47",1.264,68.256,68.256
STIL,29.12.2015,"54,00",,,"54,00","0,00",,,
STIL,30.12.2015,"59,00","59,00","58,00","58,49","8,31",1.98,115.81,115.81
STIL,04.01.2016,"59,00",,,"58,49","0,00",,,
STIL,05.01.2016,"59,00",,,"58,49","0,00",,,
STIL,08.01.2016,"59,00",,,"58,49","0,00",,,
STIL,11.01.2016,"59,00",,,"58,49","0,00",,,
STIL,12.01.2016,"59,00",,,"58,49","0,00",,,
STIL,13.01.2016,"59,00",,,"58,49","0,00",,,
STIL,14.01.2016,"57,00","57,00","57,00","57,00","-2,55",110.0,6.27,6.27
STIL,15.01.2016,"54,00","54,00","54,00","54,00","-5,26",500.0,27.0,27.0
STIL,18.01.2016,"54,00",,,"54,00","0,00",,,
STIL,20.01.2016,"54,00",,,"54,00","0,00",,,
STIL,21.01.2016,"54,00",,,"54,00","0,00",,,
STIL,22.01.2016,"54,00",,,"54,00","0,00",,,
STIL,25.01.2016,"54,00","54,00","53,00","53,73","-0,50",1.11,59.64,59.64
STIL,26.01.2016,"54,00",,,"53,73","0,00",,,
STIL,27.01.2016,"54,00","54,00","54,00","54,00","0,50",120.0,6.48,6.48
STIL,28.01.2016,"54,00",,,"54,00","0,00",,,
STIL,29.01.2016,"50,00","50,00","50,00","50,00","-7,41",3.2,160.0,160.0
STIL,01.02.2016,"50,00","50,00","50,00","50,00","0,00",300.0,15.0,15.0
STIL,02.02.2016,"50,00","50,00","50,00","50,00","0,00",1.18,59.0,59.0
STIL,03.02.2016,"54,00","54,00","54,00","54,00","8,00",90.0,4.86,4.86
STIL,04.02.2016,"53,00","53,00","53,00","53,00","-1,85",200.0,10.6,10.6
STIL,05.02.2016,"53,00",,,"53,00","0,00",,,
STIL,08.02.2016,"53,00",,,"53,00","0,00",,,
