Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
STOK,13.11.2014,,,,,,,,
STOK,14.11.2014,,,,,,,,
STOK,17.11.2014,,,,,,,,
STOK,18.11.2014,,,,,,,,
STOK,19.11.2014,,,,,,,,
STOK,20.11.2014,,,,,,,,
STOK,21.11.2014,,,,,,,,
STOK,24.11.2014,,,,,,,,
STOK,25.11.2014,,,,,,,,
STOK,26.11.2014,,,,,,,,
STOK,27.11.2014,,,,,,,,
STOK,28.11.2014,,,,,,,,
STOK,01.12.2014,,,,,,,,
STOK,02.12.2014,,,,,,,,
STOK,04.12.2014,,,,,,,,
STOK,05.12.2014,,,,,,,,
STOK,09.12.2014,,,,,,,,
STOK,10.12.2014,,,,,,,,
STOK,11.12.2014,,,,,,,,
STOK,12.12.2014,,,,,,,,
STOK,15.12.2014,,,,,,,,
STOK,16.12.2014,,,,,,,,
STOK,17.12.2014,,,,,,,,
STOK,18.12.2014,,,,,,,,
STOK,19.12.2014,,,,,,,,
STOK,22.12.2014,,,,,,,,
STOK,23.12.2014,,,,,,,,
STOK,24.12.2014,,,,,,,,
STOK,25.12.2014,,,,,,,,
STOK,26.12.2014,,,,,,,,
STOK,29.12.2014,,,,,,,,
STOK,30.12.2014,,,,,,,,
STOK,02.01.2015,,,,,,,,
STOK,05.01.2015,,,,,,,,
STOK,08.01.2015,,,,,,,,
STOK,09.01.2015,,,,,,,,
STOK,12.01.2015,,,,,,,,
STOK,13.01.2015,,,,,,,,
STOK,14.01.2015,,,,,,,,
STOK,15.01.2015,,,,,,,,
STOK,16.01.2015,,,,,,,,
STOK,20.01.2015,,,,,,,,
STOK,21.01.2015,,,,,,,,
STOK,22.01.2015,,,,,,,,
STOK,23.01.2015,,,,,,,,
STOK,26.01.2015,,,,,,,,
STOK,27.01.2015,,,,,,,,
STOK,28.01.2015,,,,,,,,
STOK,29.01.2015,,,,,,,,
STOK,30.01.2015,,,,,,,,
STOK,02.02.2015,,,,,,,,
STOK,03.02.2015,,,,,,,,
STOK,04.02.2015,,,,,,,,
STOK,05.02.2015,,,,,,,,
STOK,06.02.2015,,,,,,,,
STOK,09.02.2015,,,,,,,,
STOK,10.02.2015,,,,,,,,
STOK,11.02.2015,,,,,,,,
STOK,12.02.2015,,,,,,,,
STOK,13.02.2015,,,,,,,,
STOK,16.02.2015,,,,,,,,
STOK,17.02.2015,,,,,,,,
STOK,18.02.2015,,,,,,,,
STOK,19.02.2015,,,,,,,,
STOK,20.02.2015,,,,,,,,
STOK,23.02.2015,,,,,,,,
STOK,24.02.2015,,,,,,,,
STOK,25.02.2015,,,,,,,,
STOK,26.02.2015,,,,,,,,
STOK,27.02.2015,,,,,,,,
STOK,02.03.2015,,,,,,,,
STOK,03.03.2015,,,,,,,,
STOK,04.03.2015,,,,,,,,
STOK,05.03.2015,,,,,,,,
STOK,06.03.2015,,,,,,,,
STOK,09.03.2015,,,,,,,,
STOK,10.03.2015,,,,,,,,
STOK,11.03.2015,,,,,,,,
STOK,12.03.2015,,,,,,,,
STOK,13.03.2015,,,,,,,,
STOK,16.03.2015,,,,,,,,
STOK,17.03.2015,,,,,,,,
STOK,18.03.2015,,,,,,,,
STOK,19.03.2015,,,,,,,,
STOK,20.03.2015,,,,,,,,
STOK,23.03.2015,,,,,,,,
STOK,24.03.2015,,,,,,,,
STOK,25.03.2015,,,,,,,,
STOK,26.03.2015,,,,,,,,
STOK,27.03.2015,,,,,,,,
STOK,30.03.2015,,,,,,,,
STOK,31.03.2015,,,,,,,,
STOK,01.04.2015,,,,,,,,
STOK,02.04.2015,,,,,,,,
STOK,03.04.2015,,,,,,,,
STOK,06.04.2015,,,,,,,,
STOK,07.04.2015,,,,,,,,
STOK,08.04.2015,,,,,,,,
STOK,09.04.2015,,,,,,,,
STOK,14.04.2015,,,,,,,,
STOK,15.04.2015,,,,,,,,
STOK,16.04.2015,,,,,,,,
STOK,17.04.2015,,,,,,,,
STOK,20.04.2015,,,,,,,,
STOK,21.04.2015,,,,,,,,
STOK,22.04.2015,,,,,,,,
STOK,23.04.2015,,,,,,,,
STOK,24.04.2015,,,,,,,,
STOK,27.04.2015,,,,,,,,
STOK,28.04.2015,,,,,,,,
STOK,29.04.2015,,,,,,,,
STOK,30.04.2015,,,,,,,,
STOK,04.05.2015,,,,,,,,
STOK,05.05.2015,,,,,,,,
STOK,06.05.2015,,,,,,,,
STOK,07.05.2015,,,,,,,,
STOK,08.05.2015,,,,,,,,
STOK,11.05.2015,,,,,,,,
STOK,12.05.2015,,,,,,,,
STOK,13.05.2015,,,,,,,,
STOK,14.05.2015,,,,,,,,
STOK,15.05.2015,,,,,,,,
STOK,18.05.2015,,,,,,,,
STOK,19.05.2015,,,,,,,,
STOK,20.05.2015,,,,,,,,
STOK,21.05.2015,,,,,,,,
STOK,22.05.2015,,,,,,,,
STOK,26.05.2015,,,,,,,,
STOK,27.05.2015,,,,,,,,
STOK,28.05.2015,,,,,,,,
STOK,01.06.2015,,,,,,,,
STOK,02.06.2015,,,,,,,,
STOK,03.06.2015,,,,,,,,
STOK,04.06.2015,,,,,,,,
STOK,05.06.2015,,,,,,,,
STOK,08.06.2015,,,,,,,,
STOK,09.06.2015,,,,,,,,
STOK,10.06.2015,,,,,,,,
STOK,11.06.2015,,,,,,,,
STOK,12.06.2015,,,,,,,,
STOK,15.06.2015,,,,,,,,
STOK,16.06.2015,,,,,,,,
STOK,17.06.2015,,,,,,,,
STOK,18.06.2015,,,,,,,,
STOK,19.06.2015,,,,,,,,
STOK,22.06.2015,,,,,,,,
STOK,23.06.2015,,,,,,,,
STOK,24.06.2015,,,,,,,,
STOK,25.06.2015,,,,,,,,
STOK,26.06.2015,,,,,,,,
STOK,29.06.2015,,,,,,,,
STOK,30.06.2015,,,,,,,,
STOK,01.07.2015,,,,,,,,
STOK,02.07.2015,,,,,,,,
STOK,03.07.2015,,,,,,,,
STOK,06.07.2015,,,,,,,,
STOK,07.07.2015,,,,,,,,
STOK,08.07.2015,,,,,,,,
STOK,09.07.2015,,,,,,,,
STOK,10.07.2015,,,,,,,,
STOK,13.07.2015,,,,,,,,
STOK,14.07.2015,,,,,,,,
STOK,15.07.2015,,,,,,,,
STOK,16.07.2015,,,,,,,,
STOK,20.07.2015,,,,,,,,
STOK,21.07.2015,,,,,,,,
STOK,22.07.2015,,,,,,,,
STOK,23.07.2015,,,,,,,,
STOK,24.07.2015,,,,,,,,
STOK,27.07.2015,,,,,,,,
STOK,28.07.2015,,,,,,,,
STOK,29.07.2015,,,,,,,,
STOK,30.07.2015,,,,,,,,
STOK,31.07.2015,,,,,,,,
STOK,04.08.2015,,,,,,,,
STOK,05.08.2015,,,,,,,,
STOK,06.08.2015,,,,,,,,
STOK,07.08.2015,,,,,,,,
STOK,10.08.2015,,,,,,,,
STOK,11.08.2015,,,,,,,,
STOK,12.08.2015,,,,,,,,
STOK,13.08.2015,,,,,,,,
STOK,14.08.2015,,,,,,,,
STOK,17.08.2015,,,,,,,,
STOK,18.08.2015,,,,,,,,
STOK,19.08.2015,,,,,,,,
STOK,20.08.2015,,,,,,,,
STOK,21.08.2015,,,,,,,,
STOK,24.08.2015,,,,,,,,
STOK,25.08.2015,,,,,,,,
STOK,26.08.2015,,,,,,,,
STOK,27.08.2015,,,,,,,,
STOK,31.08.2015,,,,,,,,
STOK,01.09.2015,,,,,,,,
STOK,02.09.2015,,,,,,,,
STOK,03.09.2015,,,,,,,,
STOK,04.09.2015,,,,,,,,
STOK,07.09.2015,,,,,,,,
STOK,09.09.2015,,,,,,,,
STOK,10.09.2015,,,,,,,,
STOK,11.09.2015,,,,,,,,
STOK,14.09.2015,,,,,,,,
STOK,15.09.2015,,,,,,,,
STOK,16.09.2015,,,,,,,,
STOK,17.09.2015,,,,,,,,
STOK,18.09.2015,,,,,,,,
STOK,21.09.2015,,,,,,,,
STOK,22.09.2015,,,,,,,,
STOK,23.09.2015,,,,,,,,
STOK,24.09.2015,,,,,,,,
STOK,25.09.2015,,,,,,,,
STOK,28.09.2015,,,,,,,,
STOK,29.09.2015,,,,,,,,
STOK,30.09.2015,,,,,,,,
STOK,01.10.2015,,,,,,,,
STOK,02.10.2015,,,,,,,,
STOK,05.10.2015,,,,,,,,
STOK,06.10.2015,,,,,,,,
STOK,07.10.2015,,,,,,,,
STOK,08.10.2015,,,,,,,,
STOK,09.10.2015,,,,,,,,
STOK,13.10.2015,,,,,,,,
STOK,14.10.2015,,,,,,,,
STOK,15.10.2015,,,,,,,,
STOK,16.10.2015,,,,,,,,
STOK,19.10.2015,,,,,,,,
STOK,20.10.2015,,,,,,,,
STOK,21.10.2015,,,,,,,,
STOK,22.10.2015,,,,,,,,
STOK,26.10.2015,,,,,,,,
STOK,27.10.2015,,,,,,,,
STOK,28.10.2015,,,,,,,,
STOK,29.10.2015,,,,,,,,
STOK,30.10.2015,,,,,,,,
STOK,02.11.2015,,,,,,,,
STOK,03.11.2015,,,,,,,,
STOK,04.11.2015,,,,,,,,
STOK,05.11.2015,,,,,,,,
STOK,06.11.2015,,,,,,,,
STOK,09.11.2015,,,,,,,,
STOK,10.11.2015,,,,,,,,
STOK,11.11.2015,,,,,,,,
STOK,12.11.2015,,,,,,,,
STOK,13.11.2015,,,,,,,,
STOK,16.11.2015,,,,,,,,
STOK,17.11.2015,,,,,,,,
STOK,18.11.2015,,,,,,,,
STOK,19.11.2015,,,,,,,,
STOK,20.11.2015,,,,,,,,
STOK,23.11.2015,,,,,,,,
STOK,24.11.2015,,,,,,,,
STOK,25.11.2015,,,,,,,,
