Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
TBKO,13.11.2014,"7.135,00",,,"7.135,00","0,00",,,
TBKO,14.11.2014,"7.135,00",,,"7.135,00","0,00",,,
TBKO,17.11.2014,"7.135,00",,,"7.135,00","0,00",,,
TBKO,18.11.2014,"7.135,00",,,"7.135,00","0,00",,,
TBKO,19.11.2014,"7.135,00",,,"7.135,00","0,00",,,
TBKO,20.11.2014,"7.135,00",,,"7.135,00","0,00",,,
TBKO,21.11.2014,"7.135,00",,,"7.135,00","0,00",,,
TBKO,24.11.2014,"7.135,00",,,"7.135,00","0,00",,,
TBKO,25.11.2014,"7.135,00",,,"7.135,00","0,00",,,
TBKO,26.11.2014,"7.135,00",,,"7.135,00","0,00",,,
TBKO,27.11.2014,"7.135,00",,,"7.135,00","0,00",,,
TBKO,28.11.2014,"7.135,00",,,"7.135,00","0,00",,,
TBKO,01.12.2014,"7.135,00",,,"7.135,00","0,00",,,
TBKO,02.12.2014,"7.135,00",,,"7.135,00","0,00",,,
TBKO,04.12.2014,"7.135,00",,,"7.135,00","0,00",,,
TBKO,05.12.2014,"7.135,00",,,"7.135,00","0,00",,,
TBKO,09.12.2014,"7.135,00",,,"7.135,00","0,00",,,
TBKO,10.12.2014,"7.135,00",,,"7.135,00","0,00",,,
TBKO,11.12.2014,"7.135,00",,,"7.135,00","0,00",,,
TBKO,12.12.2014,"7.135,00",,,"7.135,00","0,00",,,
TBKO,15.12.2014,"7.135,00",,,"7.135,00","0,00",,,
TBKO,16.12.2014,"7.135,00",,,"7.135,00","0,00",,,
TBKO,17.12.2014,"7.135,00",,,"7.135,00","0,00",,,
TBKO,18.12.2014,"7.135,00",,,"7.135,00","0,00",,,
TBKO,19.12.2014,"7.135,00",,,"7.135,00","0,00",,,
TBKO,22.12.2014,"7.135,00",,,"7.135,00","0,00",,,
TBKO,23.12.2014,"7.135,00",,,"7.135,00","0,00",,,
TBKO,24.12.2014,"7.135,00",,,"7.135,00","0,00",,,
TBKO,25.12.2014,"7.135,00",,,"7.135,00","0,00",,,
TBKO,26.12.2014,"7.135,00",,,"7.135,00","0,00",,,
TBKO,29.12.2014,"7.135,00",,,"7.135,00","0,00",,,
TBKO,30.12.2014,"7.135,00",,,"7.135,00","0,00",,,
TBKO,02.01.2015,"7.135,00",,,"7.135,00","0,00",,,
TBKO,05.01.2015,"7.135,00",,,"7.135,00","0,00",,,
TBKO,08.01.2015,"7.135,00",,,"7.135,00","0,00",,,
TBKO,09.01.2015,"7.135,00",,,"7.135,00","0,00",,,
TBKO,12.01.2015,"7.135,00",,,"7.135,00","0,00",,,
TBKO,13.01.2015,"7.135,00",,,"7.135,00","0,00",,,
TBKO,14.01.2015,"7.135,00",,,"7.135,00","0,00",,,
TBKO,15.01.2015,"7.135,00",,,"7.135,00","0,00",,,
TBKO,16.01.2015,"7.135,00",,,"7.135,00","0,00",,,
TBKO,20.01.2015,"7.135,00",,,"7.135,00","0,00",,,
TBKO,21.01.2015,"7.135,00",,,"7.135,00","0,00",,,
TBKO,22.01.2015,"7.135,00",,,"7.135,00","0,00",,,
TBKO,23.01.2015,"7.135,00",,,"7.135,00","0,00",,,
TBKO,26.01.2015,"7.135,00",,,"7.135,00","0,00",,,
TBKO,27.01.2015,"7.135,00",,,"7.135,00","0,00",,,
TBKO,28.01.2015,"7.135,00",,,"7.135,00","0,00",,,
TBKO,29.01.2015,"7.135,00",,,"7.135,00","0,00",,,
TBKO,30.01.2015,"7.135,00",,,"7.135,00","0,00",,,
TBKO,02.02.2015,"7.135,00",,,"7.135,00","0,00",,,
TBKO,03.02.2015,"7.135,00",,,"7.135,00","0,00",,,
TBKO,04.02.2015,"7.135,00",,,"7.135,00","0,00",,,
TBKO,05.02.2015,"7.135,00",,,"7.135,00","0,00",,,
TBKO,06.02.2015,"7.135,00",,,"7.135,00","0,00",,,
TBKO,09.02.2015,"7.135,00",,,"7.135,00","0,00",,,
TBKO,10.02.2015,"7.135,00",,,"7.135,00","0,00",,,
TBKO,11.02.2015,"7.135,00",,,"7.135,00","0,00",,,
TBKO,12.02.2015,"7.135,00",,,"7.135,00","0,00",,,
TBKO,13.02.2015,"7.135,00",,,"7.135,00","0,00",,,
TBKO,16.02.2015,"7.135,00",,,"7.135,00","0,00",,,
TBKO,17.02.2015,"7.135,00",,,"7.135,00","0,00",,,
TBKO,18.02.2015,"7.135,00",,,"7.135,00","0,00",,,
TBKO,19.02.2015,"7.135,00",,,"7.135,00","0,00",,,
TBKO,20.02.2015,"7.135,00",,,"7.135,00","0,00",,,
TBKO,23.02.2015,"7.135,00",,,"7.135,00","0,00",,,
TBKO,24.02.2015,"7.135,00",,,"7.135,00","0,00",,,
