Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
TEAL,13.11.2014,"730,00",,,"730,00","0,00",,,
TEAL,14.11.2014,"730,00",,,"730,00","0,00",,,
TEAL,17.11.2014,"730,00",,,"730,00","0,00",,,
TEAL,18.11.2014,"730,00",,,"730,00","0,00",,,
TEAL,19.11.2014,"730,00",,,"730,00","0,00",,,
TEAL,20.11.2014,"730,00",,,"730,00","0,00",,,
TEAL,21.11.2014,"730,00",,,"730,00","0,00",,,
TEAL,24.11.2014,"730,00",,,"730,00","0,00",,,
TEAL,25.11.2014,"730,00",,,"730,00","0,00",,,
TEAL,26.11.2014,"730,00",,,"730,00","0,00",,,
TEAL,27.11.2014,"730,00",,,"730,00","0,00",,,
TEAL,28.11.2014,"730,00",,,"730,00","0,00",,,
TEAL,01.12.2014,"730,00",,,"730,00","0,00",,,
TEAL,02.12.2014,"730,00",,,"730,00","0,00",,,
TEAL,04.12.2014,"730,00",,,"730,00","0,00",,,
TEAL,05.12.2014,"730,00",,,"730,00","0,00",,,
TEAL,09.12.2014,"730,00",,,"730,00","0,00",,,
TEAL,10.12.2014,"730,00",,,"730,00","0,00",,,
TEAL,11.12.2014,"730,00",,,"730,00","0,00",,,
TEAL,12.12.2014,"730,00",,,"730,00","0,00",,,
TEAL,15.12.2014,"730,00",,,"730,00","0,00",,,
TEAL,16.12.2014,"730,00",,,"730,00","0,00",,,
TEAL,17.12.2014,"730,00",,,"730,00","0,00",,,
TEAL,18.12.2014,"730,00",,,"730,00","0,00",,,
TEAL,19.12.2014,"730,00",,,"730,00","0,00",,,
TEAL,22.12.2014,"730,00",,,"730,00","0,00",,,
TEAL,23.12.2014,"730,00",,,"730,00","0,00",,,
TEAL,24.12.2014,"730,00",,,"730,00","0,00",,,
TEAL,25.12.2014,"730,00",,,"730,00","0,00",,,
TEAL,26.12.2014,"730,00",,,"730,00","0,00",,,
TEAL,29.12.2014,"730,00",,,"730,00","0,00",,,
TEAL,30.12.2014,"730,00",,,"730,00","0,00",,,
TEAL,02.01.2015,"730,00",,,"730,00","0,00",,,
TEAL,05.01.2015,"730,00",,,"730,00","0,00",,,
TEAL,08.01.2015,"730,00",,,"730,00","0,00",,,
TEAL,09.01.2015,"730,00",,,"730,00","0,00",,,
TEAL,12.01.2015,"730,00",,,"730,00","0,00",,,
TEAL,13.01.2015,"730,00",,,"730,00","0,00",,,
TEAL,14.01.2015,"730,00",,,"730,00","0,00",,,
TEAL,15.01.2015,"730,00",,,"730,00","0,00",,,
TEAL,16.01.2015,"730,00",,,"730,00","0,00",,,
TEAL,20.01.2015,"730,00",,,"730,00","0,00",,,
TEAL,21.01.2015,"730,00",,,"730,00","0,00",,,
TEAL,22.01.2015,"730,00",,,"730,00","0,00",,,
TEAL,23.01.2015,"730,00",,,"730,00","0,00",,,
TEAL,26.01.2015,"730,00",,,"730,00","0,00",,,
