Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
TEHN,13.11.2014,"825,00",,,"825,00","0,00",,,
TEHN,14.11.2014,"825,00",,,"825,00","0,00",,,
TEHN,17.11.2014,"825,00",,,"825,00","0,00",,,
TEHN,18.11.2014,"825,00",,,"825,00","0,00",,,
TEHN,19.11.2014,"825,00",,,"825,00","0,00",,,
TEHN,20.11.2014,"825,00",,,"825,00","0,00",,,
TEHN,21.11.2014,"825,00",,,"825,00","0,00",,,
TEHN,24.11.2014,"825,00",,,"825,00","0,00",,,
TEHN,25.11.2014,"825,00",,,"825,00","0,00",,,
TEHN,26.11.2014,"825,00",,,"825,00","0,00",,,
TEHN,27.11.2014,"825,00",,,"825,00","0,00",,,
TEHN,28.11.2014,"825,00",,,"825,00","0,00",,,
TEHN,01.12.2014,"825,00",,,"825,00","0,00",,,
TEHN,02.12.2014,"825,00",,,"825,00","0,00",,,
TEHN,04.12.2014,"825,00",,,"825,00","0,00",,,
TEHN,05.12.2014,"825,00",,,"825,00","0,00",,,
TEHN,09.12.2014,"825,00",,,"825,00","0,00",,,
TEHN,10.12.2014,"825,00",,,"825,00","0,00",,,
TEHN,11.12.2014,"825,00",,,"825,00","0,00",,,
TEHN,12.12.2014,"825,00",,,"825,00","0,00",,,
TEHN,15.12.2014,"825,00",,,"825,00","0,00",,,
TEHN,16.12.2014,"825,00",,,"825,00","0,00",,,
TEHN,17.12.2014,"825,00",,,"825,00","0,00",,,
TEHN,18.12.2014,"825,00",,,"825,00","0,00",,,
TEHN,19.12.2014,"825,00",,,"825,00","0,00",,,
TEHN,22.12.2014,"825,00",,,"825,00","0,00",,,
TEHN,23.12.2014,"825,00",,,"825,00","0,00",,,
TEHN,24.12.2014,"825,00",,,"825,00","0,00",,,
TEHN,25.12.2014,"825,00",,,"825,00","0,00",,,
TEHN,26.12.2014,"825,00",,,"825,00","0,00",,,
TEHN,29.12.2014,"825,00",,,"825,00","0,00",,,
TEHN,30.12.2014,"825,00",,,"825,00","0,00",,,
TEHN,02.01.2015,"825,00",,,"825,00","0,00",,,
TEHN,05.01.2015,"825,00",,,"825,00","0,00",,,
TEHN,08.01.2015,"825,00",,,"825,00","0,00",,,
TEHN,09.01.2015,"825,00",,,"825,00","0,00",,,
TEHN,12.01.2015,"825,00",,,"825,00","0,00",,,
TEHN,13.01.2015,"825,00",,,"825,00","0,00",,,
TEHN,14.01.2015,"825,00",,,"825,00","0,00",,,
TEHN,15.01.2015,"825,00",,,"825,00","0,00",,,
TEHN,16.01.2015,"825,00",,,"825,00","0,00",,,
TEHN,20.01.2015,"825,00",,,"825,00","0,00",,,
TEHN,21.01.2015,"825,00",,,"825,00","0,00",,,
TEHN,22.01.2015,"825,00",,,"825,00","0,00",,,
TEHN,23.01.2015,"825,00",,,"825,00","0,00",,,
TEHN,26.01.2015,"825,00",,,"825,00","0,00",,,
TEHN,27.01.2015,"825,00",,,"825,00","0,00",,,
TEHN,28.01.2015,"825,00",,,"825,00","0,00",,,
TEHN,29.01.2015,"825,00",,,"825,00","0,00",,,
TEHN,30.01.2015,"825,00",,,"825,00","0,00",,,
TEHN,02.02.2015,"825,00",,,"825,00","0,00",,,
TEHN,03.02.2015,"825,00",,,"825,00","0,00",,,
TEHN,04.02.2015,"825,00",,,"825,00","0,00",,,
TEHN,05.02.2015,"825,00",,,"825,00","0,00",,,
TEHN,06.02.2015,"825,00",,,"825,00","0,00",,,
TEHN,09.02.2015,"825,00",,,"825,00","0,00",,,
TEHN,10.02.2015,"825,00",,,"825,00","0,00",,,
TEHN,11.02.2015,"825,00",,,"825,00","0,00",,,
TEHN,12.02.2015,"825,00",,,"825,00","0,00",,,
TEHN,13.02.2015,"825,00",,,"825,00","0,00",,,
TEHN,16.02.2015,"825,00",,,"825,00","0,00",,,
TEHN,17.02.2015,"825,00",,,"825,00","0,00",,,
TEHN,18.02.2015,"825,00",,,"825,00","0,00",,,
TEHN,19.02.2015,"825,00",,,"825,00","0,00",,,
TEHN,20.02.2015,"825,00",,,"825,00","0,00",,,
TEHN,23.02.2015,"825,00",,,"825,00","0,00",,,
TEHN,24.02.2015,"825,00",,,"825,00","0,00",,,
TEHN,25.02.2015,"825,00",,,"825,00","0,00",,,
TEHN,26.02.2015,"825,00",,,"825,00","0,00",,,
TEHN,27.02.2015,"825,00",,,"825,00","0,00",,,
TEHN,02.03.2015,"825,00",,,"825,00","0,00",,,
TEHN,03.03.2015,"825,00",,,"825,00","0,00",,,
TEHN,04.03.2015,"825,00",,,"825,00","0,00",,,
TEHN,05.03.2015,"825,00",,,"825,00","0,00",,,
TEHN,06.03.2015,"825,00",,,"825,00","0,00",,,
TEHN,09.03.2015,"825,00",,,"825,00","0,00",,,
TEHN,10.03.2015,"825,00",,,"825,00","0,00",,,
TEHN,11.03.2015,"825,00",,,"825,00","0,00",,,
TEHN,12.03.2015,"825,00",,,"825,00","0,00",,,
TEHN,13.03.2015,"825,00",,,"825,00","0,00",,,
TEHN,16.03.2015,"825,00",,,"825,00","0,00",,,
TEHN,17.03.2015,"825,00",,,"825,00","0,00",,,
TEHN,18.03.2015,"825,00",,,"825,00","0,00",,,
TEHN,19.03.2015,"825,00",,,"825,00","0,00",,,
TEHN,20.03.2015,"825,00",,,"825,00","0,00",,,
TEHN,23.03.2015,"825,00",,,"825,00","0,00",,,
TEHN,24.03.2015,"825,00",,,"825,00","0,00",,,
TEHN,25.03.2015,"825,00",,,"825,00","0,00",,,
TEHN,26.03.2015,"825,00",,,"825,00","0,00",,,
TEHN,27.03.2015,"825,00",,,"825,00","0,00",,,
TEHN,30.03.2015,"825,00",,,"825,00","0,00",,,
TEHN,31.03.2015,"825,00",,,"825,00","0,00",,,
TEHN,01.04.2015,"825,00",,,"825,00","0,00",,,
TEHN,02.04.2015,"825,00",,,"825,00","0,00",,,
TEHN,03.04.2015,"825,00",,,"825,00","0,00",,,
TEHN,06.04.2015,"825,00",,,"825,00","0,00",,,
TEHN,07.04.2015,"825,00",,,"825,00","0,00",,,
TEHN,08.04.2015,"825,00",,,"825,00","0,00",,,
TEHN,09.04.2015,"825,00",,,"825,00","0,00",,,
TEHN,14.04.2015,"825,00",,,"825,00","0,00",,,
TEHN,15.04.2015,"825,00",,,"825,00","0,00",,,
TEHN,16.04.2015,"825,00",,,"825,00","0,00",,,
TEHN,17.04.2015,"825,00",,,"825,00","0,00",,,
TEHN,20.04.2015,"825,00",,,"825,00","0,00",,,
TEHN,21.04.2015,"825,00",,,"825,00","0,00",,,
TEHN,22.04.2015,"825,00",,,"825,00","0,00",,,
TEHN,23.04.2015,"825,00",,,"825,00","0,00",,,
TEHN,24.04.2015,"825,00",,,"825,00","0,00",,,
TEHN,27.04.2015,"825,00",,,"825,00","0,00",,,
TEHN,28.04.2015,"825,00",,,"825,00","0,00",,,
TEHN,29.04.2015,"825,00",,,"825,00","0,00",,,
TEHN,30.04.2015,"825,00",,,"825,00","0,00",,,
TEHN,04.05.2015,"825,00",,,"825,00","0,00",,,
TEHN,05.05.2015,"825,00",,,"825,00","0,00",,,
TEHN,06.05.2015,"825,00",,,"825,00","0,00",,,
TEHN,07.05.2015,"825,00",,,"825,00","0,00",,,
