Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
TEL,13.11.2014,"292,00","292,00","292,00","292,00","-2,88",100.0,29.200,29.200
TEL,14.11.2014,"292,00","292,00","292,00","292,00","0,00",200.0,58.400,58.400
TEL,17.11.2014,"285,00","286,00","285,00","285,44","-2,25",450.0,128.450,128.450
TEL,18.11.2014,"284,00","286,00","280,00","284,05","-0,49",4.695,1.333.630,1.333.630
TEL,19.11.2014,"286,00","286,00","285,00","285,01","0,34",2.603,741.885,741.885
TEL,20.11.2014,"290,00","290,00","290,00","290,00","1,75",100.0,29.000,29.000
TEL,21.11.2014,"290,00","290,00","289,00","289,15","-0,29",2.24,647.700,647.700
TEL,24.11.2014,"282,00","286,00","282,00","282,02","-2,47",60.0,16.921.500,16.921.500
TEL,25.11.2014,"282,00",,,"282,02","0,00",,,
TEL,26.11.2014,"282,00","282,00","282,00","282,00","-0,01",1.105,311.610,311.610
TEL,27.11.2014,"282,00","282,00","282,00","282,00","0,00",5.0,1.410,1.410
TEL,28.11.2014,"282,00","282,00","282,00","282,00","0,00",75.0,21.150,21.150
TEL,01.12.2014,"280,00","280,00","280,00","280,00","-0,71",37.0,10.360,10.360
TEL,02.12.2014,"280,00",,,"280,00","0,00",,,
TEL,04.12.2014,"282,00","282,00","282,00","282,00","0,71",350.0,98.700,98.700
TEL,05.12.2014,"282,00","289,00","282,00","282,19","0,07",1.125,317.460,317.460
TEL,09.12.2014,"289,00","289,00","289,00","289,00","2,41",100.0,28.900,28.900
TEL,10.12.2014,"281,00","282,00","281,00","281,20","-2,70",500.0,140.600,140.600
TEL,11.12.2014,"288,00","288,00","288,00","288,00","2,42",4.0,1.152.000,1.152.000
TEL,12.12.2014,"289,00","289,00","289,00","289,00","0,35",56.0,16.184,16.184
TEL,15.12.2014,"289,00",,,"289,00","0,00",,,
TEL,16.12.2014,"289,00",,,"289,00","0,00",,,
TEL,17.12.2014,"282,00","287,00","282,00","282,04","-2,41",62.0,17.486.570,17.486.570
TEL,18.12.2014,"282,00",,,"282,04","0,00",,,
TEL,19.12.2014,"282,00","282,00","282,00","282,00","-0,01",2.4,676.800,676.800
TEL,22.12.2014,"282,00","282,00","282,00","282,00","0,00",700.0,197.400,197.400
TEL,23.12.2014,"286,00","286,00","285,00","285,42","1,21",830.0,236.900,236.900
TEL,24.12.2014,"286,00","286,00","285,00","285,52","0,04",2.1,599.600,599.600
TEL,25.12.2014,"288,00","288,00","288,00","288,00","0,87",425.0,122.400,122.400
TEL,26.12.2014,"290,00","292,00","290,00","290,71","0,94",6.306,1.833.192,1.833.192
TEL,29.12.2014,"291,00","291,00","290,00","290,28","-0,15",686.0,199.134,199.134
TEL,30.12.2014,"290,00","292,00","290,00","291,88","0,55",1.6,467.000,467.000
TEL,02.01.2015,"293,00","293,00","290,00","290,95","-0,32",293.0,85.249,85.249
TEL,05.01.2015,"290,00","290,00","290,00","290,00","-0,33",76.0,22.040,22.040
TEL,08.01.2015,"286,00","286,00","286,00","286,00","-1,38",127.0,36.322,36.322
TEL,09.01.2015,"290,00","290,00","290,00","290,00","1,40",435.0,126.150,126.150
TEL,12.01.2015,"285,00","286,00","285,00","285,28","-1,63",352.0,100.420,100.420
TEL,13.01.2015,"285,00","285,00","285,00","285,00","-0,10",80.0,22.800,22.800
TEL,14.01.2015,"286,00","290,00","285,00","287,14","0,75",297.0,85.280,85.280
TEL,15.01.2015,"290,00","290,00","290,00","290,00","1,00",100.0,29.000,29.000
TEL,16.01.2015,"286,00","286,00","286,00","286,00","-1,38",250.0,71.500,71.500
