Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
TETE,13.11.2014,"639,00",,,"639,00","0,00",,,
TETE,14.11.2014,"639,00",,,"639,00","0,00",,,
TETE,17.11.2014,"639,00",,,"639,00","0,00",,,
TETE,18.11.2014,"617,00","617,00","617,00","617,00","-3,44",50.0,30.850,30.850
TETE,19.11.2014,"617,00",,,"617,00","0,00",,,
TETE,20.11.2014,"617,00",,,"617,00","0,00",,,
TETE,21.11.2014,"617,00",,,"617,00","0,00",,,
TETE,24.11.2014,"617,00",,,"617,00","0,00",,,
TETE,25.11.2014,"617,00",,,"617,00","0,00",,,
TETE,26.11.2014,"617,00",,,"617,00","0,00",,,
TETE,27.11.2014,"617,00",,,"617,00","0,00",,,
TETE,28.11.2014,"617,00",,,"617,00","0,00",,,
TETE,01.12.2014,"617,00",,,"617,00","0,00",,,
TETE,02.12.2014,"620,00","620,00","620,00","620,00","0,49",50.0,31.000,31.000
TETE,04.12.2014,"620,00",,,"620,00","0,00",,,
TETE,05.12.2014,"630,00","630,00","630,00","630,00","1,61",87.0,54.810,54.810
TETE,09.12.2014,"630,00",,,"630,00","0,00",,,
TETE,10.12.2014,"630,00","630,00","630,00","630,00","0,00",50.0,31.500,31.500
TETE,11.12.2014,"650,00","650,00","650,00","650,00","3,17",216.0,140.400,140.400
TETE,12.12.2014,"650,00",,,"650,00","0,00",,,
TETE,15.12.2014,"650,00",,,"650,00","0,00",,,
TETE,16.12.2014,"650,00",,,"650,00","0,00",,,
TETE,17.12.2014,"650,00",,,"650,00","0,00",,,
TETE,18.12.2014,"650,00",,,"650,00","0,00",,,
TETE,19.12.2014,"650,00",,,"650,00","0,00",,,
TETE,22.12.2014,"650,00",,,"650,00","0,00",,,
TETE,23.12.2014,"650,00",,,"650,00","0,00",,,
TETE,24.12.2014,"650,00",,,"650,00","0,00",,,
TETE,25.12.2014,"650,00","650,00","650,00","650,00","0,00",107.0,69.550,69.550
TETE,26.12.2014,"650,00",,,"650,00","0,00",,,
TETE,29.12.2014,"650,00",,,"650,00","0,00",,,
TETE,30.12.2014,"650,00","650,00","650,00","650,00","0,00",53.0,34.450,34.450
TETE,02.01.2015,"650,00",,,"650,00","0,00",,,
TETE,05.01.2015,"650,00",,,"650,00","0,00",,,
