Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
TKVS,13.11.2017,"3.007,00",,,"3.007,00","0,00",,,
TKVS,14.11.2017,"3.007,00",,,"3.007,00","0,00",,,
TKVS,15.11.2017,"3.007,00",,,"3.007,00","0,00",,,
TKVS,16.11.2017,"3.007,00",,,"3.007,00","0,00",,,
TKVS,17.11.2017,"3.007,00",,,"3.007,00","0,00",,,
TKVS,20.11.2017,"3.007,00",,,"3.007,00","0,00",,,
TKVS,21.11.2017,"3.007,00",,,"3.007,00","0,00",,,
TKVS,22.11.2017,"3.007,00",,,"3.007,00","0,00",,,
TKVS,23.11.2017,"3.007,00",,,"3.007,00","0,00",,,
TKVS,24.11.2017,"3.007,00",,,"3.007,00","0,00",,,
TKVS,27.11.2017,"2.710,00","2.710,00","2.710,00","2.710,00","-9,88",30.0,81.300,81.300
TKVS,28.11.2017,"2.710,00",,,"2.710,00","0,00",,,
TKVS,29.11.2017,"2.710,00",,,"2.710,00","0,00",,,
TKVS,30.11.2017,"2.710,00",,,"2.710,00","0,00",,,
TKVS,01.12.2017,"2.710,00",,,"2.710,00","0,00",,,
TKVS,04.12.2017,"2.710,00",,,"2.710,00","0,00",,,
TKVS,05.12.2017,"2.710,00",,,"2.710,00","0,00",,,
TKVS,06.12.2017,"2.710,00",,,"2.710,00","0,00",,,
TKVS,07.12.2017,"2.710,00",,,"2.710,00","0,00",,,
TKVS,11.12.2017,"2.710,00",,,"2.710,00","0,00",,,
TKVS,12.12.2017,"2.710,00",,,"2.710,00","0,00",,,
TKVS,13.12.2017,"2.710,00",,,"2.710,00","0,00",,,
TKVS,14.12.2017,"2.716,00","2.716,00","2.716,00","2.716,00","0,22",54.0,146.664,146.664
TKVS,15.12.2017,"2.716,00",,,"2.716,00","0,00",,,
TKVS,18.12.2017,"2.716,00",,,"2.716,00","0,00",,,
TKVS,19.12.2017,"2.716,00",,,"2.716,00","0,00",,,
TKVS,20.12.2017,"2.716,00",,,"2.716,00","0,00",,,
TKVS,21.12.2017,"2.716,00",,,"2.716,00","0,00",,,
TKVS,22.12.2017,"2.716,00",,,"2.716,00","0,00",,,
TKVS,25.12.2017,"2.716,00",,,"2.716,00","0,00",,,
TKVS,26.12.2017,"2.716,00",,,"2.716,00","0,00",,,
TKVS,27.12.2017,"2.716,00",,,"2.716,00","0,00",,,
TKVS,28.12.2017,"2.716,00",,,"2.716,00","0,00",,,
TKVS,02.01.2018,"2.716,00",,,"2.716,00","0,00",,,
TKVS,03.01.2018,"2.716,00",,,"2.716,00","0,00",,,
TKVS,04.01.2018,"2.716,00",,,"2.716,00","0,00",,,
TKVS,05.01.2018,"2.716,00",,,"2.716,00","0,00",,,
TKVS,09.01.2018,"2.716,00",,,"2.716,00","0,00",,,
TKVS,10.01.2018,"2.797,00","2.797,00","2.797,00","2.797,00","2,98",159.0,444.723,444.723
TKVS,11.01.2018,"2.797,00",,,"2.797,00","0,00",,,
TKVS,12.01.2018,"2.797,00",,,"2.797,00","0,00",,,
TKVS,15.01.2018,"2.797,00",,,"2.797,00","0,00",,,
TKVS,16.01.2018,"2.797,00",,,"2.797,00","0,00",,,
TKVS,17.01.2018,"3.148,00","3.148,00","3.148,00","3.148,00","12,55",54.0,169.992,169.992
TKVS,18.01.2018,"3.202,00","3.202,00","3.202,00","3.202,00","1,72",20.0,64.040,64.040
TKVS,22.01.2018,"3.106,00","3.106,00","3.106,00","3.106,00","-3,00",10.0,31.060,31.060
TKVS,23.01.2018,"3.106,00",,,"3.106,00","0,00",,,
TKVS,24.01.2018,"3.100,00","3.100,00","3.100,00","3.100,00","-0,19",23.0,71.300,71.300
TKVS,25.01.2018,"3.100,00","3.100,00","3.100,00","3.100,00","0,00",45.0,139.500,139.500
TKVS,26.01.2018,"3.200,00","3.200,00","3.200,00","3.200,00","3,23",60.0,192.000,192.000
TKVS,29.01.2018,"3.200,00",,,"3.200,00","0,00",,,
TKVS,30.01.2018,"3.200,00",,,"3.200,00","0,00",,,
TKVS,31.01.2018,"3.200,00",,,"3.200,00","0,00",,,
TKVS,01.02.2018,"3.200,00",,,"3.200,00","0,00",,,
TKVS,02.02.2018,"3.200,00",,,"3.200,00","0,00",,,
TKVS,05.02.2018,"3.200,00",,,"3.200,00","0,00",,,
TKVS,06.02.2018,"3.110,00","3.110,00","3.110,00","3.110,00","-2,81",76.0,236.360,236.360
TKVS,07.02.2018,"3.110,00",,,"3.110,00","0,00",,,
TKVS,08.02.2018,"3.110,00",,,"3.110,00","0,00",,,
TKVS,09.02.2018,"3.110,00",,,"3.110,00","0,00",,,
TKVS,12.02.2018,"3.020,00","3.020,00","3.020,00","3.020,00","-2,89",17.0,51.340,51.340
TKVS,13.02.2018,"3.020,00",,,"3.020,00","0,00",,,
TKVS,14.02.2018,"3.020,00",,,"3.020,00","0,00",,,
TKVS,15.02.2018,"3.020,00",,,"3.020,00","0,00",,,
TKVS,16.02.2018,"3.020,00",,,"3.020,00","0,00",,,
TKVS,19.02.2018,"3.020,00",,,"3.020,00","0,00",,,
TKVS,20.02.2018,"3.110,00","3.110,00","3.110,00","3.110,00","2,98",250.0,777.500,777.500
TKVS,21.02.2018,"3.100,00","3.100,00","3.100,00","3.100,00","-0,32",20.0,62.000,62.000
TKVS,22.02.2018,"3.100,00",,,"3.100,00","0,00",,,
TKVS,23.02.2018,"3.100,00",,,"3.100,00","0,00",,,
TKVS,26.02.2018,"3.100,00",,,"3.100,00","0,00",,,
TKVS,27.02.2018,"3.100,00",,,"3.100,00","0,00",,,
TKVS,28.02.2018,"3.100,00",,,"3.100,00","0,00",,,
TKVS,01.03.2018,"3.100,00",,,"3.100,00","0,00",,,
TKVS,02.03.2018,"3.100,00",,,"3.100,00","0,00",,,
TKVS,05.03.2018,"3.231,00","3.231,00","3.231,00","3.231,00","4,23",75.0,242.325,242.325
TKVS,06.03.2018,"3.235,00","3.235,00","3.235,00","3.235,00","0,12",16.0,51.760,51.760
TKVS,07.03.2018,"3.332,00","3.332,00","3.332,00","3.332,00","3,00",65.0,216.580,216.580
TKVS,08.03.2018,"3.360,00","3.360,00","3.360,00","3.360,00","0,84",50.0,168.000,168.000
TKVS,09.03.2018,"3.610,00","3.610,00","3.610,00","3.610,00","7,44",39.0,140.790,140.790
TKVS,12.03.2018,"3.700,00","3.700,00","3.700,00","3.700,00","2,49",174.0,643.800,643.800
TKVS,13.03.2018,"4.000,00","4.000,00","4.000,00","4.000,00","8,11",320.0,1.280.000,1.280.000
