Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
TNB,13.11.2014,"5.300,00",,,"5.299,88","0,00",,,
TNB,14.11.2014,"5.301,00","5.458,00","5.301,00","5.314,58","0,28",139.0,738.726,738.726
TNB,17.11.2014,"5.474,00","5.474,00","5.474,00","5.474,00","3,00",4.0,21.896,21.896
TNB,18.11.2014,"5.500,00","5.500,00","5.400,00","5.481,45","0,14",11.0,60.296,60.296
TNB,19.11.2014,"5.310,00","5.310,00","5.310,00","5.310,00","-3,13",70.0,371.700,371.700
TNB,20.11.2014,"5.470,00","5.470,00","5.470,00","5.470,00","3,01",9.0,49.230,49.230
TNB,21.11.2014,"5.470,00",,,"5.470,00","0,00",,,
TNB,24.11.2014,"5.311,00","5.311,00","5.311,00","5.311,00","-2,91",200.0,1.062.200,1.062.200
TNB,25.11.2014,"5.300,00","5.301,00","5.300,00","5.300,25","-0,20",40.0,212.010,212.010
TNB,26.11.2014,"5.300,00","5.300,00","5.300,00","5.300,00","0,00",58.0,307.400,307.400
TNB,27.11.2014,"5.300,00","5.300,00","5.300,00","5.300,00","0,00",38.0,201.400,201.400
TNB,28.11.2014,"5.300,00",,,"5.300,00","0,00",,,
TNB,01.12.2014,"5.300,00",,,"5.300,00","0,00",,,
TNB,02.12.2014,"5.300,00",,,"5.300,00","0,00",,,
TNB,04.12.2014,"5.300,00","5.300,00","5.300,00","5.300,00","0,00",66.0,349.800,349.800
TNB,05.12.2014,"5.300,00","5.300,00","5.300,00","5.300,00","0,00",12.0,63.600,63.600
TNB,09.12.2014,"5.300,00",,,"5.300,00","0,00",,,
TNB,10.12.2014,"5.300,00",,,"5.300,00","0,00",,,
TNB,11.12.2014,"5.300,00",,,"5.300,00","0,00",,,
TNB,12.12.2014,"5.300,00",,,"5.300,00","0,00",,,
TNB,15.12.2014,"5.152,00","5.152,00","5.152,00","5.152,00","-2,79",50.0,257.600,257.600
TNB,16.12.2014,"5.152,00",,,"5.152,00","0,00",,,
TNB,17.12.2014,"5.120,00","5.120,00","5.100,00","5.116,67","-0,69",240.0,1.228.000,1.228.000
TNB,18.12.2014,"5.120,00",,,"5.116,67","0,00",,,
TNB,19.12.2014,"5.120,00",,,"5.116,67","0,00",,,
TNB,22.12.2014,"5.120,00",,,"5.116,67","0,00",,,
TNB,23.12.2014,"5.120,00",,,"5.116,67","0,00",,,
TNB,24.12.2014,"5.120,00",,,"5.116,67","0,00",,,
TNB,25.12.2014,"5.120,00",,,"5.116,67","0,00",,,
TNB,26.12.2014,"5.120,00",,,"5.116,67","0,00",,,
TNB,29.12.2014,"5.150,00","5.150,00","5.120,00","5.122,50","0,11",60.0,307.350,307.350
TNB,30.12.2014,"5.298,00","5.299,00","5.298,00","5.298,50","3,44",10.0,52.985,52.985
TNB,02.01.2015,"5.298,00",,,"5.298,50","0,00",,,
TNB,05.01.2015,"5.400,00","5.400,00","5.299,00","5.349,50","0,96",10.0,53.495,53.495
TNB,08.01.2015,"5.301,00","5.301,00","5.301,00","5.301,00","-0,91",55.0,291.555,291.555
TNB,09.01.2015,"5.301,00",,,"5.301,00","0,00",,,
TNB,12.01.2015,"5.350,00","5.350,00","5.350,00","5.350,00","0,92",5.0,26.750,26.750
TNB,13.01.2015,"5.350,00",,,"5.350,00","0,00",,,
TNB,14.01.2015,"5.350,00",,,"5.350,00","0,00",,,
TNB,15.01.2015,"5.300,00","5.300,00","5.300,00","5.300,00","-0,93",15.0,79.500,79.500
TNB,16.01.2015,"5.350,00","5.350,00","5.300,00","5.316,67","0,31",30.0,159.500,159.500
TNB,20.01.2015,"5.350,00",,,"5.316,67","0,00",,,
TNB,21.01.2015,"5.350,00",,,"5.316,67","0,00",,,
TNB,22.01.2015,"5.350,00","5.350,00","5.350,00","5.350,00","0,63",94.0,502.900,502.900
TNB,23.01.2015,"5.400,00","5.450,00","5.400,00","5.401,46","0,96",103.0,556.350,556.350
TNB,26.01.2015,"5.400,00",,,"5.401,46","0,00",,,
TNB,27.01.2015,"5.400,00",,,"5.401,46","0,00",,,
TNB,28.01.2015,"5.400,00","5.400,00","5.350,00","5.388,97","-0,23",68.0,366.450,366.450
TNB,29.01.2015,"5.450,00","5.450,00","5.410,00","5.423,33","0,64",75.0,406.750,406.750
TNB,30.01.2015,"5.450,00",,,"5.423,33","0,00",,,
TNB,02.02.2015,"5.450,00","5.450,00","5.450,00","5.450,00","0,49",92.0,501.400,501.400
TNB,03.02.2015,"5.450,00",,,"5.450,00","0,00",,,
TNB,04.02.2015,"5.450,00","5.450,00","5.450,00","5.450,00","0,00",50.0,272.500,272.500
TNB,05.02.2015,"5.450,00",,,"5.450,00","0,00",,,
TNB,06.02.2015,"5.450,00",,,"5.450,00","0,00",,,
TNB,09.02.2015,"5.450,00","5.450,00","5.450,00","5.450,00","0,00",435.0,2.370.750,2.370.750
TNB,10.02.2015,"5.450,00",,,"5.450,00","0,00",,,
TNB,11.02.2015,"5.450,00","5.450,00","5.450,00","5.450,00","0,00",60.0,327.000,327.000
TNB,12.02.2015,"5.450,00",,,"5.450,00","0,00",,,
TNB,13.02.2015,"5.450,00",,,"5.450,00","0,00",,,
