Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
TRDB,13.11.2014,,,,,,,,
TRDB,14.11.2014,,,,,,,,
TRDB,17.11.2014,,,,,,,,
TRDB,18.11.2014,,,,,,,,
TRDB,19.11.2014,,,,,,,,
TRDB,20.11.2014,,,,,,,,
TRDB,21.11.2014,,,,,,,,
TRDB,24.11.2014,,,,,,,,
TRDB,25.11.2014,,,,,,,,
TRDB,26.11.2014,,,,,,,,
TRDB,27.11.2014,,,,,,,,
TRDB,28.11.2014,,,,,,,,
TRDB,01.12.2014,,,,,,,,
TRDB,02.12.2014,,,,,,,,
TRDB,04.12.2014,,,,,,,,
TRDB,05.12.2014,,,,,,,,
TRDB,09.12.2014,,,,,,,,
TRDB,10.12.2014,,,,,,,,
TRDB,11.12.2014,,,,,,,,
TRDB,12.12.2014,,,,,,,,
TRDB,15.12.2014,,,,,,,,
TRDB,16.12.2014,,,,,,,,
TRDB,17.12.2014,,,,,,,,
TRDB,18.12.2014,,,,,,,,
TRDB,19.12.2014,,,,,,,,
TRDB,22.12.2014,,,,,,,,
TRDB,23.12.2014,,,,,,,,
TRDB,24.12.2014,,,,,,,,
TRDB,25.12.2014,,,,,,,,
TRDB,26.12.2014,,,,,,,,
TRDB,29.12.2014,,,,,,,,
TRDB,30.12.2014,,,,,,,,
TRDB,02.01.2015,,,,,,,,
TRDB,05.01.2015,,,,,,,,
TRDB,08.01.2015,,,,,,,,
TRDB,09.01.2015,,,,,,,,
TRDB,12.01.2015,,,,,,,,
TRDB,13.01.2015,,,,,,,,
TRDB,14.01.2015,,,,,,,,
TRDB,15.01.2015,,,,,,,,
TRDB,16.01.2015,,,,,,,,
TRDB,20.01.2015,,,,,,,,
TRDB,21.01.2015,,,,,,,,
TRDB,22.01.2015,,,,,,,,
TRDB,23.01.2015,,,,,,,,
TRDB,26.01.2015,,,,,,,,
TRDB,27.01.2015,,,,,,,,
TRDB,28.01.2015,,,,,,,,
TRDB,29.01.2015,,,,,,,,
TRDB,30.01.2015,,,,,,,,
TRDB,02.02.2015,,,,,,,,
TRDB,03.02.2015,,,,,,,,
TRDB,04.02.2015,,,,,,,,
TRDB,05.02.2015,,,,,,,,
TRDB,06.02.2015,,,,,,,,
TRDB,09.02.2015,,,,,,,,
TRDB,10.02.2015,,,,,,,,
TRDB,11.02.2015,,,,,,,,
TRDB,12.02.2015,,,,,,,,
TRDB,13.02.2015,,,,,,,,
TRDB,16.02.2015,,,,,,,,
TRDB,17.02.2015,,,,,,,,
TRDB,18.02.2015,,,,,,,,
TRDB,19.02.2015,,,,,,,,
TRDB,20.02.2015,,,,,,,,
TRDB,23.02.2015,,,,,,,,
TRDB,24.02.2015,,,,,,,,
TRDB,25.02.2015,,,,,,,,
TRDB,26.02.2015,,,,,,,,
TRDB,27.02.2015,,,,,,,,
TRDB,02.03.2015,,,,,,,,
TRDB,03.03.2015,,,,,,,,
TRDB,04.03.2015,,,,,,,,
TRDB,05.03.2015,,,,,,,,
TRDB,06.03.2015,,,,,,,,
TRDB,09.03.2015,,,,,,,,
TRDB,10.03.2015,,,,,,,,
TRDB,11.03.2015,,,,,,,,
TRDB,12.03.2015,,,,,,,,
TRDB,13.03.2015,,,,,,,,
TRDB,16.03.2015,,,,,,,,
TRDB,17.03.2015,,,,,,,,
TRDB,18.03.2015,,,,,,,,
TRDB,19.03.2015,,,,,,,,
TRDB,20.03.2015,,,,,,,,
TRDB,23.03.2015,,,,,,,,
TRDB,24.03.2015,,,,,,,,
TRDB,25.03.2015,,,,,,,,
TRDB,26.03.2015,,,,,,,,
TRDB,27.03.2015,,,,,,,,
TRDB,30.03.2015,,,,,,,,
TRDB,31.03.2015,,,,,,,,
TRDB,01.04.2015,,,,,,,,
TRDB,02.04.2015,,,,,,,,
TRDB,03.04.2015,,,,,,,,
TRDB,06.04.2015,,,,,,,,
TRDB,07.04.2015,,,,,,,,
TRDB,08.04.2015,,,,,,,,
TRDB,09.04.2015,,,,,,,,
TRDB,14.04.2015,,,,,,,,
TRDB,15.04.2015,,,,,,,,
TRDB,16.04.2015,,,,,,,,
TRDB,17.04.2015,,,,,,,,
TRDB,20.04.2015,,,,,,,,
TRDB,21.04.2015,,,,,,,,
TRDB,22.04.2015,,,,,,,,
TRDB,23.04.2015,,,,,,,,
TRDB,24.04.2015,,,,,,,,
TRDB,27.04.2015,,,,,,,,
TRDB,28.04.2015,,,,,,,,
TRDB,29.04.2015,,,,,,,,
TRDB,30.04.2015,,,,,,,,
TRDB,04.05.2015,,,,,,,,
TRDB,05.05.2015,,,,,,,,
TRDB,06.05.2015,,,,,,,,
TRDB,07.05.2015,,,,,,,,
TRDB,08.05.2015,,,,,,,,
TRDB,11.05.2015,,,,,,,,
TRDB,12.05.2015,,,,,,,,
TRDB,13.05.2015,,,,,,,,
TRDB,14.05.2015,,,,,,,,
TRDB,15.05.2015,,,,,,,,
TRDB,18.05.2015,,,,,,,,
TRDB,19.05.2015,,,,,,,,
TRDB,20.05.2015,,,,,,,,
TRDB,21.05.2015,,,,,,,,
TRDB,22.05.2015,,,,,,,,
TRDB,26.05.2015,,,,,,,,
TRDB,27.05.2015,,,,,,,,
TRDB,28.05.2015,,,,,,,,
TRDB,01.06.2015,,,,,,,,
TRDB,02.06.2015,,,,,,,,
TRDB,03.06.2015,,,,,,,,
TRDB,04.06.2015,,,,,,,,
TRDB,05.06.2015,,,,,,,,
TRDB,08.06.2015,,,,,,,,
TRDB,09.06.2015,,,,,,,,
TRDB,10.06.2015,,,,,,,,
TRDB,11.06.2015,,,,,,,,
TRDB,12.06.2015,,,,,,,,
TRDB,15.06.2015,,,,,,,,
TRDB,16.06.2015,,,,,,,,
TRDB,17.06.2015,,,,,,,,
TRDB,18.06.2015,,,,,,,,
TRDB,19.06.2015,,,,,,,,
