Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
TRPS,13.11.2014,"1.000,00",,,"1.000,00","0,00",,,
TRPS,14.11.2014,"1.000,00",,,"1.000,00","0,00",,,
TRPS,17.11.2014,"1.000,00",,,"1.000,00","0,00",,,
TRPS,18.11.2014,"1.000,00",,,"1.000,00","0,00",,,
TRPS,19.11.2014,"1.000,00",,,"1.000,00","0,00",,,
TRPS,20.11.2014,"1.000,00",,,"1.000,00","0,00",,,
TRPS,21.11.2014,"1.000,00",,,"1.000,00","0,00",,,
TRPS,24.11.2014,"1.000,00",,,"1.000,00","0,00",,,
TRPS,25.11.2014,"1.000,00",,,"1.000,00","0,00",,,
TRPS,26.11.2014,"1.000,00",,,"1.000,00","0,00",,,
TRPS,27.11.2014,"1.000,00",,,"1.000,00","0,00",,,
TRPS,28.11.2014,"1.000,00",,,"1.000,00","0,00",,,
TRPS,01.12.2014,"1.000,00",,,"1.000,00","0,00",,,
TRPS,02.12.2014,"1.000,00",,,"1.000,00","0,00",,,
TRPS,04.12.2014,"1.000,00",,,"1.000,00","0,00",,,
TRPS,05.12.2014,"1.000,00",,,"1.000,00","0,00",,,
TRPS,09.12.2014,"1.000,00",,,"1.000,00","0,00",,,
TRPS,10.12.2014,"1.000,00",,,"1.000,00","0,00",,,
TRPS,11.12.2014,"1.000,00",,,"1.000,00","0,00",,,
TRPS,12.12.2014,"1.000,00",,,"1.000,00","0,00",,,
TRPS,15.12.2014,"1.000,00",,,"1.000,00","0,00",,,
TRPS,16.12.2014,"1.000,00",,,"1.000,00","0,00",,,
TRPS,17.12.2014,"1.000,00",,,"1.000,00","0,00",,,
TRPS,18.12.2014,"1.000,00",,,"1.000,00","0,00",,,
TRPS,19.12.2014,"1.000,00",,,"1.000,00","0,00",,,
TRPS,22.12.2014,"1.000,00",,,"1.000,00","0,00",,,
TRPS,23.12.2014,"1.000,00",,,"1.000,00","0,00",,,
TRPS,24.12.2014,"1.000,00",,,"1.000,00","0,00",,,
TRPS,25.12.2014,"1.000,00",,,"1.000,00","0,00",,,
TRPS,26.12.2014,"1.000,00",,,"1.000,00","0,00",,,
TRPS,29.12.2014,"1.000,00",,,"1.000,00","0,00",,,
TRPS,30.12.2014,"1.000,00",,,"1.000,00","0,00",,,
TRPS,02.01.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,05.01.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,08.01.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,09.01.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,12.01.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,13.01.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,14.01.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,15.01.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,16.01.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,20.01.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,21.01.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,22.01.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,23.01.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,26.01.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,27.01.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,28.01.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,29.01.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,30.01.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,02.02.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,03.02.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,04.02.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,05.02.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,06.02.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,09.02.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,10.02.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,11.02.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,12.02.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,13.02.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,16.02.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,17.02.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,18.02.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,19.02.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,20.02.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,23.02.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,24.02.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,25.02.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,26.02.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,27.02.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,02.03.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,03.03.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,04.03.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,05.03.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,06.03.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,09.03.2015,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",54.0,54.0,54.0
TRPS,10.03.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,11.03.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,12.03.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,13.03.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,16.03.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,17.03.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,18.03.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,19.03.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,20.03.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,23.03.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,24.03.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,25.03.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,26.03.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,27.03.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,30.03.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,31.03.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,01.04.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,02.04.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,03.04.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,06.04.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,07.04.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,08.04.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,09.04.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,14.04.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,15.04.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,16.04.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,17.04.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,20.04.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,21.04.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,22.04.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,23.04.2015,"1.000,00",,,"1.000,00","0,00",,,
TRPS,24.04.2015,"1.000,00",,,"1.000,00","0,00",,,
