Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
TRUB,13.11.2014,"100,00",,,"100,00","0,00",,,
TRUB,14.11.2014,"100,00",,,"100,00","0,00",,,
TRUB,17.11.2014,"100,00",,,"100,00","0,00",,,
TRUB,18.11.2014,"100,00",,,"100,00","0,00",,,
TRUB,19.11.2014,"100,00",,,"100,00","0,00",,,
TRUB,20.11.2014,"100,00",,,"100,00","0,00",,,
TRUB,21.11.2014,"100,00",,,"100,00","0,00",,,
TRUB,24.11.2014,"100,00",,,"100,00","0,00",,,
TRUB,25.11.2014,"100,00",,,"100,00","0,00",,,
TRUB,26.11.2014,"100,00",,,"100,00","0,00",,,
TRUB,27.11.2014,"100,00",,,"100,00","0,00",,,
TRUB,28.11.2014,"100,00",,,"100,00","0,00",,,
TRUB,01.12.2014,"100,00",,,"100,00","0,00",,,
TRUB,02.12.2014,"100,00",,,"100,00","0,00",,,
TRUB,04.12.2014,"100,00",,,"100,00","0,00",,,
TRUB,05.12.2014,"100,00",,,"100,00","0,00",,,
TRUB,09.12.2014,"100,00",,,"100,00","0,00",,,
TRUB,10.12.2014,"100,00",,,"100,00","0,00",,,
TRUB,11.12.2014,"100,00",,,"100,00","0,00",,,
TRUB,12.12.2014,"100,00",,,"100,00","0,00",,,
TRUB,15.12.2014,"100,00",,,"100,00","0,00",,,
TRUB,16.12.2014,"100,00",,,"100,00","0,00",,,
TRUB,17.12.2014,"100,00",,,"100,00","0,00",,,
TRUB,18.12.2014,"100,00",,,"100,00","0,00",,,
TRUB,19.12.2014,"100,00",,,"100,00","0,00",,,
TRUB,22.12.2014,"100,00",,,"100,00","0,00",,,
TRUB,23.12.2014,"100,00",,,"100,00","0,00",,,
TRUB,24.12.2014,"100,00",,,"100,00","0,00",,,
TRUB,25.12.2014,"100,00",,,"100,00","0,00",,,
TRUB,26.12.2014,"100,00",,,"100,00","0,00",,,
TRUB,29.12.2014,"100,00",,,"100,00","0,00",,,
TRUB,30.12.2014,"100,00",,,"100,00","0,00",,,
TRUB,02.01.2015,"100,00",,,"100,00","0,00",,,
TRUB,05.01.2015,"100,00",,,"100,00","0,00",,,
TRUB,08.01.2015,"100,00",,,"100,00","0,00",,,
TRUB,09.01.2015,"100,00",,,"100,00","0,00",,,
TRUB,12.01.2015,"100,00",,,"100,00","0,00",,,
TRUB,13.01.2015,"100,00",,,"100,00","0,00",,,
TRUB,14.01.2015,"100,00",,,"100,00","0,00",,,
TRUB,15.01.2015,"100,00",,,"100,00","0,00",,,
TRUB,16.01.2015,"100,00",,,"100,00","0,00",,,
TRUB,20.01.2015,"100,00",,,"100,00","0,00",,,
TRUB,21.01.2015,"100,00",,,"100,00","0,00",,,
TRUB,22.01.2015,"100,00",,,"100,00","0,00",,,
