Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
TSZS,13.11.2014,"377,00",,,"377,00","0,00",,,
TSZS,14.11.2014,"377,00",,,"377,00","0,00",,,
TSZS,17.11.2014,"377,00",,,"377,00","0,00",,,
TSZS,18.11.2014,"377,00",,,"377,00","0,00",,,
TSZS,19.11.2014,"377,00",,,"377,00","0,00",,,
TSZS,20.11.2014,"377,00",,,"377,00","0,00",,,
TSZS,21.11.2014,"377,00",,,"377,00","0,00",,,
TSZS,24.11.2014,"377,00",,,"377,00","0,00",,,
TSZS,25.11.2014,"377,00",,,"377,00","0,00",,,
TSZS,26.11.2014,"377,00",,,"377,00","0,00",,,
TSZS,27.11.2014,"377,00",,,"377,00","0,00",,,
TSZS,28.11.2014,"377,00",,,"377,00","0,00",,,
TSZS,01.12.2014,"377,00",,,"377,00","0,00",,,
TSZS,02.12.2014,"377,00",,,"377,00","0,00",,,
TSZS,04.12.2014,"377,00",,,"377,00","0,00",,,
TSZS,05.12.2014,"377,00",,,"377,00","0,00",,,
TSZS,09.12.2014,"377,00",,,"377,00","0,00",,,
TSZS,10.12.2014,"377,00",,,"377,00","0,00",,,
TSZS,11.12.2014,"377,00",,,"377,00","0,00",,,
TSZS,12.12.2014,"377,00",,,"377,00","0,00",,,
TSZS,15.12.2014,"377,00",,,"377,00","0,00",,,
TSZS,16.12.2014,"377,00",,,"377,00","0,00",,,
TSZS,17.12.2014,"377,00",,,"377,00","0,00",,,
TSZS,18.12.2014,"377,00",,,"377,00","0,00",,,
TSZS,19.12.2014,"377,00",,,"377,00","0,00",,,
TSZS,22.12.2014,"377,00",,,"377,00","0,00",,,
TSZS,23.12.2014,"377,00",,,"377,00","0,00",,,
TSZS,24.12.2014,"377,00",,,"377,00","0,00",,,
TSZS,25.12.2014,"377,00",,,"377,00","0,00",,,
TSZS,26.12.2014,"377,00",,,"377,00","0,00",,,
TSZS,29.12.2014,"377,00",,,"377,00","0,00",,,
TSZS,30.12.2014,"377,00",,,"377,00","0,00",,,
TSZS,02.01.2015,"377,00",,,"377,00","0,00",,,
TSZS,05.01.2015,"377,00",,,"377,00","0,00",,,
TSZS,08.01.2015,"377,00",,,"377,00","0,00",,,
TSZS,09.01.2015,"377,00",,,"377,00","0,00",,,
TSZS,12.01.2015,"377,00",,,"377,00","0,00",,,
TSZS,13.01.2015,"377,00",,,"377,00","0,00",,,
TSZS,14.01.2015,"377,00",,,"377,00","0,00",,,
TSZS,15.01.2015,"377,00",,,"377,00","0,00",,,
TSZS,16.01.2015,"377,00",,,"377,00","0,00",,,
TSZS,20.01.2015,"377,00",,,"377,00","0,00",,,
TSZS,21.01.2015,"377,00",,,"377,00","0,00",,,
TSZS,22.01.2015,"377,00",,,"377,00","0,00",,,
TSZS,23.01.2015,"377,00",,,"377,00","0,00",,,
TSZS,26.01.2015,"377,00",,,"377,00","0,00",,,
TSZS,27.01.2015,"377,00",,,"377,00","0,00",,,
TSZS,28.01.2015,"377,00",,,"377,00","0,00",,,
TSZS,29.01.2015,"377,00",,,"377,00","0,00",,,
TSZS,30.01.2015,"377,00",,,"377,00","0,00",,,
TSZS,02.02.2015,"377,00",,,"377,00","0,00",,,
TSZS,03.02.2015,"377,00",,,"377,00","0,00",,,
TSZS,04.02.2015,"377,00",,,"377,00","0,00",,,
TSZS,05.02.2015,"377,00",,,"377,00","0,00",,,
TSZS,06.02.2015,"377,00",,,"377,00","0,00",,,
TSZS,09.02.2015,"377,00",,,"377,00","0,00",,,
TSZS,10.02.2015,"377,00",,,"377,00","0,00",,,
TSZS,11.02.2015,"377,00",,,"377,00","0,00",,,
TSZS,12.02.2015,"377,00",,,"377,00","0,00",,,
TSZS,13.02.2015,"377,00",,,"377,00","0,00",,,
TSZS,16.02.2015,"377,00",,,"377,00","0,00",,,
TSZS,17.02.2015,"377,00",,,"377,00","0,00",,,
TSZS,18.02.2015,"377,00",,,"377,00","0,00",,,
TSZS,19.02.2015,"377,00",,,"377,00","0,00",,,
TSZS,20.02.2015,"377,00",,,"377,00","0,00",,,
TSZS,23.02.2015,"377,00",,,"377,00","0,00",,,
TSZS,24.02.2015,"377,00",,,"377,00","0,00",,,
TSZS,25.02.2015,"377,00",,,"377,00","0,00",,,
TSZS,26.02.2015,"377,00",,,"377,00","0,00",,,
TSZS,27.02.2015,"377,00",,,"377,00","0,00",,,
TSZS,02.03.2015,"377,00",,,"377,00","0,00",,,
TSZS,03.03.2015,"377,00",,,"377,00","0,00",,,
TSZS,04.03.2015,"377,00",,,"377,00","0,00",,,
TSZS,05.03.2015,"377,00",,,"377,00","0,00",,,
TSZS,06.03.2015,"377,00",,,"377,00","0,00",,,
TSZS,09.03.2015,"377,00",,,"377,00","0,00",,,
TSZS,10.03.2015,"377,00",,,"377,00","0,00",,,
TSZS,11.03.2015,"377,00",,,"377,00","0,00",,,
TSZS,12.03.2015,"377,00",,,"377,00","0,00",,,
TSZS,13.03.2015,"377,00",,,"377,00","0,00",,,
TSZS,16.03.2015,"377,00",,,"377,00","0,00",,,
TSZS,17.03.2015,"377,00",,,"377,00","0,00",,,
TSZS,18.03.2015,"377,00",,,"377,00","0,00",,,
TSZS,19.03.2015,"377,00",,,"377,00","0,00",,,
TSZS,20.03.2015,"377,00",,,"377,00","0,00",,,
TSZS,23.03.2015,"377,00",,,"377,00","0,00",,,
TSZS,24.03.2015,"377,00",,,"377,00","0,00",,,
TSZS,25.03.2015,"377,00",,,"377,00","0,00",,,
TSZS,26.03.2015,"377,00",,,"377,00","0,00",,,
TSZS,27.03.2015,"377,00",,,"377,00","0,00",,,
TSZS,30.03.2015,"377,00",,,"377,00","0,00",,,
TSZS,31.03.2015,"377,00",,,"377,00","0,00",,,
TSZS,01.04.2015,"377,00",,,"377,00","0,00",,,
TSZS,02.04.2015,"377,00",,,"377,00","0,00",,,
TSZS,03.04.2015,"377,00",,,"377,00","0,00",,,
TSZS,06.04.2015,"377,00",,,"377,00","0,00",,,
TSZS,07.04.2015,"377,00",,,"377,00","0,00",,,
TSZS,08.04.2015,"377,00",,,"377,00","0,00",,,
TSZS,09.04.2015,"377,00",,,"377,00","0,00",,,
TSZS,14.04.2015,"377,00",,,"377,00","0,00",,,
TSZS,15.04.2015,"377,00",,,"377,00","0,00",,,
TSZS,16.04.2015,"377,00",,,"377,00","0,00",,,
TSZS,17.04.2015,"377,00",,,"377,00","0,00",,,
TSZS,20.04.2015,"377,00",,,"377,00","0,00",,,
