Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
TTK,13.11.2014,"709,00",,,"709,00","0,00",,,
TTK,14.11.2014,"709,00",,,"709,00","0,00",,,
TTK,17.11.2014,"709,00",,,"709,00","0,00",,,
TTK,18.11.2014,"709,00",,,"709,00","0,00",,,
TTK,19.11.2014,"700,00","700,00","700,00","700,00","-1,27",80.0,56.000,56.000
TTK,20.11.2014,"700,00",,,"700,00","0,00",,,
TTK,21.11.2014,"700,00",,,"700,00","0,00",,,
TTK,24.11.2014,"700,00",,,"700,00","0,00",,,
TTK,25.11.2014,"700,00",,,"700,00","0,00",,,
TTK,26.11.2014,"700,00",,,"700,00","0,00",,,
TTK,27.11.2014,"700,00",,,"700,00","0,00",,,
TTK,28.11.2014,"700,00",,,"700,00","0,00",,,
TTK,01.12.2014,"700,00",,,"700,00","0,00",,,
TTK,02.12.2014,"700,00",,,"700,00","0,00",,,
TTK,04.12.2014,"700,00",,,"700,00","0,00",,,
TTK,05.12.2014,"700,00",,,"700,00","0,00",,,
TTK,09.12.2014,"700,00",,,"700,00","0,00",,,
TTK,10.12.2014,"700,00",,,"700,00","0,00",,,
TTK,11.12.2014,"700,00",,,"700,00","0,00",,,
TTK,12.12.2014,"700,00",,,"700,00","0,00",,,
TTK,15.12.2014,"700,00",,,"700,00","0,00",,,
TTK,16.12.2014,"700,00",,,"700,00","0,00",,,
TTK,17.12.2014,"700,00",,,"700,00","0,00",,,
TTK,18.12.2014,"700,00",,,"700,00","0,00",,,
TTK,19.12.2014,"700,00",,,"700,00","0,00",,,
TTK,22.12.2014,"700,00",,,"700,00","0,00",,,
TTK,23.12.2014,"700,00",,,"700,00","0,00",,,
TTK,24.12.2014,"700,00",,,"700,00","0,00",,,
TTK,25.12.2014,"700,00",,,"700,00","0,00",,,
TTK,26.12.2014,"700,00",,,"700,00","0,00",,,
TTK,29.12.2014,"700,00",,,"700,00","0,00",,,
TTK,30.12.2014,"700,00",,,"700,00","0,00",,,
TTK,02.01.2015,"700,00",,,"700,00","0,00",,,
TTK,05.01.2015,"700,00",,,"700,00","0,00",,,
TTK,08.01.2015,"700,00",,,"700,00","0,00",,,
TTK,09.01.2015,"700,00",,,"700,00","0,00",,,
TTK,12.01.2015,"700,00",,,"700,00","0,00",,,
TTK,13.01.2015,"700,00",,,"700,00","0,00",,,
TTK,14.01.2015,"700,00",,,"700,00","0,00",,,
TTK,15.01.2015,"700,00",,,"700,00","0,00",,,
TTK,16.01.2015,"700,00",,,"700,00","0,00",,,
TTK,20.01.2015,"700,00",,,"700,00","0,00",,,
TTK,21.01.2015,"700,00",,,"700,00","0,00",,,
TTK,22.01.2015,"650,00","650,00","650,00","650,00","-7,14",96.0,62.400,62.400
TTK,23.01.2015,"650,00",,,"650,00","0,00",,,
TTK,26.01.2015,"650,00",,,"650,00","0,00",,,
TTK,27.01.2015,"650,00",,,"650,00","0,00",,,
TTK,28.01.2015,"650,00",,,"650,00","0,00",,,
TTK,29.01.2015,"650,00",,,"650,00","0,00",,,
TTK,30.01.2015,"650,00","650,00","650,00","650,00","0,00",32.0,20.800,20.800
TTK,02.02.2015,"650,00",,,"650,00","0,00",,,
TTK,03.02.2015,"631,00","631,00","631,00","631,00","-2,92",893.0,563.483,563.483
TTK,04.02.2015,"631,00",,,"631,00","0,00",,,
TTK,05.02.2015,"631,00",,,"631,00","0,00",,,
TTK,06.02.2015,"631,00",,,"631,00","0,00",,,
TTK,09.02.2015,"631,00",,,"631,00","0,00",,,
TTK,10.02.2015,"631,00",,,"631,00","0,00",,,
TTK,11.02.2015,"631,00","631,00","631,00","631,00","0,00",83.0,52.373,52.373
TTK,12.02.2015,"631,00",,,"631,00","0,00",,,
TTK,13.02.2015,"631,00",,,"631,00","0,00",,,
TTK,16.02.2015,"631,00",,,"631,00","0,00",,,
TTK,17.02.2015,"631,00",,,"631,00","0,00",,,
TTK,18.02.2015,"600,00","600,00","600,00","600,00","-4,91",67.0,40.200,40.200
TTK,19.02.2015,"600,00","600,00","600,00","600,00","0,00",120.0,72.000,72.000
TTK,20.02.2015,"600,00",,,"600,00","0,00",,,
TTK,23.02.2015,"582,00","582,00","582,00","582,00","-3,00",100.0,58.200,58.200
TTK,24.02.2015,"582,00",,,"582,00","0,00",,,
TTK,25.02.2015,"582,00",,,"582,00","0,00",,,
TTK,26.02.2015,"582,00",,,"582,00","0,00",,,
TTK,27.02.2015,"582,00",,,"582,00","0,00",,,
TTK,02.03.2015,"565,00","565,00","565,00","565,00","-2,92",100.0,56.500,56.500
TTK,03.03.2015,"565,00","565,00","565,00","565,00","0,00",35.0,19.775,19.775
TTK,04.03.2015,"565,00",,,"565,00","0,00",,,
TTK,05.03.2015,"565,00",,,"565,00","0,00",,,
TTK,06.03.2015,"565,00",,,"565,00","0,00",,,
TTK,09.03.2015,"565,00",,,"565,00","0,00",,,
TTK,10.03.2015,"565,00",,,"565,00","0,00",,,
TTK,11.03.2015,"565,00",,,"565,00","0,00",,,
TTK,12.03.2015,"565,00",,,"565,00","0,00",,,
TTK,13.03.2015,"565,00",,,"565,00","0,00",,,
TTK,16.03.2015,"565,00",,,"565,00","0,00",,,
TTK,17.03.2015,"565,00",,,"565,00","0,00",,,
TTK,18.03.2015,"565,00","565,00","565,00","565,00","0,00",7.0,3.955,3.955
TTK,19.03.2015,"565,00",,,"565,00","0,00",,,
TTK,20.03.2015,"565,00","565,00","565,00","565,00","0,00",55.0,31.075,31.075
TTK,23.03.2015,"565,00",,,"565,00","0,00",,,
TTK,24.03.2015,"565,00","565,00","565,00","565,00","0,00",91.0,51.415,51.415
TTK,25.03.2015,"485,00","485,00","485,00","485,00","-14,16",57.0,27.645,27.645
TTK,26.03.2015,"485,00",,,"485,00","0,00",,,
TTK,27.03.2015,"485,00",,,"485,00","0,00",,,
TTK,30.03.2015,"485,00",,,"485,00","0,00",,,
TTK,31.03.2015,"485,00",,,"485,00","0,00",,,
TTK,01.04.2015,"485,00",,,"485,00","0,00",,,
TTK,02.04.2015,"485,00",,,"485,00","0,00",,,
TTK,03.04.2015,"485,00","485,00","485,00","485,00","0,00",344.0,166.840,166.840
TTK,06.04.2015,"485,00",,,"485,00","0,00",,,
TTK,07.04.2015,"485,00",,,"485,00","0,00",,,
TTK,08.04.2015,"471,00","471,00","471,00","471,00","-2,89",95.0,44.745,44.745
TTK,09.04.2015,"471,00",,,"471,00","0,00",,,
TTK,14.04.2015,"471,00",,,"471,00","0,00",,,
TTK,15.04.2015,"471,00",,,"471,00","0,00",,,
TTK,16.04.2015,"471,00","471,00","471,00","471,00","0,00",59.0,27.789,27.789
TTK,17.04.2015,"471,00",,,"471,00","0,00",,,
TTK,20.04.2015,"471,00",,,"471,00","0,00",,,
TTK,21.04.2015,"471,00",,,"471,00","0,00",,,
TTK,22.04.2015,"471,00",,,"471,00","0,00",,,
TTK,23.04.2015,"471,00",,,"471,00","0,00",,,
TTK,24.04.2015,"471,00",,,"471,00","0,00",,,
TTK,27.04.2015,"471,00",,,"471,00","0,00",,,
TTK,28.04.2015,"471,00",,,"471,00","0,00",,,
TTK,29.04.2015,"471,00",,,"471,00","0,00",,,
TTK,30.04.2015,"471,00",,,"471,00","0,00",,,
TTK,04.05.2015,"471,00",,,"471,00","0,00",,,
TTK,05.05.2015,"471,00",,,"471,00","0,00",,,
TTK,06.05.2015,"471,00",,,"471,00","0,00",,,
TTK,07.05.2015,"490,00","490,00","490,00","490,00","4,03",1.118,547.820,547.820
TTK,08.05.2015,"490,00",,,"490,00","0,00",,,
TTK,11.05.2015,"490,00","490,00","490,00","490,00","0,00",35.0,17.150,17.150
TTK,12.05.2015,"490,00",,,"490,00","0,00",,,
TTK,13.05.2015,"490,00",,,"490,00","0,00",,,
TTK,14.05.2015,"490,00",,,"490,00","0,00",,,
TTK,15.05.2015,"490,00",,,"490,00","0,00",,,
TTK,18.05.2015,"490,00",,,"490,00","0,00",,,
TTK,19.05.2015,"490,00",,,"490,00","0,00",,,
TTK,20.05.2015,"490,00",,,"490,00","0,00",,,
TTK,21.05.2015,"490,00",,,"490,00","0,00",,,
TTK,22.05.2015,"490,00",,,"490,00","0,00",,,
TTK,26.05.2015,"490,00",,,"490,00","0,00",,,
TTK,27.05.2015,"490,00",,,"490,00","0,00",,,
TTK,28.05.2015,"490,00",,,"490,00","0,00",,,
TTK,01.06.2015,"490,00",,,"490,00","0,00",,,
TTK,02.06.2015,"490,00",,,"490,00","0,00",,,
TTK,03.06.2015,"490,00",,,"490,00","0,00",,,
TTK,04.06.2015,"490,00",,,"490,00","0,00",,,
TTK,05.06.2015,"490,00",,,"490,00","0,00",,,14.122.240
TTK,08.06.2015,"490,00","490,00","490,00","490,00","0,00",44.0,21.560,21.560
TTK,09.06.2015,"490,00",,,"490,00","0,00",,,
TTK,10.06.2015,"490,00",,,"490,00","0,00",,,
TTK,11.06.2015,"490,00",,,"490,00","0,00",,,
TTK,12.06.2015,"490,00",,,"490,00","0,00",,,
TTK,15.06.2015,"490,00",,,"490,00","0,00",,,
TTK,16.06.2015,"490,00",,,"490,00","0,00",,,
TTK,17.06.2015,"490,00",,,"490,00","0,00",,,
TTK,18.06.2015,"490,00",,,"490,00","0,00",,,
TTK,19.06.2015,"490,00",,,"490,00","0,00",,,
TTK,22.06.2015,"490,00",,,"490,00","0,00",,,
TTK,23.06.2015,"490,00",,,"490,00","0,00",,,
TTK,24.06.2015,"490,00",,,"490,00","0,00",,,
TTK,25.06.2015,"490,00",,,"490,00","0,00",,,
TTK,26.06.2015,"490,00",,,"490,00","0,00",,,
TTK,29.06.2015,"490,00",,,"490,00","0,00",,,
TTK,30.06.2015,"490,00",,,"490,00","0,00",,,
TTK,01.07.2015,"490,00",,,"490,00","0,00",,,
TTK,02.07.2015,"490,00",,,"490,00","0,00",,,
TTK,03.07.2015,"490,00",,,"490,00","0,00",,,
TTK,06.07.2015,"490,00",,,"490,00","0,00",,,
TTK,07.07.2015,"490,00",,,"490,00","0,00",,,
TTK,08.07.2015,"490,00",,,"490,00","0,00",,,
TTK,09.07.2015,"490,00",,,"490,00","0,00",,,
TTK,10.07.2015,"490,00",,,"490,00","0,00",,,
TTK,13.07.2015,"490,00",,,"490,00","0,00",,,
TTK,14.07.2015,"490,00",,,"490,00","0,00",,,
TTK,15.07.2015,"490,00",,,"490,00","0,00",,,
TTK,16.07.2015,"490,00",,,"490,00","0,00",,,
TTK,20.07.2015,"490,00",,,"490,00","0,00",,,
TTK,21.07.2015,"490,00",,,"490,00","0,00",,,
TTK,22.07.2015,"490,00",,,"490,00","0,00",,,
TTK,23.07.2015,"490,00",,,"490,00","0,00",,,
TTK,24.07.2015,"490,00",,,"490,00","0,00",,,
TTK,27.07.2015,"490,00",,,"490,00","0,00",,,
TTK,28.07.2015,"490,00",,,"490,00","0,00",,,
TTK,29.07.2015,"490,00",,,"490,00","0,00",,,
TTK,30.07.2015,"504,00","504,00","504,00","504,00","2,86",13.0,6.552,6.552
TTK,31.07.2015,"504,00",,,"504,00","0,00",,,
TTK,04.08.2015,"504,00",,,"504,00","0,00",,,
TTK,05.08.2015,"504,00",,,"504,00","0,00",,,
TTK,06.08.2015,"504,00",,,"504,00","0,00",,,
TTK,07.08.2015,"504,00",,,"504,00","0,00",,,
TTK,10.08.2015,"504,00",,,"504,00","0,00",,,
TTK,11.08.2015,"504,00",,,"504,00","0,00",,,
TTK,12.08.2015,"504,00",,,"504,00","0,00",,,
TTK,13.08.2015,"504,00",,,"504,00","0,00",,,
TTK,14.08.2015,"504,00",,,"504,00","0,00",,,
TTK,17.08.2015,"504,00",,,"504,00","0,00",,,
TTK,18.08.2015,"504,00",,,"504,00","0,00",,,
TTK,19.08.2015,"504,00",,,"504,00","0,00",,,
TTK,20.08.2015,"504,00",,,"504,00","0,00",,,
TTK,21.08.2015,"504,00",,,"504,00","0,00",,,
TTK,24.08.2015,"504,00",,,"504,00","0,00",,,
TTK,25.08.2015,"504,00",,,"504,00","0,00",,,
TTK,26.08.2015,"504,00",,,"504,00","0,00",,,
TTK,27.08.2015,"504,00",,,"504,00","0,00",,,
TTK,31.08.2015,"504,00",,,"504,00","0,00",,,
TTK,01.09.2015,"504,00",,,"504,00","0,00",,,
TTK,02.09.2015,"504,00",,,"504,00","0,00",,,
TTK,03.09.2015,"518,00","518,00","518,00","518,00","2,78",55.0,28.490,28.490
TTK,04.09.2015,"518,00",,,"518,00","0,00",,,
TTK,07.09.2015,"518,00",,,"518,00","0,00",,,
TTK,09.09.2015,"503,00","503,00","503,00","503,00","-2,90",100.0,50.300,50.300
TTK,10.09.2015,"503,00",,,"503,00","0,00",,,
TTK,11.09.2015,"503,00",,,"503,00","0,00",,,
TTK,14.09.2015,"503,00",,,"503,00","0,00",,,
TTK,15.09.2015,"503,00",,,"503,00","0,00",,,
TTK,16.09.2015,"503,00",,,"503,00","0,00",,,
TTK,17.09.2015,"503,00",,,"503,00","0,00",,,
TTK,18.09.2015,"503,00",,,"503,00","0,00",,,
TTK,21.09.2015,"503,00",,,"503,00","0,00",,,
TTK,22.09.2015,"503,00",,,"503,00","0,00",,,
TTK,23.09.2015,"503,00",,,"503,00","0,00",,,
TTK,24.09.2015,"503,00",,,"503,00","0,00",,,
TTK,25.09.2015,"503,00",,,"503,00","0,00",,,
TTK,28.09.2015,"503,00",,,"503,00","0,00",,,
TTK,29.09.2015,"503,00",,,"503,00","0,00",,,
TTK,30.09.2015,"503,00",,,"503,00","0,00",,,
TTK,01.10.2015,"503,00",,,"503,00","0,00",,,
TTK,02.10.2015,"503,00",,,"503,00","0,00",,,
TTK,05.10.2015,"503,00",,,"503,00","0,00",,,
TTK,06.10.2015,"503,00",,,"503,00","0,00",,,
TTK,07.10.2015,"503,00",,,"503,00","0,00",,,
TTK,08.10.2015,"503,00",,,"503,00","0,00",,,
TTK,09.10.2015,"503,00",,,"503,00","0,00",,,
TTK,13.10.2015,"503,00",,,"503,00","0,00",,,
TTK,14.10.2015,"503,00",,,"503,00","0,00",,,
TTK,15.10.2015,"503,00",,,"503,00","0,00",,,
TTK,16.10.2015,"503,00",,,"503,00","0,00",,,
TTK,19.10.2015,"503,00",,,"503,00","0,00",,,
TTK,20.10.2015,"503,00",,,"503,00","0,00",,,
TTK,21.10.2015,"503,00",,,"503,00","0,00",,,
TTK,22.10.2015,"503,00",,,"503,00","0,00",,,
TTK,26.10.2015,"503,00","503,00","503,00","503,00","0,00",292.0,146.876,146.876
TTK,27.10.2015,"503,00",,,"503,00","0,00",,,
TTK,28.10.2015,"503,00",,,"503,00","0,00",,,
TTK,29.10.2015,"503,00",,,"503,00","0,00",,,
TTK,30.10.2015,"503,00","503,00","503,00","503,00","0,00",1.115,560.845,560.845
TTK,02.11.2015,"503,00",,,"503,00","0,00",,,
TTK,03.11.2015,"526,00","526,00","526,00","526,00","4,57",240.0,126.240,126.240
TTK,04.11.2015,"526,00",,,"526,00","0,00",,,
TTK,05.11.2015,"526,00",,,"526,00","0,00",,,
TTK,06.11.2015,"526,00",,,"526,00","0,00",,,
TTK,09.11.2015,"526,00",,,"526,00","0,00",,,
TTK,10.11.2015,"526,00",,,"526,00","0,00",,,
TTK,11.11.2015,"453,00","453,00","453,00","453,00","-13,88",145.584,65.949.552,65.949.552
TTK,12.11.2015,"453,00",,,"453,00","0,00",,,
TTK,13.11.2015,"543,00","543,00","543,00","543,00","19,87",35.0,19.005,19.005
TTK,16.11.2015,"543,00",,,"543,00","0,00",,,
TTK,17.11.2015,"550,00","550,00","550,00","550,00","1,29",100.0,55.000,55.000
TTK,18.11.2015,"550,00","550,00","550,00","550,00","0,00",16.0,8.800,8.800
TTK,19.11.2015,"550,00","550,00","550,00","550,00","0,00",370.0,203.500,203.500
TTK,20.11.2015,"550,00",,,"550,00","0,00",,,
TTK,23.11.2015,"550,00",,,"550,00","0,00",,,
TTK,24.11.2015,"550,00","550,00","550,00","550,00","0,00",80.0,44.000,44.000
TTK,25.11.2015,"599,00","599,00","599,00","599,00","8,91",9.0,5.391,5.391
TTK,26.11.2015,"599,00",,,"599,00","0,00",,,
TTK,27.11.2015,"599,00",,,"599,00","0,00",,,
TTK,30.11.2015,"599,00",,,"599,00","0,00",,,
TTK,01.12.2015,"599,00",,,"599,00","0,00",,,
TTK,03.12.2015,"550,00","550,00","550,00","550,00","-8,18",320.0,176.000,176.000
TTK,04.12.2015,"550,00","550,00","550,00","550,00","0,00",41.0,22.550,22.550
TTK,07.12.2015,"519,00","519,00","519,00","519,00","-5,64",692.0,359.148,359.148
TTK,09.12.2015,"519,00",,,"519,00","0,00",,,
TTK,10.12.2015,"519,00","519,00","519,00","519,00","0,00",1.636,849.084,849.084
TTK,11.12.2015,"525,00","525,00","525,00","525,00","1,16",566.0,297.150,297.150
TTK,14.12.2015,"525,00",,,"525,00","0,00",,,
TTK,15.12.2015,"550,00","550,00","550,00","550,00","4,76",2.45,1.347.500,1.347.500
TTK,16.12.2015,"551,00","551,00","551,00","551,00","0,18",2.1,1.157.100,1.157.100
TTK,17.12.2015,"567,00","567,00","567,00","567,00","2,90",1.2,680.400,680.400
TTK,18.12.2015,"580,00","580,00","580,00","580,00","2,29",738.0,428.040,428.040
TTK,21.12.2015,"580,00",,,"580,00","0,00",,,
TTK,22.12.2015,"580,00",,,"580,00","0,00",,,
TTK,23.12.2015,"580,00",,,"580,00","0,00",,,
TTK,24.12.2015,"580,00",,,"580,00","0,00",,,
TTK,25.12.2015,"580,00",,,"580,00","0,00",,,
TTK,28.12.2015,"580,00",,,"580,00","0,00",,,
TTK,29.12.2015,"580,00",,,"580,00","0,00",,,
TTK,30.12.2015,"580,00",,,"580,00","0,00",,,
TTK,04.01.2016,"595,00","595,00","595,00","595,00","2,59",632.0,376.040,376.040
TTK,05.01.2016,"613,00","613,00","613,00","613,00","3,03",70.0,42.910,42.910
TTK,08.01.2016,"613,00",,,"613,00","0,00",,,
TTK,11.01.2016,"613,00",,,"613,00","0,00",,,
TTK,12.01.2016,"613,00",,,"613,00","0,00",,,
TTK,13.01.2016,"613,00",,,"613,00","0,00",,,
TTK,14.01.2016,"613,00",,,"613,00","0,00",,,
TTK,15.01.2016,"613,00",,,"613,00","0,00",,,
TTK,18.01.2016,"613,00",,,"613,00","0,00",,,
TTK,20.01.2016,"601,00","601,00","601,00","601,00","-1,96",290.0,174.290,174.290
TTK,21.01.2016,"601,00",,,"601,00","0,00",,,
TTK,22.01.2016,"610,00","610,00","610,00","610,00","1,50",13.0,7.930,7.930
TTK,25.01.2016,"662,00","662,00","662,00","662,00","8,52",700.0,463.400,463.400
TTK,26.01.2016,"700,00","700,00","663,00","664,00","0,30",185.0,122.840,122.840
TTK,27.01.2016,"700,00",,,"664,00","0,00",,,
TTK,28.01.2016,"700,00",,,"664,00","0,00",,,
TTK,29.01.2016,"660,00","660,00","660,00","660,00","-0,60",1.625,1.072.500,1.072.500
TTK,01.02.2016,"660,00",,,"660,00","0,00",,,
TTK,02.02.2016,"660,00","660,00","660,00","660,00","0,00",200.0,132.000,132.000
TTK,03.02.2016,"660,00",,,"660,00","0,00",,,
TTK,04.02.2016,"660,00",,,"660,00","0,00",,,
TTK,05.02.2016,"660,00",,,"660,00","0,00",,,
TTK,08.02.2016,"660,00",,,"660,00","0,00",,,
TTK,09.02.2016,"640,00","640,00","640,00","640,00","-3,03",460.0,294.400,294.400
TTK,10.02.2016,"640,00","640,00","640,00","640,00","0,00",100.0,64.000,64.000
TTK,11.02.2016,"640,00",,,"640,00","0,00",,,
TTK,12.02.2016,"640,00",,,"640,00","0,00",,,
TTK,15.02.2016,"615,00","615,00","615,00","615,00","-3,91",357.0,219.555,219.555
TTK,16.02.2016,"615,00",,,"615,00","0,00",,,
TTK,17.02.2016,"615,00",,,"615,00","0,00",,,
TTK,18.02.2016,"615,00",,,"615,00","0,00",,,
TTK,19.02.2016,"615,00",,,"615,00","0,00",,,
TTK,22.02.2016,"615,00",,,"615,00","0,00",,,
TTK,23.02.2016,"640,00","640,00","640,00","640,00","4,07",5.0,3.200,3.200
TTK,24.02.2016,"601,00","601,00","601,00","601,00","-6,09",170.0,102.170,102.170
TTK,25.02.2016,"601,00",,,"601,00","0,00",,,
TTK,26.02.2016,"601,00",,,"601,00","0,00",,,
TTK,29.02.2016,"601,00",,,"601,00","0,00",,,
TTK,01.03.2016,"601,00",,,"601,00","0,00",,,
TTK,02.03.2016,"600,00","600,00","600,00","600,00","-0,17",156.0,93.600,93.600
TTK,03.03.2016,"600,00",,,"600,00","0,00",,,
TTK,04.03.2016,"630,00","630,00","630,00","630,00","5,00",1.545,973.350,973.350
TTK,07.03.2016,"630,00",,,"630,00","0,00",,,
TTK,08.03.2016,"630,00","630,00","630,00","630,00","0,00",300.0,189.000,189.000
TTK,09.03.2016,"630,00",,,"630,00","0,00",,,
TTK,10.03.2016,"630,00","630,00","630,00","630,00","0,00",66.0,41.580,41.580
TTK,11.03.2016,"630,00",,,"630,00","0,00",,,
TTK,14.03.2016,"630,00",,,"630,00","0,00",,,
TTK,15.03.2016,"630,00",,,"630,00","0,00",,,
TTK,16.03.2016,"630,00",,,"630,00","0,00",,,
TTK,17.03.2016,"630,00",,,"630,00","0,00",,,
TTK,18.03.2016,"630,00",,,"630,00","0,00",,,
TTK,21.03.2016,"630,00",,,"630,00","0,00",,,
TTK,22.03.2016,"600,00","600,00","600,00","600,00","-4,76",53.0,31.800,31.800
TTK,23.03.2016,"600,00","600,00","600,00","600,00","0,00",647.0,388.200,388.200
TTK,24.03.2016,"600,00",,,"600,00","0,00",,,
TTK,25.03.2016,"600,00","600,00","600,00","600,00","0,00",164.0,98.400,98.400
TTK,28.03.2016,"600,00",,,"600,00","0,00",,,
TTK,29.03.2016,"600,00",,,"600,00","0,00",,,
TTK,30.03.2016,"600,00",,,"600,00","0,00",,,
