Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
TTKO,28.10.2019,,,,,,,,
TTKO,29.10.2019,,,,,,,,
TTKO,30.10.2019,,,,,,,,
TTKO,31.10.2019,,,,,,,,
TTKO,01.11.2019,,,,,,,,
TTKO,04.11.2019,,,,,,,,
TTKO,05.11.2019,,,,,,,,
TTKO,06.11.2019,,,,,,,,
TTKO,07.11.2019,,,,,,,,
TTKO,08.11.2019,,,,,,,,
TTKO,11.11.2019,,,,,,,,
TTKO,12.11.2019,,,,,,,,
TTKO,13.11.2019,,,,,,,,
TTKO,14.11.2019,,,,,,,,
TTKO,15.11.2019,,,,,,,,
TTKO,18.11.2019,,,,,,,,
TTKO,19.11.2019,,,,,,,,
TTKO,20.11.2019,,,,,,,,
TTKO,21.11.2019,,,,,,,,
TTKO,22.11.2019,,,,,,,,
TTKO,25.11.2019,,,,,,,,
TTKO,26.11.2019,,,,,,,,
TTKO,27.11.2019,,,,,,,,
TTKO,28.11.2019,,,,,,,,
TTKO,29.11.2019,,,,,,,,
TTKO,02.12.2019,,,,,,,,
TTKO,03.12.2019,,,,,,,,
TTKO,04.12.2019,,,,,,,,
TTKO,05.12.2019,,,,,,,,
TTKO,06.12.2019,,,,,,,,
TTKO,10.12.2019,,,,,,,,
TTKO,11.12.2019,,,,,,,,
TTKO,12.12.2019,,,,,,,,
TTKO,13.12.2019,,,,,,,,
TTKO,16.12.2019,,,,,,,,
TTKO,17.12.2019,,,,,,,,
TTKO,18.12.2019,,,,,,,,
TTKO,19.12.2019,,,,,,,,
TTKO,20.12.2019,,,,,,,,
TTKO,23.12.2019,,,,,,,,
TTKO,24.12.2019,,,,,,,,
TTKO,25.12.2019,,,,,,,,
TTKO,26.12.2019,,,,,,,,
TTKO,27.12.2019,,,,,,,,
TTKO,30.12.2019,,,,,,,,
TTKO,02.01.2020,,,,,,,,
TTKO,03.01.2020,,,,,,,,
TTKO,08.01.2020,,,,,,,,
TTKO,09.01.2020,,,,,,,,
TTKO,10.01.2020,,,,,,,,
TTKO,13.01.2020,,,,,,,,
TTKO,14.01.2020,,,,,,,,
TTKO,15.01.2020,,,,,,,,
TTKO,16.01.2020,,,,,,,,
TTKO,17.01.2020,,,,,,,,
TTKO,20.01.2020,,,,,,,,
TTKO,21.01.2020,,,,,,,,
TTKO,22.01.2020,,,,,,,,
TTKO,23.01.2020,,,,,,,,
TTKO,24.01.2020,,,,,,,,
TTKO,27.01.2020,,,,,,,,
TTKO,28.01.2020,,,,,,,,
TTKO,29.01.2020,,,,,,,,
TTKO,30.01.2020,,,,,,,,
