Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
UNI,13.11.2014,"750,00","750,00","750,00","750,00","5,06",95.0,71.250,71.250
UNI,14.11.2014,"772,00","772,00","693,00","698,81","-6,83",136.0,95.038,95.038
UNI,17.11.2014,"768,00","768,00","768,00","768,00","9,90",10.0,7.680,7.680
UNI,18.11.2014,"768,00",,,"768,00","0,00",,,
UNI,19.11.2014,"768,00",,,"768,00","0,00",,,
UNI,20.11.2014,"710,00","730,00","710,00","713,32","-7,12",182.0,129.824,129.824
UNI,21.11.2014,"767,00","767,00","767,00","767,00","7,53",20.0,15.340,15.340
UNI,24.11.2014,"840,00","840,00","750,00","761,25","-0,75",160.0,121.800,121.800
UNI,25.11.2014,"837,00","837,00","837,00","837,00","9,95",60.0,50.220,50.220
UNI,26.11.2014,"837,00",,,"837,00","0,00",,,
UNI,27.11.2014,"837,00","837,00","836,00","836,20","-0,10",264.0,220.757,220.757
UNI,28.11.2014,"837,00",,,"836,20","0,00",,,
UNI,01.12.2014,"837,00",,,"836,20","0,00",,,
UNI,02.12.2014,"837,00",,,"836,20","0,00",,,
UNI,04.12.2014,"753,00","753,00","753,00","753,00","-9,95",25.0,18.825,18.825
UNI,05.12.2014,"750,00","750,00","750,00","750,00","-0,40",30.0,22.500,22.500
UNI,09.12.2014,"750,00",,,"750,00","0,00",,,
UNI,10.12.2014,"750,00",,,"750,00","0,00",,,
UNI,11.12.2014,"790,00","790,00","750,00","756,00","0,80",20.0,15.120,15.120
UNI,12.12.2014,"790,00",,,"756,00","0,00",,,
UNI,15.12.2014,"790,00",,,"756,00","0,00",,,
UNI,16.12.2014,"690,00","690,00","690,00","690,00","-8,73",318.0,219.420,219.420
UNI,17.12.2014,"690,00",,,"690,00","0,00",,,
UNI,18.12.2014,"690,00",,,"690,00","0,00",,,
UNI,19.12.2014,"690,00",,,"690,00","0,00",,,
UNI,22.12.2014,"690,00",,,"690,00","0,00",,,
UNI,23.12.2014,"690,00",,,"690,00","0,00",,,
UNI,24.12.2014,"690,00",,,"690,00","0,00",,,
UNI,25.12.2014,"690,00",,,"690,00","0,00",,,
UNI,26.12.2014,"690,00",,,"690,00","0,00",,,
UNI,29.12.2014,"749,00","749,00","749,00","749,00","8,55",50.0,37.450,37.450
UNI,30.12.2014,"749,00",,,"749,00","0,00",,,
