Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
USJE,13.11.2014,"22.500,00",,,"22.500,00","0,00",,,
USJE,14.11.2014,"22.500,00",,,"22.500,00","0,00",,,
USJE,17.11.2014,"22.500,00",,,"22.500,00","0,00",,,
USJE,18.11.2014,"22.500,00",,,"22.500,00","0,00",,,
USJE,19.11.2014,"22.500,00",,,"22.500,00","0,00",,,
USJE,20.11.2014,"22.850,00","22.850,00","22.850,00","22.850,00","1,56",10.0,228.500,228.500
USJE,21.11.2014,"22.850,00",,,"22.850,00","0,00",,,
USJE,24.11.2014,"22.850,00",,,"22.850,00","0,00",,,
USJE,25.11.2014,"22.850,00",,,"22.850,00","0,00",,,
USJE,26.11.2014,"22.850,00",,,"22.850,00","0,00",,,
USJE,27.11.2014,"22.850,00",,,"22.850,00","0,00",,,
USJE,28.11.2014,"22.850,00",,,"22.850,00","0,00",,,
USJE,01.12.2014,"22.850,00",,,"22.850,00","0,00",,,
USJE,02.12.2014,"22.850,00",,,"22.850,00","0,00",,,
USJE,04.12.2014,"22.850,00",,,"22.850,00","0,00",,,
USJE,05.12.2014,"22.850,00",,,"22.850,00","0,00",,,
USJE,09.12.2014,"22.850,00",,,"22.850,00","0,00",,,
USJE,10.12.2014,"22.850,00",,,"22.850,00","0,00",,,
USJE,11.12.2014,"22.850,00",,,"22.850,00","0,00",,,
USJE,12.12.2014,"22.850,00",,,"22.850,00","0,00",,,
USJE,15.12.2014,"22.850,00",,,"22.850,00","0,00",,,
USJE,16.12.2014,"22.850,00",,,"22.850,00","0,00",,,
USJE,17.12.2014,"22.850,00",,,"22.850,00","0,00",,,
USJE,18.12.2014,"22.850,00",,,"22.850,00","0,00",,,
USJE,19.12.2014,"22.850,00",,,"22.850,00","0,00",,,
USJE,22.12.2014,"22.850,00",,,"22.850,00","0,00",,,
USJE,23.12.2014,"22.850,00",,,"22.850,00","0,00",,,
USJE,24.12.2014,"22.850,00",,,"22.850,00","0,00",,,
USJE,25.12.2014,"22.850,00",,,"22.850,00","0,00",,,
USJE,26.12.2014,"22.850,00",,,"22.850,00","0,00",,,
USJE,29.12.2014,"22.850,00",,,"22.850,00","0,00",,,
USJE,30.12.2014,"22.850,00",,,"22.850,00","0,00",,,
USJE,02.01.2015,"22.850,00",,,"22.850,00","0,00",,,
USJE,05.01.2015,"22.850,00",,,"22.850,00","0,00",,,
USJE,08.01.2015,"22.850,00",,,"22.850,00","0,00",,,
USJE,09.01.2015,"22.850,00",,,"22.850,00","0,00",,,
USJE,12.01.2015,"22.850,00",,,"22.850,00","0,00",,,
USJE,13.01.2015,"22.850,00",,,"22.850,00","0,00",,,
USJE,14.01.2015,"22.850,00",,,"22.850,00","0,00",,,
USJE,15.01.2015,"22.850,00",,,"22.850,00","0,00",,,
USJE,16.01.2015,"22.850,00",,,"22.850,00","0,00",,,
USJE,20.01.2015,"22.850,00",,,"22.850,00","0,00",,,
USJE,21.01.2015,"22.850,00",,,"22.850,00","0,00",,,
USJE,22.01.2015,"19.000,00","19.000,00","19.000,00","19.000,00","-16,85",1.0,19.000,19.000
USJE,23.01.2015,"19.000,00",,,"19.000,00","0,00",,,
USJE,26.01.2015,"19.000,00",,,"19.000,00","0,00",,,
USJE,27.01.2015,"19.000,00",,,"19.000,00","0,00",,,
USJE,28.01.2015,"19.000,00",,,"19.000,00","0,00",,,
USJE,29.01.2015,"19.000,00",,,"19.000,00","0,00",,,
USJE,30.01.2015,"19.000,00",,,"19.000,00","0,00",,,
USJE,02.02.2015,"19.000,00",,,"19.000,00","0,00",,,
USJE,03.02.2015,"19.000,00",,,"19.000,00","0,00",,,
USJE,04.02.2015,"19.000,00",,,"19.000,00","0,00",,,
USJE,05.02.2015,"19.000,00",,,"19.000,00","0,00",,,
USJE,06.02.2015,"19.000,00",,,"19.000,00","0,00",,,
USJE,09.02.2015,"19.000,00",,,"19.000,00","0,00",,,
USJE,10.02.2015,"19.000,00",,,"19.000,00","0,00",,,
USJE,11.02.2015,"18.500,00","18.500,00","18.500,00","18.500,00","-2,63",11.0,203.500,203.500
USJE,12.02.2015,"18.500,00",,,"18.500,00","0,00",,,
USJE,13.02.2015,"18.500,00",,,"18.500,00","0,00",,,
USJE,16.02.2015,"18.500,00",,,"18.500,00","0,00",,,
USJE,17.02.2015,"18.500,00",,,"18.500,00","0,00",,,
USJE,18.02.2015,"18.500,00",,,"18.500,00","0,00",,,
USJE,19.02.2015,"18.500,00",,,"18.500,00","0,00",,,
USJE,20.02.2015,"18.500,00",,,"18.500,00","0,00",,,
USJE,23.02.2015,"18.500,00",,,"18.500,00","0,00",,,
USJE,24.02.2015,"18.500,00",,,"18.500,00","0,00",,,
USJE,25.02.2015,"18.500,00",,,"18.500,00","0,00",,,
USJE,26.02.2015,"18.500,00",,,"18.500,00","0,00",,,
USJE,27.02.2015,"18.500,00",,,"18.500,00","0,00",,,
USJE,02.03.2015,"18.500,00",,,"18.500,00","0,00",,,
USJE,03.03.2015,"18.500,00",,,"18.500,00","0,00",,,
USJE,04.03.2015,"18.500,00",,,"18.500,00","0,00",,,
USJE,05.03.2015,"18.500,00",,,"18.500,00","0,00",,,
USJE,06.03.2015,"18.500,00",,,"18.500,00","0,00",,,
USJE,09.03.2015,"18.000,00","18.000,00","18.000,00","18.000,00","-2,70",6.0,108.000,108.000
USJE,10.03.2015,"17.499,00","17.499,00","17.499,00","17.499,00","-2,78",34.0,594.966,594.966
USJE,11.03.2015,"17.499,00",,,"17.499,00","0,00",,,
USJE,12.03.2015,"17.499,00",,,"17.499,00","0,00",,,
USJE,13.03.2015,"17.498,00","17.498,00","17.498,00","17.498,00","-0,01",3.0,52.494,52.494
USJE,16.03.2015,"17.498,00",,,"17.498,00","0,00",,,
USJE,17.03.2015,"17.498,00",,,"17.498,00","0,00",,,
USJE,18.03.2015,"17.498,00",,,"17.498,00","0,00",,,
USJE,19.03.2015,"17.498,00",,,"17.498,00","0,00",,,
USJE,20.03.2015,"17.498,00",,,"17.498,00","0,00",,,
USJE,23.03.2015,"17.498,00",,,"17.498,00","0,00",,,
USJE,24.03.2015,"17.498,00",,,"17.498,00","0,00",,,
USJE,25.03.2015,"17.498,00",,,"17.498,00","0,00",,,
USJE,26.03.2015,"17.498,00",,,"17.498,00","0,00",,,
USJE,27.03.2015,"17.498,00",,,"17.498,00","0,00",,,
USJE,30.03.2015,"17.000,00","17.000,00","17.000,00","17.000,00","-2,85",18.0,306.000,306.000
USJE,31.03.2015,"17.000,00","17.000,00","17.000,00","17.000,00","0,00",28.0,476.000,476.000
USJE,01.04.2015,"17.000,00",,,"17.000,00","0,00",,,
USJE,02.04.2015,"17.000,00","17.000,00","17.000,00","17.000,00","0,00",3.0,51.000,51.000
USJE,03.04.2015,"17.000,00","17.000,00","17.000,00","17.000,00","0,00",12.0,204.000,204.000
USJE,06.04.2015,"17.000,00",,,"17.000,00","0,00",,,
USJE,07.04.2015,"17.000,00",,,"17.000,00","0,00",,,
USJE,08.04.2015,"17.000,00",,,"17.000,00","0,00",,,
USJE,09.04.2015,"17.000,00",,,"17.000,00","0,00",,,
USJE,14.04.2015,"17.000,00",,,"17.000,00","0,00",,,
USJE,15.04.2015,"17.510,00","17.510,00","17.510,00","17.510,00","3,00",15.0,262.650,262.650
USJE,16.04.2015,"18.000,00","18.000,00","18.000,00","18.000,00","2,80",22.0,396.000,396.000
USJE,17.04.2015,"18.000,00",,,"18.000,00","0,00",,,
USJE,20.04.2015,"18.000,00",,,"18.000,00","0,00",,,
USJE,21.04.2015,"18.000,00",,,"18.000,00","0,00",,,
USJE,22.04.2015,"18.000,00","18.000,00","18.000,00","18.000,00","0,00",2.0,36.000,36.000
USJE,23.04.2015,"18.000,00",,,"18.000,00","0,00",,,
USJE,24.04.2015,"18.000,00",,,"18.000,00","0,00",,,
USJE,27.04.2015,"18.000,00",,,"18.000,00","0,00",,,
USJE,28.04.2015,"21.600,00","21.600,00","21.600,00","21.600,00","20,00",1.0,21.600,21.600
USJE,29.04.2015,"21.600,00",,,"21.600,00","0,00",,,
USJE,30.04.2015,"21.600,00",,,"21.600,00","0,00",,,
USJE,04.05.2015,"21.600,00",,,"21.600,00","0,00",,,
USJE,05.05.2015,"21.600,00",,,"21.600,00","0,00",,,
USJE,06.05.2015,"21.600,00",,,"21.600,00","0,00",,,
USJE,07.05.2015,"21.600,00",,,"21.600,00","0,00",,,
USJE,08.05.2015,"21.600,00",,,"21.600,00","0,00",,,
USJE,11.05.2015,"21.600,00",,,"21.600,00","0,00",,,
USJE,12.05.2015,"21.600,00",,,"21.600,00","0,00",,,
USJE,13.05.2015,"21.600,00",,,"21.600,00","0,00",,,
USJE,14.05.2015,"21.600,00",,,"21.600,00","0,00",,,
USJE,15.05.2015,"21.600,00",,,"21.600,00","0,00",,,
USJE,18.05.2015,"21.600,00",,,"21.600,00","0,00",,,
USJE,19.05.2015,"21.600,00",,,"21.600,00","0,00",,,
USJE,20.05.2015,"21.000,00","21.000,00","21.000,00","21.000,00","-2,78",27.0,567.000,567.000
USJE,21.05.2015,"21.500,00","21.500,00","21.500,00","21.500,00","2,38",20.0,430.000,430.000
USJE,22.05.2015,"21.500,00",,,"21.500,00","0,00",,,
USJE,26.05.2015,"21.500,00",,,"21.500,00","0,00",,,
USJE,27.05.2015,"21.500,00",,,"21.500,00","0,00",,,
USJE,28.05.2015,"21.500,00",,,"21.500,00","0,00",,,
USJE,01.06.2015,"21.500,00",,,"21.500,00","0,00",,,
USJE,02.06.2015,"21.000,00","21.000,00","21.000,00","21.000,00","-2,33",9.0,189.000,189.000
USJE,03.06.2015,"21.000,00",,,"21.000,00","0,00",,,
USJE,04.06.2015,"21.000,00",,,"21.000,00","0,00",,,
USJE,05.06.2015,"21.000,00",,,"21.000,00","0,00",,,
USJE,08.06.2015,"21.000,00",,,"21.000,00","0,00",,,
USJE,09.06.2015,"21.000,00",,,"21.000,00","0,00",,,
USJE,10.06.2015,"21.000,00",,,"21.000,00","0,00",,,
USJE,11.06.2015,"21.000,00",,,"21.000,00","0,00",,,
USJE,12.06.2015,"21.000,00",,,"21.000,00","0,00",,,
USJE,15.06.2015,"21.000,00",,,"21.000,00","0,00",,,
USJE,16.06.2015,"21.000,00",,,"21.000,00","0,00",,,
USJE,17.06.2015,"21.000,00",,,"21.000,00","0,00",,,
USJE,18.06.2015,"21.000,00",,,"21.000,00","0,00",,,
USJE,19.06.2015,"21.000,00",,,"21.000,00","0,00",,,
USJE,22.06.2015,"21.000,00",,,"21.000,00","0,00",,,
USJE,23.06.2015,"21.000,00",,,"21.000,00","0,00",,,
USJE,24.06.2015,"21.000,00",,,"21.000,00","0,00",,,
